Feature,1016716,1016717,1016718,1016719,1017643,1017644,1017645,1017646
高度(mm),1955,1955,1955,1955,1955,1955,1955,1955
驾驶辅助影像,,,,,,,,
驾驶模式切换,-,-,-,-,-,-,-,-
驻车制动类型,,,,,,,,
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-
长度(mm),5395,5395,5395,5395,5395,5395,5395,5395
长*宽*高(mm),5395×1780×1955,5395×1780×1955,5395×1780×1955,5395×1780×1955,5395×1780×1955,5395×1780×1955,5395×1780×1955,5395×1780×1955
钥匙类型,,,,,,,,
配气机构,-,-,-,-,-,-,-,-
远光灯光源,,,,,,,,
进气形式,-,-,-,-,-,-,-,-
近光灯光源,,,,,,,,
轴距(mm),3350,3350,3350,3350,3350,3350,3350,3350
轮圈材质,,,,,,,,
车门数(个),,,,,,,,
车门开启方式,-,-,-,-,-,-,-,-
车道偏离预警系统,-,-,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-
车身结构_y,货车,货车,货车,货车,货车,货车,货车,货车
车身结构_x,货车,货车,货车,货车,货车,货车,货车,货车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-
车联网,-,-,-,-,●,●,●,●
车窗防夹手功能,-,-,-,-,-,-,-,-
车窗一键升降功能,-,-,-,-,,,,
车型名称,智蓝精灵E7 2023款 纯电动厢式运输车 平顶2座 宁德时代46.36kWh,智蓝精灵E7 2023款 纯电动厢式运输车 平顶2座 宁德时代38.64kWh,智蓝精灵E7 2023款 纯电动厢式运输车 平顶2座 亿纬锂能41.86kWh,智蓝精灵E7 2023款 纯电动厢式运输车 平顶2座 亿纬锂能46.36kWh,智蓝精灵E7 2024款 纯电动厢式运输车 平顶2座 宁德时代46.36kWh,智蓝精灵E7 2024款 纯电动厢式运输车 平顶2座 宁德时代38.64kWh,智蓝精灵E7 2024款 纯电动厢式运输车 平顶2座 亿纬锂能41.86kWh,智蓝精灵E7 2024款 纯电动厢式运输车 平顶2座 亿纬锂能46.36kWh
车前雾灯,,,,,,,,
车内环境氛围灯,-,-,-,-,-,-,-,-
车内化妆镜,-,-,-,-,,,,
车内中控锁,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,-,-,-,-,-,-,-,-
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
语音识别控制系统,-,-,-,-,-,-,-,-
行车电脑显示屏幕,,,,,,,,
蓝牙/车载电话,-,-,-,-,-,-,-,-
自适应远近光,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-
能源类型_y,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
能源类型_x,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
胎压监测功能,,,,,,,,
缺气保用轮胎,-,-,-,-,-,-,-,-
缸盖材料,-,-,-,-,-,-,-,-
缸体材料,-,-,-,-,-,-,-,-
级别,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排座椅调节,-,-,-,-,-,-,-,-
空调温度控制方式,,,,,,,,
疲劳驾驶提示,-,-,-,-,-,-,-,-
电芯品牌,,,,,,,,
电池能量(kWh),46.36,38.64,41.86,46.36,46.36,38.64,41.86,46.36
电池类型,,,,,,,,
电池慢充时间(小时)_y,4.5,4,4,4.5,4.5,4,4,4.5
电池慢充时间(小时)_x,4.5,4,4,4.5,4.5,4,4,4.5
电池快充电量范围(%)_y,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80
电池快充电量范围(%)_x,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80
电池快充时间(小时)_y,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67
电池快充时间(小时)_x,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67
电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电机布局,前置,前置,前置,前置,前置,前置,前置,前置
