Feature,1014490,1014491,1014492,1014493,1014494,1014495,1014496,1014497,1014498,1014499,1014500,1014501,1014502,1014503,1014504,1014505,1014506,1014507,1014508,1014509,1014510,1014511,1014512,1014513,1014514,1014515,1014516,1014517,1018569,1018570,1018571,1018572,1018573,1018574,1018575,1018576,1018577,1018578,1018579,1018580
高度(mm),1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860
驾驶辅助影像,,,,,,,,,,,-,-,,,-,-,,,,,,,,,,,,,,,,,,,,,,,,
驾驶模式切换,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驻车制动类型,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驱动方式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
限滑差速器/差速锁,,,,,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,,
长度(mm),5560,5560,5560,5560,5560,5560,5560,5560,5560,5560,5560,5560,5560,5560,5560,5560,5660,5660,5560,5560,5560,5560,5560,5560,5560,5560,5660,5660,5560,5560,5560,5560,5560,5560,5560,5560,5560,5560,5560,5560
长*宽*高(mm),5560×1840×1860,5560×1840×1860,5560×1840×1860,5560×1840×1860,5560×1840×1860,5560×1840×1860,5560×1840×1860,5560×1840×1860,5560×1840×1860,5560×1840×1860,5560×1840×1860,5560×1840×1860,5560×1840×1860,5560×1840×1860,5560×1840×1860,5560×1840×1860,5660×1925×1860,5660×1925×1860,5560×1840×1860,5560×1840×1860,5560×1840×1860,5560×1840×1860,5560×1840×1860,5560×1840×1860,5560×1840×1860,5560×1840×1860,5660×1925×1860,5660×1925×1860,5560*1925*1860,5560*1925*1860,5560*1925*1860,5560*1925*1860,5560*1925*1860,5560*1925*1860,5560*1925*1860,5560*1925*1860,5560*1925*1860,5560*1925*1860,5560*1925*1860,5560*1925*1860
钥匙类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
配气机构,未知,未知,未知,未知,未知,未知,未知,未知,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,未知,未知,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,未知,未知,未知,未知,DOHC,未知
远光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
轴距(mm),3405,3405,3405,3405,3405,3405,3405,3405,3405,3405,3405,3405,3405,3405,3405,3405,3405,3405,3405,3405,3405,3405,3405,3405,3405,3405,3405,3405,3405,3405,3405,3405,3405,3405,3405,3405,3405,3405,3405,3405
轮圈材质,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
车顶行李架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,○,-,-,-,-,-,-,-,-,○,○,-,-,-,-,-,-,-,-,-,-,○,○
车门数(个),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
车门开启方式,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车道偏离预警系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车身结构_x,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,-,-,-,-,-,-,-,-,●,●,-,-,-,-,-,-,-,-,-,-,●,●
车联网,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗一键升降功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,黄海蛟龙 2023款 2.5T柴油手动四驱奋进型JE4D25Q6A,黄海蛟龙 2023款 2.5T柴油手动四驱奋进型平底货箱JE4D25Q6A,黄海蛟龙 2023款 2.5T柴油手动四驱奔腾型JE4D25Q6A,黄海蛟龙 2023款 2.5T柴油手动四驱奔腾型平底货箱JE4D25Q6A,黄海蛟龙 2023款 2.5T柴油手动两驱奋进型JE4D25Q6A,黄海蛟龙 2023款 2.5T柴油手动两驱奋进型平底货箱JE4D25Q6A,黄海蛟龙 2023款 2.5T柴油手动两驱奔腾型JE4D25Q6A,黄海蛟龙 2023款 2.5T柴油手动两驱奔腾型平底货箱JE4D25Q6A,黄海蛟龙 2023款 2.8T柴油手动四驱舒适型JE493ZLQ6H,黄海蛟龙 2023款 2.8T柴油手动四驱舒适型平底货箱JE493ZLQ6H,黄海蛟龙 2023款 2.8T柴油手动四驱超值型JE493ZLQ6H,黄海蛟龙 2023款 2.8T柴油手动四驱超值型平底货箱JE493ZLQ6H,黄海蛟龙 2023款 2.8T柴油手动两驱舒适型JE493ZLQ6H,黄海蛟龙 2023款 2.8T柴油手动两驱舒适型平底货箱JE493ZLQ6H,黄海蛟龙 2023款 2.8T柴油手动两驱超值型JE493ZLQ6H,黄海蛟龙 2023款 2.8T柴油手动两驱超值型平底货箱JE493ZLQ6H,黄海蛟龙 2023款 2.5T柴油手动四驱越野型JE4D25Q6A,黄海蛟龙 2023款 2.5T柴油手动四驱越野型平底货箱JE4D25Q6A,黄海蛟龙 2023款 2.4T汽油手动四驱奋进型4K22D4T,黄海蛟龙 2023款 2.4T汽油手动四驱奋进型平底货箱4K22D4T,黄海蛟龙 2023款 2.4T汽油手动四驱奔腾型4K22D4T,黄海蛟龙 2023款 2.4T汽油手动四驱奔腾型平底货箱4K22D4T,黄海蛟龙 2023款 2.4T汽油手动两驱奋进型4K22D4T,黄海蛟龙 2023款 2.4T汽油手动两驱奋进型平底货箱4K22D4T,黄海蛟龙 2023款 2.4T汽油手动两驱奔腾型4K22D4T,黄海蛟龙 2023款 2.4T汽油手动两驱奔腾型平底货箱4K22D4T,黄海蛟龙 2023款 2.4T汽油手动四驱越野型4K22D4T,黄海蛟龙 2023款 2.4T汽油手动四驱越野型平底货箱4K22D4T,黄海蛟龙 2024款 2.8T 柴油手动两驱超值型,黄海蛟龙 2024款 2.8T 柴油手动四驱超值型,黄海蛟龙 2024款 2.4T 汽油手动两驱超值型,黄海蛟龙 2024款 2.4T 汽油手动两驱奋进型,黄海蛟龙 2024款 2.4T 汽油手动四驱超值型,黄海蛟龙 2024款 2.4T 汽油手动四驱奋进型,黄海蛟龙 2024款 2.5T 柴油手动两驱超值型,黄海蛟龙 2024款 2.5T 柴油手动两驱奋进型,黄海蛟龙 2024款 2.5T 柴油手动四驱超值型,黄海蛟龙 2024款 2.5T 柴油手动四驱奋进型,黄海蛟龙 2024款 2.4T 汽油手动四驱越野型,黄海蛟龙 2024款 2.5T 汽油手动四驱越野型
车前雾灯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,,
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车侧脚踏板,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,,-,,-,,,
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式
货箱尺寸(mm),1815x1520x515,1815x1520x480,1815x1520x515,1815x1520x480,1815x1520x515,1815x1520x480,1815x1520x515,1815x1520x480,1815x1520x515,1815x1520x480,1815x1520x515,1815x1520x480,1815x1520x515,1815x1520x480,1815x1520x515,1815x1520x480,1815x1520x515,1815x1520x480,1815x1520x515,1815x1520x480,1815x1520x515,1815x1520x480,1815x1520x515,1815x1520x480,1815x1520x515,1815x1520x480,1815x1520x515,1815x1520x480,1815x1520x480,1815x1520x480,1815x1520x480,1815x1520x480,1815x1520x480,1815x1520x480,1815x1520x480,1815x1520x480,1815x1520x480,1815x1520x480,1815x1520x515,1815x1520x515
语音识别控制系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
行车电脑显示屏幕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,-,-,●,●,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
能源类型_y,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,柴油,柴油,汽油,汽油,汽油,汽油,柴油,柴油,柴油,柴油,汽油,柴油
能源类型_x,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,柴油,柴油,汽油,汽油,汽油,汽油,柴油,柴油,柴油,柴油,汽油,柴油
胎压监测功能,,,-,-,,,-,-,-,-,-,-,-,-,-,-,,,,,-,-,,,-,-,,,-,-,-,,-,,-,,-,,,
缸盖材料,未知,未知,未知,未知,未知,未知,未知,未知,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,未知,未知,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,未知,未知,未知,未知,铝合金,未知
缸体材料,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
