Feature,1011855,1012574,1012575,1012576,1012579,1012580,1012581,1012582,1013384,1014105,1014106,1014107,1014108,1014109,1015497,1015498,1015501,1015502,1018999,1019000
高度(mm),1685,1685,1685,1685,1685,1685,1685,1685,1685,1685,1685,1685,1685,1685,1685,1685,1685,1685,1685,1685
驾驶辅助影像,,,,,,,,,,-,-,-,-,-,,,,,,
驾驶模式切换,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
驻车制动类型,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,,,,,,,,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),3490,3490,3490,3490,3490,3490,3490,3490,3490,3490,3490,3490,3490,3490,3490,3490,3490,3490,3490,3490
长*宽*高(mm),3490×1465×1685,3490×1465×1685,3490×1465×1685,3490×1465×1685,3490×1465×1685,3490×1465×1685,3490×1465×1685,3490×1465×1685,3490×1465×1685,3490×1465×1685,3490×1465×1685,3490×1465×1685,3490×1465×1685,3490×1465×1685,3490×1465×1685,3490×1465×1685,3490×1465×1685,3490×1465×1685,3490*1465*1685,3490*1465*1685
钥匙类型,,,,,,,,,,,,,,,,,,,,
远光灯光源,,,,,,,,,,,,,,,,,,,,
近光灯光源,,,,,,,,,,,,,,,,,,,,
轴距(mm),2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350
轮圈材质,,,,,,,,,,,,,,,,,,,,
车门数(个),,,,,,,,,,,,,,,,,,,,
车门开启方式,-,-,-,-,-,-,-,-,-,-,-,-,-,-,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门
车道偏离预警系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车
车身结构_x,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车联网,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗一键升降功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,橙仕01 2021款 财富版+3.3KW空调单排封闭式货车单人座双电池,橙仕01 2021款 财富版+3.3KW空调单排封闭式货车双人座双电池,橙仕01 2021款 创富版单排封闭式货车单人座单电池,橙仕01 2021款 创富版单排封闭式货车双人座单电池,橙仕01 2021款 财富版+3.3KW单排封闭式货车单人座双电池,橙仕01 2021款 财富版+3.3KW单排封闭式货车双人座双电池,橙仕01 2021款 创富版+3.3KW单排封闭式货车单人座单电池,橙仕01 2021款 创富版+3.3KW单排封闭式货车双人座单电池,橙仕01 2021款 标准型双排封闭式货车单电池,橙仕01 2022款 财富版+3.3KW空调单排封闭式货车双人座双电池,橙仕01 2022款 财富版+3.3KW单排封闭式货车单人座双电池,橙仕01 2022款 创富版+3.3KW单排封闭式货车双人座单电池,橙仕01 2022款 创富版单排封闭式货车单人座单电池,橙仕01 2022款 标准型双排封闭式货车单电池,橙仕01 2023款 轻享版1.5kW充电单排封闭式货车1座,橙仕01 2023款 轻享版1.5kW充电单排封闭式货车2座,橙仕01 2023款 尊享版3.3KW充电单排封闭式货车1座,橙仕01 2023款 尊享版3.3KW充电单排封闭式货车2座,橙仕01 2024款 01Pro 创富版,橙仕01 2024款 01Pro 电子助力
车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,●
车内PM2.5过滤装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式
语音识别控制系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
行车电脑显示屏幕,,,,,,,,,,,,,,,,,,,,
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,-,-,-,-,-,●,●,●,●,●,●
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
胎压监测功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
级别,微面,微面,微面,微面,微面,微面,微面,微面,微面,微面,微面,微面,微面,微面,微面,微面,微面,微面,微面,微面
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排座椅调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调温度控制方式,,,,,,,,,,,,,,,,,,,-,
离去角(°),-,-,-,-,-,-,-,-,-,-,-,-,-,-,25,25,25,25,25,25
