Feature,44955,64236
高度(mm),1346,1345
驾驶辅助影像,,
驾驶模式切换,,
驻车制动类型,电子驻车,电子驻车
驱动电机数,-,单电机
驱动方式,前置后驱,前置后驱
首任车主质保政策,-,-
隐藏电动门把手,●,●
陡坡缓降,-,-
限滑差速器/差速锁,,
长度(mm),4760,4770
长*宽*高(mm),4760*1920*1346,4770*1920*1345
钥匙类型,,
配气机构,DOHC,DOHC
道路救援呼叫,●,●
远程启动功能,-,
远光灯光源,,
进气形式,自然吸气,自然吸气
近光灯光源,,
运动风格座椅,○,●
运动外观套件,●,●
辅助驾驶等级,-,
轴距(mm),2870,2870
轮圈材质,,
车门数(个),2,2
车门开启方式,-,平开门
车道居中保持,-,●
车道偏离预警系统,●,●
车道保持辅助系统,●,●
车载空气净化器,-,●
车载CD/DVD,,-
车身结构_y,硬顶跑车,硬顶跑车
车身结构_x,2门4座硬顶跑车,2门4座硬顶跑车
车身稳定控制(ESC/ESP/DSC等),●,●
车联网,●,●
车窗防夹手功能,●,●
车窗一键升降功能,,
车型名称,雷克萨斯LC 2020款 500 美国版,雷克萨斯LC 2023款 500h 运动版
车前雾灯,-,-
车内环境氛围灯,-,
车内化妆镜,,
车内中控锁,●,●
车内PM2.5过滤装置,-,●
车体结构,承载式,承载式
负离子发生器,-,●
语音识别控制系统,,
触摸式阅读灯,●,●
被动行人保护,-,●
行车电脑显示屏幕,,
行程(mm),-,83
蓝牙/车载电话,●,●
自适应远近光,●,●
自动驻车,●,●
自动泊车入位,○,-
自动头灯,●,●
膝部气囊,●,●
能量回收系统,-,●
能源类型,汽油,油电混合
胎压监测功能,,
缺气保用轮胎,●,●
缸盖材料,铝合金,铝合金
缸径(mm),-,94
缸体材料,铝合金,铝合金
级别,跑车,跑车
系统综合功率(kW),-,264
系统综合功率(Ps),-,359
简称,10挡手自一体,E-CVT+自动变速箱(模拟10挡)
第二排座椅调节,-,-
空调温度控制方式,,
百公里耗电量(kWh/100km),-,-
疲劳驾驶提示,-,-
电池能量(kWh),-,1.1
电池组质保,-,十年或25万公里
电池类型,-,锂离子电池
电机类型,-,-
电机布局,-,前置
电动机总扭矩(N·m),-,300
电动机总功率(kW),-,131
电动机总功率(Ps),-,178
电动机(Ps),-,178
电动扰流板,-,●
电动座椅记忆功能,,
电动后备厢,-,-
环保标准_y,-,国VI
环保标准_x,-,国VI
牵引力控制(ASR/TCS/TRC等),●,●
燃油标号,95号,95号
燃料形式,汽油,油电混合
温度分区控制,●,●
液晶仪表尺寸,-,-
油箱容积(L),82,84
气缸数(个),8,6
气缸排列形式,V,V
每缸气门数(个),4,4
最高车速(km/h),270,250
最小转弯半径(m),-,5.3
最大马力(Ps),477,299
最大满载质量(kg),-,2445
最大扭矩转速(rpm),4800,5100
最大扭矩(N·m)_y,540,350
最大扭矩(N·m)_x,540,-
最大功率转速(rpm),-,6600
最大功率(kW)_y,351,220
最大功率(kW)_x,351,264
最大净功率(kW),-,220
无钥匙进入功能,,
无钥匙启动系统,●,●
无框设计车门,●,●
方向盘记忆,●,●
方向盘材质,,
方向盘换挡,●,●
方向盘加热,○,●
方向盘位置调节,,
整车质保,-,六年或15万公里
整备质量(kg),1969,2025
整体主动转向系统,○,●
排量(mL),-,3456
换挡形式,-,
挡位个数,10,10
扬声器数量,,
扬声器品牌名称,,
手机无线充电功能,-,-
手机互联/映射,,
手机APP远程功能,-,
慢充时间(小时),-,-
感应雨刷功能,,
快充电量(%),-,-
快充时间(小时),-,-
快充功能,-,-
座椅材质,,
座位数(个),4,4
并线辅助,●,●
巡航系统,,
导航路况信息显示,●,●
宽度(mm),1920,1920
官方0-100km/h加速(s),-,5
安全带未系提醒,,
天窗类型,,-
大灯高度可调,●,●
大灯清洗装置,-,●
大灯延时关闭,●,●
多媒体/充电接口,,
多功能方向盘,●,●
外后视镜功能,,
备胎规格,无,无
四驱形式,-,-
后雨刷,-,-
后轮距(mm),-,1635
后轮胎规格,275/40 R20,275/35 R21
后排独立空调,-,-
后排杯架,-,-
后排座椅放倒形式,-,-
后悬架类型,多连杆式独立悬架,多连杆式独立悬架
后座出风口,-,-
后备厢容积(L),153,172
后制动器类型,通风盘式,通风盘式
可变转向比,○,●
可变悬架功能,,
变速箱类型,手自一体变速箱(AT),E-CVT+自动变速箱
变速箱,10挡手自一体,E-CVT+自动变速箱(模拟10挡)
发动机电子防盗,●,●
发动机特有技术,双VVT-i,双VVT-i*
发动机布局,纵置,纵置
发动机型号,-,8GR-FXS
发动机,5.0L 477马力 V8,3.5L 299马力 V6
压缩比,12.3,13
厂商指导价(元),0.00万,129.60万
厂商,雷克萨斯,雷克萨斯
卫星导航系统,●,●
助力类型,电动助力,电动助力
副驾驶位后排可调节按钮,-,-
副座椅调节方式,,
前轮距(mm),-,1630
前轮胎规格,245/45 R20,245/40 R21
前电动机最大扭矩(N·m),-,300
前电动机最大功率(kW),-,131
前方碰撞预警,-,●
前排座椅功能,,
前悬架类型,多连杆式独立悬架,多连杆式独立悬架
前制动器类型,通风盘式,通风盘式
前/后驻车雷达,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
前/后排头部气囊(气帘),前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排侧气囊,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
前/后中央扶手,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
刹车辅助(EBA/BAS/BA等),●,●
制动力分配(EBD/CBC等),●,●
内后视镜功能,,
全液晶仪表盘,●,●
倒车车侧预警系统,●,●
供油方式,直喷,直喷
低速行车警告,-,●
主座椅调节方式,,
主动刹车/主动安全系统,●,●
主/副驾驶座电动调节,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
主/副驾驶座安全气囊,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
中控彩色屏幕,,
中控屏幕尺寸,,
中央差速器结构,-,-
上市时间,-,2023.08
上坡辅助,●,●
WLTC综合油耗(L/100km),-,7.23
USB/Type-C接口数量,,
OTA升级,-,●
NEDC综合油耗(L/100km),12.6,6.9
LED日间行车灯,●,●
ISOFIX儿童座椅接口,●,●
HUD抬头数字显示,○,●
ETC装置,-,○
ABS防抱死,●,●
4G/5G网络,-,
