Feature,69958,69995,69996,69997,69998,69999,70000
高度(mm),1485,1485,1485,1485,1485,1485,1485
驾驶辅助影像,,,,,,,
驾驶模式切换,,,,,,,
驻车制动类型,,,,,,,
驱动电机数,单电机,-,-,-,单电机,单电机,单电机
驱动方式,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-
隐藏电动门把手,●,●,●,●,●,●,●
陡坡缓降,-,-,-,-,-,-,-
长度(mm),4982,4982,4982,4982,4982,4982,4982
长*宽*高(mm),4982*1865*1485,4982*1865*1485,4982*1865*1485,4982*1865*1485,4982*1865*1485,4982*1865*1485,4982*1865*1485
钥匙类型,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路交通标识识别,●,-,●,●,●,●,●
远程启动功能,,,,,,,
远光灯光源,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,
辅助驾驶系统,,-,,,,,
辅助驾驶等级,,-,,,,,
轴距(mm),2930,2930,2930,2930,2930,2930,2930
轮圈材质,,,,,,,
转向辅助灯,●,-,-,●,-,●,●
车门数(个),,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,●,-,●,●,●,●,●
车道偏离预警系统,●,-,●,●,●,●,●
车道保持辅助系统,●,-,●,●,●,●,●
车载空气净化器,●,●,●,●,●,●,●
车载智能系统,,,,,,,
车身结构_y,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身结构_x,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,
车机智能芯片,,,,,,,
车型名称,林肯Z 2025款 2.0T 骑士特别版,林肯Z 2025款 2.0T 尊悦版,林肯Z 2025款 2.0T 尊尚版,林肯Z 2025款 2.0T 尊逸版,林肯Z 2025款 2.0T 尊尚混动版,林肯Z 2025款 2.0T 尊逸混动版,林肯Z 2025款 2.0T 尊耀混动版
车前雾灯,-,-,-,-,-,-,-
车内香氛装置,-,-,-,-,-,-,●
车内环境氛围灯,,,,,,,
车内摄像头数量,-,-,-,-,-,-,
车内化妆镜,,,,,,,
车内中控锁,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,,,,,,,
语音连续识别,●,●,●,●,●,●,●
语音识别控制系统,,,,,,,
语音助手唤醒词,,,,,,,
语音分区域唤醒识别,,,,,,,
语音免唤醒词,●,●,●,●,●,●,●
被动行人保护,●,●,●,●,●,●,●
行车电脑显示屏幕,,,,,,,
蓝牙/车载电话,●,●,●,●,●,●,●
自适应远近光,●,-,●,●,●,●,●
自动驻车,●,●,●,●,●,●,●
自动泊车入位,-,-,-,-,-,-,●
自动头灯,●,●,●,●,●,●,●
自动变道辅助,-,-,-,-,-,-,●
能源类型_y,油电混合,汽油,汽油,汽油,油电混合,油电混合,油电混合
能源类型_x,油电混合,汽油,汽油,汽油,油电混合,油电混合,油电混合
胎压监测功能,,,,,,,
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
级别,中型车,中型车,中型车,中型车,中型车,中型车,中型车
系统综合功率(kW),234,-,-,-,234,234,234
系统综合功率(Ps),318,-,-,-,318,318,318
简称,E-CVT无级变速,8挡手自一体,8挡手自一体,8挡手自一体,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速
第二排座椅调节,-,-,-,-,-,-,-
空调温度控制方式,,,,,,,
空气质量监测,●,-,●,●,●,●,●
离去角(°),16,16,16,16,16,16,16
疲劳驾驶提示,●,-,●,●,●,●,●
电芯品牌,,-,-,-,,,
电池类型,,-,-,-,,,
电机类型,永磁/同步,-,-,-,永磁/同步,永磁/同步,永磁/同步
电机布局,前置,-,-,-,前置,前置,前置
电动机总马力(Ps),190,-,-,-,190,190,190
电动机总扭矩(N·m),320,-,-,-,320,320,320
电动机总功率(kW),140,-,-,-,140,140,140
电动机(Ps),190,-,-,-,190,190,190
电动座椅记忆功能,,-,,,,,
电动后备厢,-,-,-,-,-,-,-
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●
燃油标号,95号,95号,95号,95号,95号,95号,95号
温度分区控制,●,●,●,●,●,●,●
液晶仪表尺寸,,,,,,,
油箱容积(L),53,66,66,66,53,53,53
气缸数(个),4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L
毫米波雷达数量,,-,,,,,
每缸气门数(个),4,4,4,4,4,4,4
最高车速(km/h),189,220,220,220,189,189,189
最大马力(Ps),294,261,261,261,294,294,294
最大满载质量(kg),2145,2055,2055,2055,2145,2145,2145
最大扭矩转速(rpm),3000-4500,2000-4000,2000-4000,2000-4000,3000-4500,3000-4500,3000-4500
最大扭矩(N·m)_y,410,393,393,393,410,410,410
最大扭矩(N·m)_x,-,393,393,393,-,-,-
最大功率转速(rpm),5500,5500,5500,5500,5500,5500,5500
最大功率(kW)_y,216,192,192,192,216,216,216
最大功率(kW)_x,234,192,192,192,234,234,234
最大净功率(kW),214,190,190,190,214,214,214
无钥匙进入功能,,,,,,,
无钥匙启动系统,●,●,●,●,●,●,●
方向盘记忆,-,-,-,-,-,-,-
方向盘材质,,,,,,,
方向盘换挡,-,●,●,●,-,-,-
方向盘加热,●,-,-,●,-,●,●
方向盘位置调节,,,,,,,
整车质保,,,,,,,
整备质量(kg),1723,1596,1596,1635,1690,1723,1723
摄像头数量,,,,,,,
接近角(°),14,14,14,14,14,14,14
排量(mL),1995,1995,1995,1995,1995,1995,1995
换挡形式,,,,,,,
挡位个数,无级变速,8,8,8,无级变速,无级变速,无级变速
扬声器数量,,,,,,,
扬声器品牌名称,,-,-,,-,,
手机无线充电功能,,-,-,,-,,
手机互联/映射,,,,,,,
手机APP远程功能,,,,,,,
感应雨刷功能,,,,,,,
座椅材质,,,,,,,
座位数(个),,,,,,,
并线辅助,●,-,●,●,●,●,●
巡航系统,,,,,,,
导航路况信息显示,●,●,●,●,●,●,●
