Feature,66452,66453,66454,67285,67286,67287,68198,68467,68468,71845,71846
高度(mm),1682,1682,1682,1673,1673,1677,1682,1682,1682,1682,1682
驾驶辅助影像,,,,,,,,,,-,-
驾驶模式切换,,,,,,,,,,-,-
驻车制动类型,,,,,,,,,,,
驱动方式,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,●,-,-,-,-,●,-,-,-
长度(mm),4735,4735,4735,4733,4733,4735,4735,4735,4735,4735,4735
长*宽*高(mm),4735*1842*1682,4735*1842*1682,4735*1859*1682,4733*1839*1673,4733*1839*1673,4735*1859*1677,4735*1859*1682,4735*1859*1682,4735*1859*1682,4735*1842*1682,4735*1859*1682
钥匙类型,,,,,,,,,,-,-
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
遥控泊车,-,-,○,-,-,-,○,○,○,-,-
道路救援呼叫,●,●,●,-,-,-,●,●,●,-,-
道路交通标识识别,●,●,●,-,-,-,●,●,●,-,-
远光灯光源,,,,,,,,,,-,-
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,-,-
辅助驾驶系统,,,,-,-,-,,,,-,-
辅助驾驶等级,,,,-,-,-,,,,-,-
轴距(mm),2791,2791,2791,2791,2791,2791,2791,2791,2791,2791,2791
轮圈材质,,,,,,,,,,-,-
转向头灯,-,-,●,-,-,-,-,-,●,-,-
车顶行李架,●,●,●,●,●,●,●,●,●,-,-
车门数(个),,,,,,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,●,●,●,-,-,-,●,●,●,-,-
车道偏离预警系统,●,●,●,-,-,-,●,●,●,-,-
车道保持辅助系统,●,●,●,-,-,-,●,●,●,-,-
车载空气净化器,-,●,●,-,-,-,●,●,●,-,-
车载KTV,●,●,●,-,-,-,●,●,●,-,-
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,-,-
车联网,●,●,●,●,●,●,●,●,●,-,-
车窗防夹手功能,●,●,●,●,●,●,●,●,●,-,-
车窗一键升降功能,,,,,,,,,,-,-
车机系统存储(GB),,,,-,-,-,,,,-,-
车机系统内存(GB),,,,-,-,-,,,,-,-
车机智能芯片,,,,-,-,-,,,,-,-
车型名称,途观L 2024款 PRO 330TSI 两驱智行版,途观L 2024款 PRO 330TSI 两驱智领版,途观L 2024款 PRO 380TSI 四驱R-Line智尊版,途观L 2024款 出众款 300TSI 自动两驱龙腾版,途观L 2024款 出众款 330TSI 自动两驱龙腾版,途观L 2024款 出众款 330TSI 自动两驱R-Line龙耀版,途观L 2024款 PRO 330TSI 两驱R-Line智领版,途观L 2024款 PRO 380TSI 四驱R-Line智领版,途观L 2024款 PRO 330TSI 两驱R-Line智尊版,途观L 2025款 PRO 380TSI 两驱版,途观L 2025款 PRO 380TSI 两驱R-Line版
车前雾灯,-,-,-,-,-,-,-,-,-,-,-
车内香氛装置,-,-,●,-,-,-,-,-,●,-,-
车内生物监测系统,●,●,●,-,-,-,●,●,●,-,-
