Feature,50689,50690,50691,61373,62513,62514
高度(mm),1482,1482,1482,1482,1482,1482
驾驶辅助影像,,,,,,
驾驶模式切换,,,,,,
驻车制动类型,,,,,,
驱动电机数,单电机,单电机,双电机,双电机,单电机,单电机
驱动方式,,,,,,
风阻系数(Cd),0.27,0.27,0.27,0.27,0.27,0.27
陡坡缓降,-,-,-,-,-,-
长度(mm),4606,4606,4606,4606,4606,4606
长*宽*高(mm),4606*1859*1482,4606*1859*1482,4606*1859*1482,4606*1859*1482,4606*1859*1482,4606*1859*1482
钥匙类型,,,,,,
道路救援呼叫,●,●,●,●,●,●
道路交通标识识别,●,●,●,●,●,●
远程启动功能,,,,,,
远光灯光源,,,,,,
近光灯光源,,,,,,
辅助驾驶系统,,,,,,
辅助驾驶等级,,,,,,
轴距(mm),2735,2735,2735,2735,2735,2735
轮圈材质,,,,,,
转向辅助灯,○,○,○,○,○,○
车门数(个),,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,○,○,○,○,○,○
车道偏离预警系统,●,●,●,●,●,●
车道保持辅助系统,●,●,●,●,●,●
车载空气净化器,●,●,●,●,●,●
车载智能系统,,,,,,
车身结构_y,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车
车身结构_x,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●
车联网,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●
车窗一键升降功能,,,,,,
车型名称,Polestar 2 2021款 单电机标准续航,Polestar 2 2021款 单电机长续航,Polestar 2 2021款 双电机长续航,Polestar 2 2024款 双电机长续航,Polestar 2 2024款 单电机标准续航,Polestar 2 2024款 单电机长续航
车前雾灯,,,,,,
车内环境氛围灯,,,,,,
车内化妆镜,,,,,,
车内中控锁,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式
语音识别控制系统,,,,,,
语音分区域唤醒识别,-,-,-,,,
行车电脑显示屏幕,,,,,,
行李厢12V电源接口,○,○,○,●,●,●
蓝牙/车载电话,●,●,●,●,●,●
自适应远近光,○,○,○,○,○,○
自动驻车,-,-,-,-,-,-
自动头灯,●,●,●,●,●,●
能量回收系统,●,●,●,●,●,●
能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
胎压监测功能,,,,,,
缺气保用轮胎,-,-,-,-,-,-
级别,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排座椅调节,-,-,-,-,-,-
第二排座椅功能,,,,,,
空调温度控制方式,,,,,,
离去角(°),22,22,20,22,22,22
百公里耗电量(kWh/100km),14.7,14.9,16.5,13.5,-,11.9
疲劳驾驶提示,●,●,●,●,●,●
电芯品牌,,,,,,
电能当量燃料消耗量(L/100km),1.66,1.95,1.87,-,-,-
电池预加热,●,●,●,●,●,●
电池能量密度(Wh/kg),143.8,157.5,157.5,158,152,166
电池能量(kWh),64,78,78,78,69,82
电池类型,,,,,,
电池快充电量范围(%)_y,-,-,80,80,80,80
电池快充电量范围(%)_x,-,-,80,80,80,80
电池快充时间(小时)_y,-,0.55,0.55,0.57,0.57,0.47
电池快充时间(小时)_x,-,0.55,0.55,0.57,0.57,0.47
电池冷却方式,液冷,液冷,液冷,液冷,液冷,液冷
电机类型,永磁/同步,永磁/同步,永磁/同步,前交流/异步 后永磁/同步,永磁/同步,永磁/同步
电机布局,前置,前置,前置+后置,前置+后置,后置,后置
电动机总马力(Ps),-,-,-,422,272,299
电动机总扭矩(N·m),330,330,660,740,490,490
电动机总功率(kW),165,170,300,310,200,220
电动机(Ps),224,231,408,422,272,299
电动座椅记忆功能,,,,,,
电动后备厢位置记忆,●,●,●,●,●,●
电动后备厢,●,●,●,●,●,●
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●
热泵空调,○,○,○,●,●,●
灯光特色功能,,,,,,
满载最小离地间隙(mm),151,151,151,-,-,-
温度分区控制,●,●,●,●,●,●
液晶仪表尺寸,,,,,,
最高车速(km/h),160,160,205,205,205,205
最大满载质量(kg),2390,2490,2600,2600,2450,2500
最大扭矩(N·m),330,330,660,740,490,490
最大功率(kW),165,170,300,310,200,220
无钥匙进入功能,,,,,,
无钥匙启动系统,●,●,●,●,●,●
方向盘记忆,-,-,-,-,-,-
方向盘材质,,,,,,
方向盘换挡,-,-,-,-,-,-
方向盘加热,○,○,○,●,●,●
方向盘位置调节,,,,,,
整车质保,,,,,,
整备质量(kg),1958,2012,2109,2132,1967,2034
接近角(°),15,15,15,15,15,15
换电,不支持,不支持,不支持,不支持,不支持,不支持
换挡形式,,,,,,
挡位个数,1,1,1,1,1,1
扬声器数量,,,,,,
扬声器品牌名称,,,,,,
手机无线充电功能,,,,,,
手机互联/映射,,,,,,
手机APP远程功能,,,,,,
慢充接口位置,-,-,-,车左后侧,车左后侧,车左后侧
感应雨刷功能,,,,,,
感应后备厢,●,●,●,●,●,●
快充接口位置,-,-,-,车右后侧,车右后侧,车右后侧
快充功能,支持,支持,支持,支持,支持,支持
快充功率(kW),-,-,-,155,135,205
座椅材质,,,,,,
座位数(个),,,,,,
并线辅助,○,○,○,●,●,●
巡航系统,,,,,,
导航路况信息显示,●,●,●,●,●,●
宽度(mm),1859,1859,1859,1859,1859,1859
官方0-100km/h加速(s),7.4,7.4,4.7,4.5,6.4,6.2
安全带未系提醒,,,,,,
天窗类型,,,,,,
大灯高度可调,●,●,●,●,●,●
大灯清洗装置,●,●,●,-,-,-
大灯延时关闭,●,●,●,●,●,●
多媒体/充电接口,,,,,,
多功能方向盘,●,●,●,●,●,●
外后视镜功能,,,,,,
备胎规格,,,,,,
地图品牌,,,,,,
四驱形式,-,-,,,-,-
后雨刷,-,-,-,-,-,-
后轮距(mm),-,-,-,1601,1601,1601
后轮胎规格,,,,,,
后电动机最大扭矩(N·m),-,-,330,490,490,490
后电动机最大功率(kW),-,-,150,200,200,220
后方碰撞预警,○,○,○,●,●,●
后排独立空调,-,-,-,-,-,-
后排杯架,●,●,●,●,●,●
后排座椅放倒形式,,,,,,
后悬架类型,,,,,,
后座出风口,●,●,●,●,●,●
后备厢容积(L),440-1130,440-1130,440-1130,446-1136,446-1136,446-1136
后制动器类型,,,,,,
可变悬架功能,-,-,,,-,-
可加热喷水嘴,○,○,○,●,●,●
变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
厂商指导价(元),29.98万,32.98万,35.88万,35.88万,29.98万,32.98万
厂商,Polestar,Polestar,Polestar,Polestar,Polestar,Polestar
卫星导航系统,●,●,●,●,●,●
单踏板模式,-,-,-,●,●,●
助力类型,,,,,,
副驾驶位后排可调节按钮,-,-,-,-,-,-
副座椅调节方式,,,,,,
前轮距(mm),-,-,-,1602,1602,1602
前轮胎规格,,,,,,
前电动机最大扭矩(N·m),330,330,330,250,-,-
前电动机最大功率(kW),165,170,150,110,-,-
前方碰撞预警,●,●,●,●,●,●
前排座椅功能,,,,,,
前排中间气囊,●,●,●,●,●,●
前悬架类型,,,,,,
前制动器类型,,,,,,
前/后驻车雷达,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排头部气囊(气帘),前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排侧气囊,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
前/后中央扶手,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
