Feature,66973,66974,66975,66976,66977,71100,71101,71102,71103
高度(mm),1630,1630,1630,1630,1630,1630,1630,1630,1630
驾驶辅助影像,,,,,,,,,
驾驶模式切换,,,,,,,,,
驻车制动类型,,,,,,,,,
驱动电机数,-,-,-,双电机,双电机,-,-,双电机,双电机
驱动方式,,,,,,,,,
首任车主质保政策,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-
面部识别,-,-,●,-,●,-,-,-,-
隐藏电动门把手,●,●,●,●,●,●,●,●,●
陡坡缓降,●,●,●,●,●,●,●,●,●
防侧翻系统,●,●,●,●,●,-,-,-,-
长度(mm),4650,4650,4650,4650,4650,4667,4667,4667,4667
长*宽*高(mm),4650*1905*1630,4650*1905*1630,4650*1905*1630,4650*1905*1630,4650*1905*1630,4667*1905*1630,4667*1905*1630,4667*1905*1630,4667*1905*1630
钥匙类型,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路交通标识识别,-,-,●,-,●,-,-,-,-
透明底盘/540度影像,-,●,●,●,●,-,●,-,●
远程启动功能,,,,,,,,,
远光灯光源,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,
运动风格座椅,●,●,●,●,●,●,●,●,●
辅助驾驶等级,-,-,,-,,-,-,-,-
轴距(mm),2775,2775,2775,2775,2775,2775,2775,2775,2775
轮圈材质,,,,,,,,,
车顶行李架,●,●,●,●,●,○,●,○,●
车门数(个),,,,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,-,-,●,-,●,-,-,-,-
车道偏离预警系统,-,-,●,-,●,-,-,-,-
车道保持辅助系统,-,-,●,-,●,-,-,-,-
车载空气净化器,-,-,-,●,●,-,-,-,-
车载智能系统,-,,,,,,,,
车载KTV,-,●,●,-,-,-,-,-,-
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,
车型名称,皓瀚 2024款 荣耀版 1.5T 时尚型,皓瀚 2024款 荣耀版 1.5T 豪华型,皓瀚 2024款 荣耀版 1.5T 尊贵型,皓瀚 2024款 荣耀版 DH-i 1.5T 豪华型,皓瀚 2024款 荣耀版 DH-i 1.5T 尊贵型,皓瀚 2025款 1.5T 劲尚版,皓瀚 2025款 1.5T 豪华型,皓瀚 2025款 DH-i 1.5T 时尚型,皓瀚 2025款 DH-i 1.5T 豪华型
车前雾灯,-,-,-,-,-,-,-,-,-
车内香氛装置,●,●,●,●,●,●,●,●,●
车内环境氛围灯,-,-,-,-,,-,-,-,-
车内化妆镜,-,,,,,-,,-,
车内中控锁,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,-,-,-,-,-,-,-,-,-
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,,,,,,,,,
语音识别控制系统,,,,,,,,,
触摸式阅读灯,●,●,●,●,●,●,●,●,●
行车电脑显示屏幕,,,,,,,,,
蓝牙/车载电话,●,●,●,●,●,●,●,●,●
自适应远近光,-,-,●,-,●,-,-,-,-
自动驾驶辅助路段,-,-,,-,-,-,-,-,-
自动驻车,●,●,●,●,●,●,●,●,●
自动头灯,●,●,●,●,●,●,●,●,●
能量回收系统,-,-,-,●,●,-,-,●,●
能源类型_y,汽油,汽油,汽油,油电混合,油电混合,汽油,汽油,油电混合,油电混合
能源类型_x,汽油,汽油,汽油,油电混合,油电混合,汽油,汽油,油电混合,油电混合
胎压监测功能,,,,,,,,,
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
级别,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV
系统综合扭矩(N·m),-,-,-,565,565,-,-,565,565
系统综合功率(kW),-,-,-,215,215,-,-,215,215
系统综合功率(Ps),-,-,-,292,292,-,-,292,292
简称,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,4挡DHT,4挡DHT,7挡湿式双离合,7挡湿式双离合,4挡DHT,4挡DHT
第二排座椅调节,-,-,-,-,-,-,-,-,-
空调温度控制方式,,,,,,,,,
离去角(°),26,26,26,26,26,26,26,26,26
疲劳驾驶提示,-,-,●,-,●,-,-,-,-
电芯品牌,-,-,-,,,-,-,,
电池类型,-,-,-,,,-,-,,
电机类型,-,-,-,永磁/同步,永磁/同步,-,-,永磁/同步,永磁/同步
电机布局,-,-,-,前置,前置,-,-,前置,前置
电动机总马力(Ps),-,-,-,143,143,-,-,143,143
电动机总扭矩(N·m),-,-,-,210,210,-,-,210,210
电动机总功率(kW),-,-,-,105,105,-,-,105,105
电动机(Ps),-,-,-,143,143,-,-,143,143
电动座椅记忆功能,-,-,,-,,-,-,-,-
电动后备厢位置记忆,-,●,●,●,●,-,○,-,○
电动后备厢,-,●,●,●,●,-,○,-,○
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●
燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号
满载最小离地间隙(mm),197,197,197,197,197,197,197,197,197
温度分区控制,-,-,-,-,-,-,-,-,-
液晶仪表尺寸,,,,,,,,,
油箱容积(L),51,51,51,51,51,51,51,51,51
气缸数(个),4,4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4,4,4,4
模拟声浪,-,●,●,●,●,-,-,-,-
最高车速(km/h),190,190,190,170,170,190,190,170,170
最大马力(Ps),204,204,204,204,204,204,204,204,204
最大满载质量(kg),1875,1875,1875,1982,1982,1875,1875,1982,1982
最大扭矩转速(rpm),2000-4000,2000-4000,2000-4000,2000-4000,2000-4000,2000-4000,2000-4000,2000-4000,2000-4000
最大扭矩(N·m)_y,305,305,305,305,305,305,305,305,305
最大扭矩(N·m)_x,305,305,305,565,565,305,305,565,565
最大功率转速(rpm),5200,5200,5200,5200,5200,5200,5200,5200,5200
最大功率(kW)_y,150,150,150,150,150,150,150,150,150
