Feature,1005931,1005932,1005933,1005934,1006489,1006490,1006491,1006492,1006567,1006568,1006569,1006570,1006571,1006572,1006573,1006574
高度(mm),1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740
驾驶辅助影像,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驱动方式,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),5665,5665,5665,5665,5665,5665,5665,5665,5665,5665,5665,5665,5665,5665,5665,5665
长*宽*高(mm),5665×1720×1740,5665×1720×1740,5665×1720×1740,5665×1720×1740,5665×1720×1740,5665×1720×1740,5665×1720×1740,5665×1720×1740,5665×1720×1740,5665×1720×1740,5665×1720×1740,5665×1720×1740,5665×1720×1740,5665×1720×1740,5665×1720×1740,5665×1720×1740
钥匙类型,,,,,,,,,,,,,,,,
配气机构,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
远光灯光源,,,,,,,,,,,,,,,,
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,,,,,,,
轴距(mm),3780,3780,3480,3480,3480,3480,3480,3480,3480,3480,3480,3480,3480,3480,3480,3480
轮圈材质,,,,,,,,,,,,,,,,
车门数(个),4,4,2,2,2,2,4,4,4,2,4,2,4,2,4,2
车身结构_y,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车身结构_x,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,骐铃T100 2017款 2.2L豪华版JML1032A3N双排V22,骐铃T100 2017款 2.2L创富版JML1032A3N双排V22,骐铃T100 2017款 2.2L豪华版JML1032A3NS单排V22,骐铃T100 2017款 2.2L创富版JML1032A3NS单排V22,骐铃T100 2018款 2.2L T100S 豪华版JML1032A3NS单排V22,骐铃T100 2018款 2.2L T100S 创富版JML1032A3NS单排V22,骐铃T100 2018款 2.2L T100S 豪华版JML1032A3N双排V22,骐铃T100 2018款 2.2L T100S 创富版JML1032A3N双排V22,骐铃T100 2018款 2.8T三面开豪华版双排JE493ZLQ5D,骐铃T100 2018款 2.8T三面开豪华版单排JE493ZLQ5D,骐铃T100 2018款 2.8T三面开创富版双排JE493ZLQ5D,骐铃T100 2018款 2.8T三面开创富版单排JE493ZLQ5D,骐铃T100 2018款 2.8T栏板豪华版双排JE493ZLQ5D,骐铃T100 2018款 2.8T栏板豪华版单排JE493ZLQ5D,骐铃T100 2018款 2.8T栏板创富版双排JE493ZLQ5D,骐铃T100 2018款 2.8T栏板创富版单排JE493ZLQ5D
车前雾灯,,,,,,,,,,,,,,,,
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式
