Feature,64853,64854,64855,64856,64857,64858,64859,64860,64861,64862,64863,64864,64865,64866,68726,69761,69762,69763,70232,70233
高度(mm),1458,1458,1458,1458,1458,1458,1458,1429,1429,1429,1429,1429,1429,1429,1432,1432,1458,1458,1458,1432
驾驶辅助影像,,,,,,,,,,,,,,,,,,,,
驾驶模式切换,,,,,,,,,,,,,,,,,,,,
驻车制动类型,,,,,,,,,,,,,,,,,,,,
驱动方式,,,,,,,,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4343,4351,4343,4351,4343,4351,4351,4548,4554,4548,4554,4548,4554,4554,4606,4606,4354,4354,4354,4606
长*宽*高(mm),4343*1815*1458,4351*1815*1458,4343*1815*1458,4351*1815*1458,4343*1815*1458,4351*1815*1458,4351*1815*1458,4548*1814*1429,4554*1814*1429,4548*1814*1429,4554*1814*1429,4548*1814*1429,4554*1814*1429,4554*1814*1429,4606*1814*1432,4606*1814*1432,4354*1815*1458,4354*1815*1458,4354*1815*1458,4606*1814*1432
钥匙类型,,,,,,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
远光灯光源,,,,,,,,,,,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,,,,,,,,,,,
运动风格座椅,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
