Feature,56897,56899,56901,56902,56904,56905,56906,56907,56908,56909,59230,59231,59232,64337,66023,66024
高度(mm),1423,1428,1428,1428,1423,1428,1428,1417,1427,1432,1423,1428,1428,1428,1423,1428
驾驶辅助影像,,,,,,,,,,,,,,,,
驾驶模式切换,,,,,,,,,,,,,,,,
驻车制动类型,,,,,,,,,,,,,,,,
驱动方式,,,,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
限滑差速器/差速锁,-,-,-,-,-,-,-,,,,-,-,-,-,-,-
长度(mm),5049,5199,5049,5199,5049,5049,5199,5053,5049,5199,5049,5199,5199,5202,5052,5202
长*宽*高(mm),5049*1937*1423,5199*1937*1428,5049*1937*1428,5199*1937*1428,5049*1937*1423,5049*1937*1428,5199*1937*1428,5053*1937*1417,5049*1937*1427,5199*1937*1432,5049*1937*1423,5199*1937*1428,5199*1937*1428,5202*1937*1428,5052*1937*1423,5202*1937*1428
钥匙类型,,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
遥控泊车,-,-,-,-,-,-,-,-,-,-,-,-,-,○,○,○
道路救援呼叫,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●
道路交通标识识别,○,○,○,○,○,○,○,○,○,○,-,-,-,●,●,●
远光灯光源,,,,,,,,,,,,,,,,
进气形式,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压
近光灯光源,,,,,,,,,,,,,,,,
运动风格座椅,○,-,○,-,○,○,-,●,○,-,○,-,-,○,○,○
运动外观套件,●,●,●,●,●,●,●,●,●,●,●,●,●,○,○,○
辅助驾驶等级,,,,,,,,,,,,,,,,
轴距(mm),2950,3100,2950,3100,2950,2950,3100,2950,2950,3100,2950,3100,3100,3100,2950,3100
轮圈材质,,,,,,,,,,,,,,,,
转向辅助灯,○,○,○,○,○,○,○,○,○,○,-,-,-,○,○,○
转向头灯,○,○,○,○,○,○,○,○,○,○,-,-,-,○,○,○
车顶行李架,○,-,○,-,○,○,-,○,○,-,○,-,-,-,-,-
车门数(个),,,,,,,,,,,,,,,,
车门开启方式,-,-,-,-,-,-,-,-,-,-,-,-,-,平开门,平开门,平开门
车道居中保持,-,-,-,-,-,-,-,-,-,-,-,-,-,○,○,○
车道偏离预警系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车道保持辅助系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车载空气净化器,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车载CD/DVD,-,-,-,-,-,-,-,,,,-,-,-,-,-,-
车身结构_y,掀背车,掀背车,旅行车,掀背车,掀背车,旅行车,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车
