Feature,68211,69745
高度(mm),1450,1450
驾驶辅助影像,,
驾驶模式切换,,
驻车制动类型,,
驱动电机数,单电机,单电机
驱动方式,,
风阻系数(Cd),-,-
陡坡缓降,-,-
长度(mm),4882,4882
长*宽*高(mm),4882*1820*1450,4882*1820*1450
钥匙类型,,
配气机构,DOHC,DOHC
道路救援呼叫,●,●
道路交通标识识别,○,○
远程启动功能,,
远光灯光源,,
进气形式,涡轮增压,涡轮增压
近光灯光源,,
运动风格座椅,●,●
辅助驾驶等级,,
轴距(mm),2954,2954
轮圈材质,,
转向头灯,○,○
车门数(个),,
车门开启方式,平开门,平开门
车道居中保持,○,○
车道偏离预警系统,●,●
车道保持辅助系统,●,●
车载空气净化器,●,●
车载智能系统,,
车身结构_y,三厢车,三厢车
车身结构_x,4门5座三厢车,4门5座三厢车
车身稳定控制(ESC/ESP/DSC等),●,●
车联网,●,●
车窗防夹手功能,●,●
车窗一键升降功能,,
车机智能芯片,-,
车型名称,奔驰C级新能源 2024款 改款三 C 350 eL,奔驰C级新能源 2025款 C 350 eL
车前雾灯,-,-
车内香氛装置,○,○
车内环境氛围灯,,
车内化妆镜,,
车内中控锁,●,●
车内PM2.5过滤装置,●,●
车体结构,承载式,承载式
负离子发生器,○,○
语音连续识别,●,●
语音识别控制系统,,
语音助手唤醒词,-,
语音分区域唤醒识别,,
语音免唤醒词,●,●
被动行人保护,●,●
行车电脑显示屏幕,,
蓝牙/车载电话,●,●
自适应远近光,●,●
自动驻车,●,●
自动泊车入位,●,●
自动头灯,●,●
自动变道辅助,○,○
膝部气囊,,
能量回收系统,●,●
能源类型_y,插电式混合动力,插电式混合动力
能源类型_x,插电式混合动力,插电式混合动力
胎压监测功能,,
缸盖材料,铝合金,铝合金
缸体材料,铝合金,铝合金
级别,中型车,中型车
系统综合扭矩(N·m),550,550
系统综合功率(kW),230,230
系统综合功率(Ps),313,313
简称,9挡手自一体,9挡手自一体
第二排座椅调节,-,-
第二排座椅功能,,
空调温度控制方式,,
空气悬架,●,●
离去角(°),17,17
百公里耗电量(kWh/100km),23.1,18.1
