Feature,71748,72482,72483,72891,72892
高度(mm),1645,1645,1645,1645,1645
驾驶辅助影像,,,,,
驾驶模式切换,,,,,
驻车制动类型,,,,,
驱动电机数,单电机,单电机,单电机,单电机,单电机
驱动方式,,,,,
风阻系数(Cd),-,-,-,-,-
陡坡缓降,-,-,-,-,-
长度(mm),4306,4306,4306,4306,4306
长*宽*高(mm),4306*1868*1645,4306*1868*1645,4306*1868*1645,4306*1868*1645,4306*1868*1645
钥匙类型,,,,,
遥控泊车,●,-,●,-,-
道路交通标识识别,●,●,●,●,●
透明底盘/540度影像,●,●,●,-,●
远程启动功能,,,,,
远光灯光源,,,,,
近光灯光源,,,,,
辅助驾驶路段,,-,,-,-
辅助驾驶等级,,,,,
辅助泊车入位,●,-,●,-,-
辅助变道,●,-,●,-,-
辅助匝道自动驶出(入),●,-,●,-,-
轴距(mm),2715,2715,2715,2715,2715
轮圈材质,,,,,
车顶行李架,●,●,●,●,●
车门数(个),,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门
车道居中保持,●,●,●,●,●
车道偏离预警系统,●,●,●,●,●
车道保持辅助系统,●,●,●,●,●
车载空气净化器,-,-,-,-,-
车身结构_y,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●
车联网,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●
车窗一键升降功能,,,,,
车机智能芯片,,,,,
车外扬声器数量,,,,,
车型名称,纳米06 2025款 471 Ultra,纳米06 2025款 471 Pro,纳米06 2025款 401 Ultra,纳米06 2025款 401 Air,纳米06 2025款 401 Pro
车前雾灯,-,-,-,-,-
车内环境氛围灯,,,,-,
车内化妆镜,,,,,
车内中控锁,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,,,,,
语音连续识别,●,●,●,●,●
语音识别控制系统,,,,,
语音助手唤醒词,,,,,
语音分区域唤醒识别,,,,,
语音免唤醒词,●,●,●,●,●
记忆泊车,●,-,●,-,-
触摸式阅读灯,●,●,●,●,●
行车电脑显示屏幕,,,,,
行李厢12V电源接口,●,●,●,●,●
蓝牙/车载电话,●,●,●,●,●
自适应远近光,●,●,●,●,●
自动驻车,●,●,●,●,●
自动头灯,●,●,●,●,●
能量回收系统,●,●,●,●,●
能源类型,纯电动,纯电动,纯电动,纯电动,纯电动
胎压监测功能,,,,,
级别,小型SUV,小型SUV,小型SUV,小型SUV,小型SUV
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排座椅调节,-,-,-,-,-
空调温度控制方式,,,,,
离去角(°),30,30,30,30,30
百公里耗电量(kWh/100km),12.6,12.6,12.4,12.4,12.4
疲劳驾驶提示,-,-,-,-,-
电芯品牌,,,,,
电能当量燃料消耗量(L/100km),1.46,1.46,1.44,1.44,1.44
电池预加热,●,●,●,●,●
电池能量(kWh),51.87,51.87,44.94,44.94,44.94
电池类型,,,,,
电池慢充时间(小时)_y,9,9,8.3,8.3,8.3
电池慢充时间(小时)_x,9,9,8.3,8.3,8.3
电池快充电量范围(%)_y,30-80,30-80,30-80,30-80,30-80
电池快充电量范围(%)_x,30-80,30-80,30-80,30-80,30-80
电池快充时间(小时)_y,0.3,0.3,0.5,0.5,0.5
电池快充时间(小时)_x,0.3,0.3,0.5,0.5,0.5
电池冷却方式,液冷,液冷,液冷,液冷,液冷
电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电机布局,前置,前置,前置,前置,前置
电动机总马力(Ps),184,184,184,184,184
电动机总扭矩(N·m),290,290,290,290,290
电动机总功率(kW),135,135,135,135,135
电动机(Ps),184,184,184,184,184
电动座椅记忆功能,,,-,-,-
电动后备厢位置记忆,○,-,-,-,-
电动后备厢,○,-,-,-,-
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●
热泵空调,●,●,●,●,●
温度分区控制,-,-,-,-,-
液晶仪表尺寸,,,,,
最高车速(km/h),150,150,150,150,150
最大满载质量(kg),1975,1975,1945,1945,1945
最大扭矩(N·m),290,290,290,290,290
最大功率(kW),135,135,135,135,135
无钥匙进入功能,,,,,
无钥匙启动系统,●,●,●,●,●
方向盘记忆,-,-,-,-,-
方向盘材质,,,,,
方向盘换挡,-,-,-,-,-
方向盘加热,-,-,-,-,-
方向盘位置调节,,,,,
整车质保,-,-,-,-,-
整备质量(kg),1570,1550,1526,1526,1526
摄像头数量,,,,,
接近角(°),23,23,23,23,23
换挡形式,,,,,
挡位个数,1,1,1,1,1
扬声器数量,,,,,
扬声器品牌名称,-,-,-,-,-
手机无线充电功能,,,,-,
手机无线充电功率,,,,-,
手机互联/映射,-,-,-,-,-
手机APP远程功能,,,,,
慢充接口位置,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧
感应雨刷功能,,,,-,-
快充接口位置,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧
快充功能,支持,支持,支持,支持,支持
循迹倒车,●,-,●,-,-
座椅材质,,,,,
座位数(个),,,,,
应用商店,●,●,●,●,●
并线辅助,●,-,●,-,-
巡航系统,,,,,
导航路况信息显示,●,●,●,●,●
对外直流放电功率(kW),6,6,6,6,6
对外放电,●,●,●,●,●
对外交流放电功率(kW),3.3,3.3,3.3,3.3,3.3
宽度(mm),1868,1868,1868,1868,1868
官方0-50km/h加速(s),3.7,3.7,3.6,3.6,3.6
