Feature,1015469,1015470,1015471,1015472,1015473,1015474,1015475,1015476,1015477,1015478,1015479,1015480,1015481,1015482,1015483,1015484,1015485,1015486,1015487,1015488,1015489,1015490,1015491,1015492,1015493,1015494,1015495,1015496,1016197,1016931,1018616,1018617,1018618,1018619,1018620,1018621,1018622,1018623,1018624,1018625,1018626,1018627,1018628,1018629,1018630,1018631,1018632,1018633,1018634,1019672,1019673,1019674,1019675
高度(mm),1810,1810,1810,1810,1810,1810,1810,1810,1810,1810,1810,1810,1850,1850,1850,1850,1850,1850,1850,1850,1850,1850,1810,1810,1810,1810,1810,1810,1810,1810,1810,1810,1810,1810,1810,1810,1810,1810,1810,1810,1810,1850,1850,1850,1850,1850,1850,1850,1850,1810,1850,1810,1850
驾驶辅助影像,-,-,-,,-,,-,-,-,,,,-,-,-,,-,,-,-,,,-,-,,,,,,-,-,-,-,,-,,-,-,,,,-,-,-,,-,,-,-,,,,
驾驶模式切换,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驻车制动类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
驱动方式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
限滑差速器/差速锁,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
防侧翻系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●
长度(mm),5290,5290,5290,5290,5290,5290,5540,5540,5540,5540,5540,5540,5290,5290,5290,5290,5540,5540,5540,5540,5345,5345,5340,5340,5340,5340,5340,5340,5290,5540,5310,5310,5310,5310,5310,5310,5690,5690,5690,5690,5690,5310,5310,5310,5310,5690,5690,5690,5690,5740,5740,5740,5740
长*宽*高(mm),5290*1850*1810,5290*1850*1810,5290*1850*1810,5290*1850*1810,5290*1850*1810,5290*1850*1810,5540*1850*1810,5540*1850*1810,5540*1850*1810,5540*1850*1810,5540*1850*1810,5540*1850*1810,5290*1850*1850,5290*1850*1850,5290*1850*1850,5290*1850*1850,5540*1850*1850,5540*1850*1850,5540*1850*1850,5540*1850*1850,5345*1900*1850,5345*1900*1850,5340*1920*1810,5340*1920*1810,5340*1920*1810,5340*1920*1810,5340*1920*1810,5340*1920*1810,5290*1850*1810,5540×1850×1810,5310*1850*1810,5310*1850*1810,5310*1850*1810,5310*1850*1810,5310*1850*1810,5310*1850*1810,5690*1850*1810,5690*1850*1810,5690*1850*1810,5690*1850*1810,5690*1850*1810,5310*1850*1850,5310*1850*1850,5310*1850*1850,5310*1850*1850,5690*1850*1850,5690*1850*1850,5690*1850*1850,5690*1850*1850,5740*1900*1810,5740*1900*1850,5740*1900*1810,5740*1900*1850
钥匙类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
