Feature,62248,62249,62250,62251,62252,62253,62254,62255,62256,62257,62258,67069
高度(mm),1928,1928,1928,1928,1928,1928,1928,1928,1928,1928,1928,1928
驾驶辅助影像,,,,,,,,,,,,
驾驶模式切换,,,,,,-,-,,,-,-,
驻车制动类型,,,,,,,,,,,,
驱动方式,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),5198,5198,5198,5198,5198,5198,5198,5198,5198,5198,5198,5198
长*宽*高(mm),5198*1980*1928,5198*1980*1928,5198*1980*1928,5198*1980*1928,5198*1980*1928,5198*1980*1928,5198*1980*1928,5198*1980*1928,5198*1980*1928,5198*1980*1928,5198*1980*1928,5198*1980*1928
钥匙类型,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
远光灯光源,,,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,,,
轴距(mm),3198,3198,3198,3198,3198,3198,3198,3198,3198,3198,3198,3198
轮圈材质,,,,,,,,,,,,
车门数(个),,,,,,,,,,,,
车门开启方式,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门
车道偏离预警系统,●,○,○,○,●,○,●,-,●,-,●,-
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-
车载智能系统,,,,,,,-,-,-,-,-,
车身结构_y,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV
车身结构_x,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●
车联网,●,●,○,○,○,○,-,-,-,-,-,○
