Feature,58927,58928,58930,58931
高度(mm),1530,1530,1503,1503
驾驶辅助影像,-,,,
驾驶模式切换,,,,
驻车制动类型,,,,
驱动电机数,单电机,单电机,单电机,单电机
驱动方式,,,,
风阻系数(Cd),-,-,-,-
陡坡缓降,-,-,-,-
长度(mm),4755,4755,4755,4755
长*宽*高(mm),4755*1804*1530,4755*1804*1530,4755*1802*1503,4755*1802*1503
钥匙类型,,,,
远光灯光源,,,,
近光灯光源,,,,
轴距(mm),2700,2700,2700,2700
轮圈材质,,,,
车门数(个),,,,
车门开启方式,平开门,平开门,平开门,平开门
车道偏离预警系统,-,-,-,-
车道保持辅助系统,-,-,-,-
车载空气净化器,-,-,-,-
车身结构_y,三厢车,三厢车,三厢车,三厢车
车身结构_x,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●
车联网,-,-,○,○
车窗防夹手功能,-,-,-,-
车窗一键升降功能,-,-,-,-
车型名称,帝豪新能源 2022款 EV Pro 出租版 磷酸铁锂,帝豪新能源 2022款 EV Pro 网约版 磷酸铁锂,帝豪新能源 2022款 EV Pro 网约版 三元锂,帝豪新能源 2022款 EV Pro 出租型 三元锂
车前雾灯,-,-,-,-
车内环境氛围灯,-,-,-,-
车内化妆镜,-,-,-,-
车内中控锁,●,●,●,●
车内PM2.5过滤装置,-,-,●,●
车体结构,承载式,承载式,承载式,承载式
超声波雷达数量,-,,,
语音识别控制系统,-,,,
语音分区域唤醒识别,-,,-,
行车电脑显示屏幕,,,,
蓝牙/车载电话,-,○,○,○
自适应远近光,-,-,-,-
自动驻车,●,●,●,●
自动头灯,-,-,-,-
能量回收系统,●,●,●,●
能源类型,纯电动,纯电动,纯电动,纯电动
胎压监测功能,,,,
级别,紧凑型车,紧凑型车,紧凑型车,紧凑型车
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排座椅调节,-,-,-,-
空调温度控制方式,,,,
离去角(°),19,19,18,18
百公里耗电量(kWh/100km),13.8,13.8,13.6,13.6
疲劳驾驶提示,-,-,-,-
电芯品牌,,,,
电能当量燃料消耗量(L/100km),-,-,1.54,1.54
电池预加热,●,●,●,●
电池能量密度(Wh/kg),141,141,160.35,160.35
电池能量(kWh),51.8,51.8,52.8,52.8
电池类型,,,,
电池慢充时间(小时)_y,-,-,9,9
电池慢充时间(小时)_x,-,-,9,9
电池快充电量范围(%)_y,30-80,30-80,30-80,30-80
电池快充电量范围(%)_x,30-80,30-80,30-80,30-80
电池快充时间(小时)_y,0.5,0.5,0.5,0.5
电池快充时间(小时)_x,0.5,0.5,0.5,0.5
电池冷却方式,液冷,液冷,液冷,液冷
电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电机布局,前置,前置,前置,前置
电动机总马力(Ps),136,136,204,204
电动机总扭矩(N·m),230,230,240,240
