Feature,56392,61051,61053,61670,61671,61672,61673,61674,61675,61676,64370,64371,64372,64373,64374,64375,64376,64377,66273,66530
高度(mm),1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950
驾驶辅助影像,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
驾驶模式切换,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驻车制动类型,,,,,,,,,,,,,,,,,,,,
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,,,,,,,,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),5240,4880,5240,4880,4880,4880,5240,5240,5240,5240,5240,5240,5240,5240,5240,4880,5240,5240,5240,5240
长*宽*高(mm),5240*1870*1950,4880*1870*1950,5240*1870*1950,4880*1870*1950,4880*1870*1950,4880*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,4880*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950
钥匙类型,,,,,,,,,,,,,,,,,,,,
远光灯光源,,,,,,,,,,,,,,,,,,,,
近光灯光源,,,,,,,,,,,,,,,,,,,,
轴距(mm),3200,2880,3200,2880,2880,2880,3200,3200,3200,3200,3200,3200,3200,3200,3200,2880,3200,3200,3200,3200
轮圈材质,,,,,,,,,,,,,,,,,,,,
车门数(个),,,,,,,,,,,,,,,,,,,,
车门开启方式,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门
车道偏离预警系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV
车身结构_x,4门7座MPV,4门2座MPV,4门2座MPV,4门2座MPV,4门5座MPV,4门7座MPV,4门2座MPV,4门2座MPV,4门2座MPV,4门7座MPV,4门2座MPV,4门7座MPV,4门7座MPV,4门7座MPV,4门7座MPV,4门6座MPV,4门7座MPV,4门9座MPV,4门9座MPV,4门7座MPV
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●
车联网,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗一键升降功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,王牌M7新能源 2023款 长轴·创富版7座 50.3kWh,王牌M7新能源 2023款 标轴·创业版2座 41.86kWh,王牌M7新能源 2023款 长轴·创业版2座 50.3kWh,王牌M7新能源 2023款 标轴·创富版2座 41.86kWh,王牌M7新能源 2023款 标轴·创业版5座 41.86kWh,王牌M7新能源 2023款 标轴·创业版7座 41.86kWh,王牌M7新能源 2023款 长轴·创业版2座 41.86kWh,王牌M7新能源 2023款 长轴·创富版2座 41.86kWh,王牌M7新能源 2023款 长轴·创富版2座 50.3kWh,王牌M7新能源 2023款 长轴·创业版7座 50.3kWh,王牌M7新能源 2023款 长轴·创富版鹏辉2座 41.47kWh,王牌M7新能源 2023款 长轴·创业版鹏辉7座 41.47kWh,王牌M7新能源 2023款 长轴·创业版鹏辉7座 56kWh,王牌M7新能源 2023款 长轴·创富版鹏辉7座 56kWh,王牌M7新能源 2023款 长轴·创享版国轩7座 65kWh,王牌M7新能源 2023款 长轴·商务版国轩6座 65kWh,王牌M7新能源 2023款 长轴·豪华营运版国轩7座 65kWh,王牌M7新能源 2023款 长轴·豪华营运版国轩9座 65kWh,锐胜王牌M7新能源 2023款 长轴·商务版国轩9座 65kWh,锐胜王牌M7新能源 2023款 长轴·商务版国轩7座 65kWh
车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
语音识别控制系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
行车电脑显示屏幕,,,,,,,,,,,,,,,,,,,,
蓝牙/车载电话,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
胎压监测功能,,,,,,,,,,,,,,,,,,,,
