Feature,1018686,1018687,1018692,1018837
高度(mm),2000,2000,2000,1985
驾驶辅助影像,-,-,-,
驾驶模式切换,-,-,-,-
驻车制动类型,,,,
驱动电机数,单电机,单电机,单电机,单电机
驱动方式,,,,
风阻系数(Cd),-,-,-,-
陡坡缓降,-,-,-,-
长度(mm),4500,4500,4500,4518
长*宽*高(mm),4500*1680*2000,4500*1680*2000,4500*1680*2000,4518*1680*1985
钥匙类型,,,,
配气机构,-,-,-,-
远光灯光源,,,,
进气形式,-,-,-,-
近光灯光源,,,,
轴距(mm),3050,3050,3050,3050
轮圈材质,,,,
车门数(个),,,,
车门开启方式,-,-,-,-
车道偏离预警系统,-,-,-,-
车道保持辅助系统,-,-,-,-
车载空气净化器,-,-,-,-
车身结构_y,货车,货车,货车,货车
车身结构_x,货车,货车,货车,货车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-
车联网,-,-,-,-
车窗防夹手功能,-,-,-,-
车窗一键升降功能,-,-,-,-
车型名称,瑞驰新能源EC35 2024款 EC35II 冠军版 先锋型I 38.64kWh,瑞驰新能源EC35 2024款 EC35II 冠军版 先锋型II 38.64kWh,瑞驰新能源EC35 2024款 EC35II 冠军版 先锋型I 38.4kWh,瑞驰新能源EC35 2024款 EC35V 先锋型
车前雾灯,-,-,-,-
车内环境氛围灯,-,-,-,-
车内化妆镜,-,-,-,-
车内中控锁,●,●,●,●
车内PM2.5过滤装置,-,-,-,-
车体结构,承载式,承载式,承载式,承载式
货箱尺寸(mm),2530/1630×1440×1270,2530/1630×1440×1270,2530/1630×1440×1270,2530x1440x1270
语音识别控制系统,-,-,-,-
行车电脑显示屏幕,-,-,-,-
蓝牙/车载电话,-,-,-,-
自适应远近光,-,-,-,-
自动驻车,-,-,-,-
自动头灯,-,-,-,-
能源类型_y,纯电动,纯电动,纯电动,纯电动
能源类型_x,纯电动,纯电动,纯电动,纯电动
胎压监测功能,-,-,-,-
缸盖材料,-,-,-,-
缸体材料,-,-,-,-
级别,微面,微面,微面,微面
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排座椅调节,-,-,-,-
空调温度控制方式,,,,
离去角(°),18,18,18,18
疲劳驾驶提示,-,-,-,-
电池能量(kWh),38.64,38.64,38.4,38.64
电池类型,,,,
电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电机布局,后置,后置,后置,后置
电动机总马力(Ps),82,82,82,82
电动机总扭矩(N·m),220,220,220,220
电动机总功率(kW),60,60,60,60
电动机(Ps),82,82,82,82
电动座椅记忆功能,-,-,-,-
电动后备厢,-,-,-,-
环保标准_y,-,-,-,-
环保标准_x,-,-,-,-
牵引力控制(ASR/TCS/TRC等),-,-,-,-
燃油标号,-,-,-,-
温度分区控制,-,-,-,-
液晶仪表尺寸,-,-,-,-
气缸数(个),-,-,-,-
气缸排列形式,-,-,-,-
每缸气门数(个),-,-,-,-
最高车速(km/h),80,80,80,80
最大马力(Ps),80,80,80,82
最大载重质量(kg),1010/780,1025/800,1010/780,1010/780
最大满载质量(kg),-,-,-,2600
最大扭矩转速(rpm),-,-,-,-
最大扭矩(N·m)_y,220,220,220,220
最大扭矩(N·m)_x,220,220,220,220
最大功率转速(rpm),-,-,-,-
最大功率(kW)_y,60,60,60,60
最大功率(kW)_x,60,60,60,60
最大净功率(kW),-,-,-,-
无钥匙进入功能,-,-,-,-
无钥匙启动系统,-,-,-,-
方向盘记忆,-,-,-,-
方向盘材质,,,,
方向盘换挡,-,-,-,-
方向盘加热,-,-,-,-
方向盘位置调节,-,-,-,-
整车质保,-,-,-,-
整备质量(kg),1460/1495,1445/1475,1460/1495,1460
接近角(°),34,34,34,34
排量(mL),-,-,-,-
挡位个数,1,1,1,1
扬声器数量,,,,
扬声器品牌名称,-,-,-,-
手机无线充电功能,-,-,-,-
手机互联/映射,-,-,-,-
感应雨刷功能,-,-,-,-
座椅材质,,,,
座位数(个),,,,
并线辅助,-,-,-,-
巡航系统,-,-,-,-
导航路况信息显示,-,-,-,-
宽度(mm),1680,1680,1680,1680
官方0-100km/h加速(s),-,-,-,-
安全带未系提醒,,,,
天窗类型,-,-,-,-
大灯高度可调,●,●,●,●
大灯延时关闭,-,-,-,-
多媒体/充电接口,-,-,-,
多功能方向盘,-,-,-,-
外后视镜功能,-,-,-,-
备胎规格,-,-,-,-
后雨刷,-,-,-,-
后轮距(mm),1435,1435,1435,1435
后轮胎规格,,,,
后电动机最大扭矩(N·m),220,220,220,220
后电动机最大功率(kW),60,60,60,60
后排车门开启方式,,,,
后排独立空调,-,-,-,-
后排杯架,-,-,-,-
后排座椅放倒形式,-,-,-,-
后悬架类型,,,,
后座出风口,-,-,-,-
后备厢容积(L),-,-,-,-
后制动器类型,,,,
变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
发动机电子防盗,-,-,-,-
发动机型号,-,-,-,-
发动机,纯电动 82马力,纯电动 82马力,纯电动 82马力,-
厂商指导价(元),7.99万,8.59万,7.99万,8.29万
厂商,瑞驰新能源,瑞驰新能源,瑞驰新能源,瑞驰新能源
卫星导航系统,-,-,-,-
助力类型,,,,
副座椅调节方式,,,,
前轮距(mm),1435,1435,1435,1435
前轮胎规格,,,,
前排座椅功能,-,-,-,-
前悬架类型,,,,
前制动器类型,,,,
