Feature,33316,35308,35309,35310,35311,35312,35313,40508,40509,40510,40511,40512,40513,40514
高度(mm),1505,1505,1505,1505,1505,1505,1505,1505,1505,1505,1505,1505,1505,1505
驻车制动类型,电子驻车,手刹,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,手刹,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4505,4505,4505,4505,4505,4505,4505,4505,4505,4505,4505,4505,4505,4505
长*宽*高(mm),4505*1820*1505,4505*1820*1505,4505*1820*1505,4505*1820*1505,4505*1820*1505,4505*1820*1505,4505*1820*1505,4505*1820*1505,4505*1820*1505,4505*1820*1505,4505*1820*1505,4505*1820*1505,4505*1820*1505,4505*1820*1505
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,●,-,-,●,-,-,●,-,-,●,-,-,●,●
道路交通标识识别,-,-,-,-,-,-,-,-,-,-,-,-,-,-
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-,-,-,-
轴距(mm),2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车顶行李架,●,○,○,○,○,○,○,○,○,○,○,○,○,●
车门数(个),5,5,5,5,5,5,5,5,5,5,5,5,5,5
车道偏离预警系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,●,-,-,-,-,-,-,-,-,-,-,-,-,●
车载电视,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车
车身结构_x,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●
