Feature,1016237,1016348,1016349,1016708,1016709,1016710,1016711,1016712,1016713,1018527
高度(mm),1845,1845,1845,2590,2660,2590,2660,2770,2770,1860
驾驶辅助影像,,-,,-,-,,,-,,
驾驶模式切换,-,-,-,-,-,-,-,-,-,-
驻车制动类型,-,-,-,,,,,,,
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-
长度(mm),5935,5935,5935,5945,5965,5945,5965,5935,5935,5935
长*宽*高(mm),5935*1880*1845,5935*1880*1845,5935*1880*1845,5945*1930*2590,5965*1930*2660,5945*1930*2590,5965*1930*2660,5935*1890*2770,5935*1890*2770,5935*1880*1860
钥匙类型,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
远光灯光源,,,,,,,,,,
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
近光灯光源,,,,,,,,,,
轴距(mm),3650,3650,3650,3650,3650,3650,3650,3650,3650,3650
轮圈材质,,,,,,,,,,
车门数(个),,,,,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道偏离预警系统,-,-,-,-,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-
车身结构_y,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车
车身结构_x,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-
车联网,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-
车窗一键升降功能,-,-,-,-,-,-,-,-,-,-
车型名称,菱势黄金卡 2023款 先锋版,菱势黄金卡 2023款 时代版,菱势黄金卡 2023款 领创版,菱势黄金卡 2023款 单层货柜 侧开门 时代版,菱势黄金卡 2023款 双层货柜 侧开门 时代版,菱势黄金卡 2023款 单层货柜 侧开门 先锋版,菱势黄金卡 2023款 双层货柜 侧开门 先锋版,菱势黄金卡 2023款 仓栅 时代版,菱势黄金卡 2023款 仓栅 先锋版,菱势黄金卡 2024款 双排
车前雾灯,-,-,-,-,-,-,-,-,-,-
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-
车内化妆镜,-,-,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,-,-,-,-,-,-,-,-,-,-
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式
货箱尺寸(mm),3510x1780x380,3510x1780x380,3510x1780x380,3530x1830x1730,3520x1790x1765,3530x1830x1730,3520x1790x1765,3520x1780x1910,3520x1780x1910,2610x1780x380
语音识别控制系统,-,-,-,-,-,-,-,-,-,-
行车电脑显示屏幕,,,,,,,,,,
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●
自适应远近光,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-,-,-
能源类型_y,增程式,增程式,增程式,增程式,增程式,增程式,增程式,增程式,增程式,增程式
能源类型_x,增程式,增程式,增程式,增程式,增程式,增程式,增程式,增程式,增程式,增程式
胎压监测功能,-,-,-,-,-,-,-,-,-,-
缺气保用轮胎,-,-,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
级别,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡
