Feature,1012298,1012299,1012303,1012304,1012305,1012306,1012307,1012308,1012309,1012310,1012311,1012315,1012316,1012317,1012318,1012319,1012320,1012321,1012322,1012323,1012324,1012325,1014191,1014192,1014193,1014194,1014195,1014196,1014197,1014544,1014545,1014546,1014547,1014548,1014549,1014550,1014551,1014552,1015206,1015235,1015236,1015237,1015797,1015798,1015799,1015800,1015801,1015802,1015803,1015804,1015805,1015806,1015807,1015808,1015809,1015810,1015811,1015812,1015813,1015814,1015815,1015816,1015817,1015818,1015819,1015820,1015821,1015822,1015823,1015824,1015825,1015826,1015827,1015828,1015829,1015830,1015831,1015832,1015833,1018528,1018529,1018530,1018531,1018532,1018533,1018534,1018535,1018536,1018537,1018538,1018539,1018540,1018541
高度(mm),2595,2595,2175,2575,2575,2175,2570,2570,2595,2570,2575,2195,2590,2590,2180,2555,2555,2595,2595,2140,2170,2140,2170,2140,2595,2595,2140,2140,2240,2170,2140,2595,2595,2195,2590,2590,2575,2575,2575,2575,2180,2140,2175,2175,2175,2175,2575,2570,2570,2575,2575,2570,2575,2595,2195,2180,2195,2555,2555,2590,2590,2570,2570,2595,2595,2180,2195,2180,2195,2555,2555,2590,2590,2570,2570,2595,2595,2140,2170,2175,2175,2175,2175,2575,2570,2575,2570,2575,2575,2575,2570,2575,2595
驾驶辅助影像,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
驾驶模式切换,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驻车制动类型,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驱动方式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),5995,5995,4849,4849,4849,4875,4875,4875,5995,4849,4849,4875,4875,4875,4875,4875,4875,5995,5995,5950,5865,5240,5865,5950,5995,5995,5950,5240,5870,5865,5950,5995,5995,4875,4875,4875,5480,5480,4849,4849,4875,5240,4849,4875,4849,4875,4849,4875,4875,5480,5480,4849,5480,5995,4875,4875,4875,4875,4875,4875,4875,5480,5480,5995,5995,4875,4875,4875,4875,4875,4875,4875,4875,5480,5480,5995,5995,5950,5865,4849,4875,4849,4875,4849,4875,4849,4875,5480,5480,4849,4849,5480,5995
长*宽*高(mm),5995×2000×2595,5995×2000×2595,4849×2000×2175,4849×2000×2575,4849×2000×2575,4875×2000×2175,4875×2000×2570,4875×2000×2570,5995×2000×2595,4849×2000×2570,4849×2000×2575,4875×2000×2195,4875×2000×2590,4875×2000×2590,4875×2000×2180,4875×2000×2555,4875×2000×2555,5995×2000×2595,5995×2000×2595,5950×2000×2140,5865×2000×2170,5240×2000×2140,5865×2000×2170,5950×2000×2140,5995×2000×2595,5995×2000×2595,5950×2000×2140,5240×2000×2140,5870×2020×2240,5865×2000×2170,5950×2000×2140,5995×2000×2595,5995×2000×2595,4875×2000×2195,4875×2000×2590,4875×2000×2590,5480×2000×2575,5480×2000×2575,4849*2000*2575,4849*2000*2575,4875*2000*2180,5240*2000*2140,4849*2000*2175,4875*2000*2175,4849*2000*2175,4875*2000*2175,4849*2000*2575,4875*2000*2570,4875*2000*2570,5480*2000*2575,5480*2000*2575,4849*2000*2570,5480*2000*2575,5995*2000*2595,4875*2000*2195,4875*2000*2180,4875*2000*2195,4875*2000*2555,4875*2000*2555,4875*2000*2590,4875*2000*2590,5480*2000*2570,5480*2000*2570,5995*2000*2595,5995*2000*2595,4875*2000*2180,4875*2000*2195,4875*2000*2180,4875*2000*2195,4875*2000*2555,4875*2000*2555,4875*2000*2590,4875*2000*2590,5480*2000*2570,5480*2000*2570,5995*2000*2595,5995*2000*2595,5950*2000*2140,5865*2000*2170,4849*2000*2175,4875*2000*2175,4849*2000*2175,4875*2000*2175,4849*2000*2575,4875*2000*2570,4849*2000*2575,4875*2000*2570,5480*2000*2575,5480*2000*2575,4849*2000*2575,4849*2000*2570,5480*2000*2575,5995*2000*2595
钥匙类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
