Feature,66879,66880,66919,66920,66923,66924,68431
高度(mm),1515,1509,1509,1509,1515,1515,1509
驾驶辅助影像,,,,,,,
驾驶模式切换,,,,,,,
驻车制动类型,,,,,,,
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-
面部识别,●,-,●,●,-,●,-
隐藏电动门把手,●,-,●,●,-,●,●
陡坡缓降,●,●,●,●,●,●,●
防侧翻系统,●,●,●,●,●,●,●
长度(mm),5050,5050,5050,5050,5050,5050,5050
长*宽*高(mm),5050*1902*1515,5050*1902*1509,5050*1902*1509,5050*1902*1509,5050*1902*1515,5050*1902*1515,5050*1902*1509
钥匙类型,,,,,,,
配气机构,DOHC,-,-,-,DOHC,DOHC,-
遥控泊车,●,-,●,●,-,●,-
道路救援呼叫,●,●,●,●,●,●,●
道路交通标识识别,●,●,●,●,●,●,-
透明底盘/540度影像,●,●,●,●,●,●,●
远程启动功能,,,,,,,
远光灯光源,,,,,,,
进气形式,自然吸气,-,-,-,自然吸气,自然吸气,-
近光灯光源,,,,,,,
辅助驾驶系统,,,,,,,-
辅助驾驶等级,,,,,,,-
轴距(mm),2930,2930,2930,2930,2930,2930,2930
轮圈材质,,,,,,,
车门数(个),,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,●,●,●,●,●,●,-
车道偏离预警系统,●,●,●,●,●,●,-
车道保持辅助系统,●,●,●,●,●,●,-
车载空气净化器,-,-,-,-,-,-,-
车载智能系统,,,,,,,
车载KTV,●,●,●,●,●,●,●
车身结构_y,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身结构_x,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,
车机系统存储(GB),,,,,,,
车机系统内存(GB),,,,,,,
车机智能芯片,,,,,,,
车型名称,零跑C01 2024款 增程 316尊享版,零跑C01 2024款 纯电 525舒享版,零跑C01 2024款 纯电 525尊享版,零跑C01 2024款 纯电 625尊享版,零跑C01 2024款 增程 216舒享版,零跑C01 2024款 增程 216尊享版,零跑C01 2024款 纯电 525智行版
车前雾灯,-,-,-,-,-,-,-
车内环境氛围灯,,-,,,-,,-
车内摄像头数量,,-,,,-,,-
车内化妆镜,,,,,,,
车内中控锁,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,,,,,,,
起步提醒,●,●,●,●,●,●,-
语音连续识别,●,●,●,●,●,●,●
语音识别控制系统,,,,,,,
语音助手唤醒词,,,,,,,
语音分区域唤醒识别,,,,,,,
语音免唤醒词,●,●,●,●,●,●,●
触摸式阅读灯,●,●,●,●,●,●,●
行车电脑显示屏幕,,,,,,,
蓝牙/车载电话,●,●,●,●,●,●,●
自适应远近光,-,-,-,-,-,-,-
自动驻车,●,●,●,●,●,●,●
自动泊车入位,●,-,●,●,-,●,-
自动头灯,●,●,●,●,●,●,●
能量回收系统,●,●,●,●,●,●,●
能源类型_y,增程式,纯电动,纯电动,纯电动,增程式,增程式,纯电动
能源类型_x,增程式,纯电动,纯电动,纯电动,增程式,增程式,纯电动
胎压监测功能,,,,,,,
缸盖材料,铝合金,-,-,-,铝合金,铝合金,-
缸体材料,铝合金,-,-,-,铝合金,铝合金,-
级别,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排座椅调节,-,-,-,-,-,-,
第二排座椅电动调节,-,-,-,-,-,-,●
第二排座椅功能,,-,,,-,,-
空载最小离地间隙(mm),140,140,140,140,140,140,140
空调温度控制方式,,,,,,,
空气质量监测,●,-,●,●,-,●,-
离去角(°),18,18,18,18,18,18,18
疲劳驾驶提示,●,-,●,●,-,●,-
电芯品牌,,,,,,,
电池预加热,●,●,●,●,●,●,●
电池能量(kWh),43.7,62.8,62.8,78.5,30.1,30.1,62.8
电池类型,,,,,,,
电池慢充电量范围(%)_y,30-80,30-80,30-80,30-80,30-80,30-80,30-80
电池慢充电量范围(%)_x,30-80,30-80,30-80,30-80,30-80,30-80,30-80
电池慢充时间(小时)_y,3.8,7,7,7,2.6,2.6,7
电池慢充时间(小时)_x,3.8,7,7,7,2.6,2.6,7
电池快充电量范围(%)_y,30-80,30-80,30-80,30-80,30-80,30-80,30-80
电池快充电量范围(%)_x,30-80,30-80,30-80,30-80,30-80,30-80,30-80
电池快充时间(小时)_y,0.5,0.67,0.67,0.67,0.5,0.5,0.67
电池快充时间(小时)_x,0.5,0.67,0.67,0.67,0.5,0.5,0.67
电池冷却方式,液冷,液冷,液冷,液冷,液冷,液冷,液冷
电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电机布局,后置,后置,后置,后置,后置,后置,后置
电动机总马力(Ps),272,272,272,272,272,272,272
电动机总扭矩(N·m),360,360,360,360,360,360,360
电动机总功率(kW),200,200,200,200,200,200,200
电动机(Ps),272,272,272,272,272,272,272
电动座椅记忆功能,,-,,,-,,-
电动后备厢位置记忆,●,-,●,●,-,●,●
电动后备厢,●,-,●,●,-,●,●
环视摄像头像素,,,,,,,
环保标准_y,国VI,-,-,-,国VI,国VI,-
环保标准_x,国VI,-,-,-,国VI,国VI,-
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●
燃油标号,92号,-,-,-,92号,92号,-
满载最小离地间隙(mm),118,118,118,118,118,118,118
温度分区控制,●,-,●,●,-,●,-
液晶仪表尺寸,,,,,,,
油箱容积(L),47,-,-,-,47,47,-
气缸数(个),4,-,-,-,4,4,-
气缸排列形式,L,-,-,-,L,L,-
毫米波雷达数量,,-,,,-,,-
每缸气门数(个),4,-,-,-,4,4,-
最高车速(km/h),170,180,180,180,170,170,180
最大马力(Ps),95,272,272,272,95,95,272
最大满载质量(kg),2390,2395,2395,2474,2370,2370,2395
最大扭矩转速(rpm),-,-,-,-,-,-,-
最大扭矩(N·m)_y,-,360,360,360,-,-,360
最大扭矩(N·m)_x,360,360,360,360,360,360,360
最大功率转速(rpm),-,-,-,-,-,-,-
最大功率(kW)_y,70,200,200,200,70,70,200
最大功率(kW)_x,200,200,200,200,200,200,200
最大净功率(kW),68,-,-,-,68,68,-
最低荷电状态油耗(L/100km),4.9,-,-,-,4.9,4.9,-
无钥匙进入功能,,,,,,,
