Feature,64732,66457,66461,67454
高度(mm),1714,1714,1714,1728
驾驶辅助影像,,,,
驾驶模式切换,,,,
驻车制动类型,,,,
驱动电机数,单电机,单电机,单电机,单电机
驱动方式,,,,
风阻系数(Cd),-,-,-,-
陡坡缓降,●,●,●,●
长度(mm),4653,4653,4653,4653
长*宽*高(mm),4653*1902*1714,4653*1902*1714,4653*1902*1714,4653*1902*1728
钥匙类型,,,,
配气机构,DOHC,DOHC,DOHC,DOHC
道路交通标识识别,●,-,-,●
远光灯光源,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,
辅助驾驶等级,,,,
轴距(mm),2730,2730,2730,2730
轮圈材质,,,,
车顶行李架,●,●,●,●
车门数(个),,,,
车门开启方式,平开门,平开门,平开门,平开门
车道居中保持,●,-,-,●
车道偏离预警系统,●,●,●,●
车道保持辅助系统,●,●,●,●
车载空气净化器,-,-,-,-
车身结构_y,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●
车联网,●,●,●,●
车窗防夹手功能,●,●,●,●
车窗一键升降功能,,,,
车机智能芯片,,,,
车型名称,探界者Plus 2024款 102km RS 至臻版,探界者Plus 2024款 102km RS 豪华版,探界者Plus 2024款 102km RS 旗舰版,探界者Plus 2024款 155km ACTIV 至臻版
车前雾灯,-,-,-,-
车内环境氛围灯,,-,-,
车内化妆镜,,,,
车内中控锁,●,●,●,●
车内PM2.5过滤装置,●,-,-,●
车体结构,承载式,承载式,承载式,承载式
超声波雷达数量,,,,
起步提醒,●,-,-,●
语音识别控制系统,,,,
语音分区域唤醒识别,,,,
语音免唤醒词,●,●,●,●
行车电脑显示屏幕,,,,
蓝牙/车载电话,●,●,●,●
自适应远近光,●,●,●,●
自动驻车,●,●,●,●
自动泊车入位,●,-,-,●
自动头灯,●,●,●,●
能量回收系统,●,●,●,●
能源类型_y,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力
能源类型_x,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力
胎压监测功能,,,,
缸盖材料,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金
级别,中型SUV,中型SUV,中型SUV,中型SUV
系统综合扭矩(N·m),565,565,565,565
系统综合功率(kW),272,272,272,272
系统综合功率(Ps),370,370,370,370
简称,2挡DHT,2挡DHT,2挡DHT,2挡DHT
第二排座椅调节,-,-,-,-
空调温度控制方式,,,,
离去角(°),19,19,19,19
百公里耗电量(kWh/100km),15.4,15.4,15.4,18.4
疲劳驾驶提示,-,-,-,-
电芯品牌,,,,
电能当量燃料消耗量(L/100km),1.74,1.74,1.74,2.08
电池能量(kWh),16.5,16.5,16.5,24.4
电池类型,,,,
电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电机布局,前置,前置,前置,前置
电动机总马力(Ps),190,190,190,190
电动机总扭矩(N·m),315,315,315,315
电动机总功率(kW),140,140,140,140
电动机(Ps),190,190,190,190
电动座椅记忆功能,,-,-,
电动后备厢位置记忆,●,-,-,●
电动后备厢,●,-,-,●
环保标准_y,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●
温度分区控制,●,-,-,●
液晶仪表尺寸,,,,
油箱容积(L),46,46,46,46
气缸数(个),4,4,4,4
气缸排列形式,L,L,L,L
每缸气门数(个),4,4,4,4
最高车速(km/h),180,180,180,180
最大马力(Ps),180,180,180,180
最大满载质量(kg),2290,2290,2290,2340
最大扭矩转速(rpm),1500-4500,1500-4500,1500-4500,1500-4500
最大扭矩(N·m)_y,250,250,250,250
最大扭矩(N·m)_x,565,565,565,565
最大功率转速(rpm),5500,5500,5500,5500
最大功率(kW)_y,132,132,132,132
最大功率(kW)_x,272,272,272,272
最大净功率(kW),127,127,127,127
最低荷电状态油耗(L/100km)WLTC,5.97,5.97,5.97,6.13
无钥匙进入功能,,,,
无钥匙启动系统,●,●,●,●
方向盘记忆,-,-,-,-
方向盘离手检测,●,-,-,●
方向盘材质,,,,
方向盘换挡,-,-,-,-
方向盘加热,-,-,-,-
方向盘位置调节,,,,
整车质保,,,,
整备质量(kg),1860,1860,1860,1895
推荐燃油标号,92号,92号,92号,92号
接近角(°),18,18,18,18
排量(mL),1498,1498,1498,1498
换挡形式,,,,
挡位个数,2,2,2,2
扬声器数量,,,,
扬声器品牌名称,-,-,-,-
手机无线充电功能,,-,,
手机互联/映射,,,,
手机APP远程功能,,,,
慢充接口位置,车右后侧,车右后侧,车右后侧,车右后侧
感应雨刷功能,,-,-,
感应后备厢,●,-,-,●
座椅材质,,,,
座位数(个),,,,
应用商店,●,●,●,●
并线辅助,●,●,●,●
巡航系统,,,,
导航路况信息显示,●,●,●,●
对外放电,-,-,-,●
对外交流放电功率(kW),-,-,-,3.3
宽度(mm),1902,1902,1902,1902
官方0-100km/h加速(s),6.8,6.8,6.8,7
安全带未系提醒,,,,
天窗类型,,-,,
大灯高度可调,●,●,●,●
大灯延时关闭,●,●,●,●
多媒体/充电接口,,,,
多功能方向盘,●,●,●,●
外观套件,,,,
外后视镜功能,,,,
备胎规格,,,,
地图品牌,,,,
后雨刷,●,●,●,●
后轮距(mm),1628,1628,1628,1628
后轮胎规格,,,,
后排独立空调,-,-,-,-
后排杯架,●,●,●,●
后排座椅放倒形式,,,,
后悬架类型,,,,
后座出风口,●,●,●,●
后备厢容积(L),648-1619,648-1619,648-1619,648-1619
后制动器类型,,,,
变速箱类型,混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT)
变速箱,2挡DHT,2挡DHT,2挡DHT,2挡DHT
发动机电子防盗,●,●,●,●
发动机布局,横置,横置,横置,横置
发动机型号,LAX,LAX,LAX,LAX
发动机,1.5T 180马力 L4,1.5T 180马力 L4,1.5T 180马力 L4,1.5T 180马力 L4
厂商指导价(元),16.99万,14.99万,15.99万,17.99万
厂商,上汽通用雪佛兰,上汽通用雪佛兰,上汽通用雪佛兰,上汽通用雪佛兰
卫星导航系统,●,●,●,●
助力类型,,,,
副驾驶位后排可调节按钮,-,-,-,-
副座椅调节方式,,,,
前轮距(mm),1626,1626,1626,1626
前轮胎规格,,,,
前电动机最大扭矩(N·m),315,315,315,315
前电动机最大功率(kW),140,140,140,140
前电动机型号,TZ210XYEEB,TZ210XYEEB,TZ210XYEEB,TZ210XYEEB
前方碰撞预警,●,●,●,●
前排座椅功能,,-,-,
前悬架类型,,,,
前制动器类型,,,,
前/后驻车雷达,前●&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排头部气囊(气帘),前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排侧气囊,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
前/后中央扶手,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
刹车辅助(EBA/BAS/BA等),●,●,●,●
制动力分配(EBD/CBC等),●,●,●,●
内后视镜功能,,,,
全液晶仪表盘,●,●,●,●
倒车车侧预警系统,●,●,●,●
供油方式,直喷,直喷,直喷,直喷
低速行车警告,●,●,●,●
仪表盘屏幕分辨率（px）,,,,
仪表盘屏幕像素密度,,,,
主座椅调节方式,,,,
主动降噪,●,●,●,●
主动闭合式进气格栅,●,●,●,●
主动刹车/主动安全系统,●,●,●,●
