Feature,70356,70365,71399,71400,71401,71402,71403,71404,71405,71406,71407
高度(mm),1747,1747,1747,1747,1747,1747,1747,1747,1747,1747,1747
驾驶辅助影像,,,,,,,,,,,
驾驶模式切换,,,,,,,,,,,
驻车制动类型,,,,,,,,,,,
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,,,,,,,,,,,
首任车主质保政策,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-
面部识别,●,●,-,-,-,-,-,-,-,-,●
隐藏电动门把手,●,●,●,●,●,●,●,●,●,●,●
陡坡缓降,●,●,●,●,●,●,●,●,●,●,●
长度(mm),4730,4730,4730,4730,4730,4730,4730,4730,4730,4730,4730
长*宽*高(mm),4730*1860*1747,4730*1860*1747,4730*1860*1747,4730*1860*1747,4730*1860*1747,4730*1860*1747,4730*1860*1747,4730*1860*1747,4730*1860*1747,4730*1860*1747,4730*1860*1747
钥匙类型,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路交通标识识别,●,●,-,-,●,●,-,-,●,●,●
透明底盘/540度影像,●,●,-,-,●,●,●,●,●,●,●
远程启动功能,,,,,,,,,,,
远光灯光源,,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,自然吸气,自然吸气,自然吸气,自然吸气,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,,
辅助驾驶等级,,,-,-,,,-,-,,,
轴距(mm),2710,2710,2710,2710,2710,2710,2710,2710,2710,2710,2710
轮圈材质,,,,,,,,,,,
车顶行李架,●,●,●,●,●,●,●,●,●,●,●
车门数(个),,,,,,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,●,●,-,-,●,●,-,-,●,●,●
车道偏离预警系统,●,●,-,-,●,●,-,-,●,●,●
车道保持辅助系统,●,●,-,-,●,●,-,-,●,●,●
车载空气净化器,●,●,-,-,-,-,-,-,-,-,●
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门7座SUV,5门5座SUV,5门7座SUV,5门5座SUV,5门7座SUV,5门5座SUV,5门7座SUV,5门5座SUV,5门7座SUV,5门7座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,,,
车机系统存储(GB),,,,,,,,,,,
车机系统内存(GB),,,,,,,,,,,
车机智能芯片,,,,,,,,,,,
车型名称,风云T8 2025款 1.5T 130km尊贵版 5座,风云T8 2025款 1.5T 130km尊享版 7座,风云T8 2025款 1.5L 65km 舒适版5座,风云T8 2025款 1.5L 65km 舒适版7座,风云T8 2025款 1.5L 65km 豪华版5座,风云T8 2025款 1.5L 65km 豪华版7座,风云T8 2025款 1.5T 130km 舒适版5座,风云T8 2025款 1.5T 130km 舒适版7座,风云T8 2025款 1.5T 130km 豪华版5座,风云T8 2025款 1.5T 130km 豪华版7座,风云T8 2025款 1.5T 130km 尊贵版7座
车前雾灯,-,-,-,-,-,-,-,-,-,-,-
车内环境氛围灯,,,-,-,-,-,-,-,,,
车内摄像头数量,,,-,-,-,-,-,-,-,-,
车内化妆镜,,,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,,,,,,,,,,,
负离子发生器,●,●,-,-,-,-,-,-,-,-,●
语音连续识别,●,●,●,●,●,●,●,●,●,●,●
语音识别控制系统,,,,,,,,,,,
语音助手唤醒词,,,,,,,,,,,
语音分区域唤醒识别,,,,,,,,,,,
语音免唤醒词,●,●,●,●,●,●,●,●,●,●,●
