Feature,59881,65768,67500
高度(mm),1455,1440,1455
高压快充,-,支持,-
高压平台（V）,400,800,400
驾驶辅助影像,,,
驾驶模式切换,,,
驻车制动类型,,,
驱动电机数,单电机,双电机,单电机
驱动方式,,,
风阻系数(Cd),0.195,0.195,0.195
陡坡缓降,-,-,-
长度(mm),4997,4997,4997
长*宽*高(mm),4997*1963*1455,4997*1963*1440,4997*1963*1455
钥匙类型,,,
遥控泊车,●,●,●
道路救援呼叫,●,●,●
道路交通标识识别,●,●,●
透明底盘/540度影像,●,●,●
远程启动功能,,,
远程召唤,○,○,○
远光灯光源,,,
近光灯光源,,,
运动风格座椅,●,●,●
辅助驾驶芯片,,,
辅助驾驶系统,,,
辅助驾驶等级,,,
轴距(mm),3000,3000,3000
轮圈材质,,,
转向辅助灯,●,●,●
车门数(个),,,
车门开启方式,平开门,平开门,平开门
车道居中保持,●,●,●
车道偏离预警系统,●,●,●
车道保持辅助系统,●,●,●
车载空气净化器,●,●,●
车载智能系统,,,
车载冰箱,○,○,○
车载KTV,●,●,●
车身结构_y,三厢车,三厢车,三厢车
车身结构_x,4门5座三厢车,4门5座三厢车,4门5座三厢车
车身稳定控制(ESC/ESP/DSC等),●,●,●
车联网,●,●,●
车窗防夹手功能,●,●,●
车窗一键升降功能,,,
车机智能芯片,,,
车型名称,小米SU7 2024款 700km 后驱长续航智驾版,小米SU7 2024款 800km 四驱超长续航高阶智驾Max版,小米SU7 2024款 830km 后驱超长续航高阶智驾Pro版
车前雾灯,-,-,-
车内香氛装置,○,○,○
车内环境氛围灯,,,
车内摄像头数量,,,
车内化妆镜,,,
车内中控锁,●,●,●
车内PM2.5过滤装置,●,●,●
车体结构,承载式,承载式,承载式
超声波雷达数量,,,
起步提醒,●,●,●
负离子发生器,●,●,●
语音连续识别,●,●,●
语音识别控制系统,,,
语音助手唤醒词,,,
语音分区域唤醒识别,,,
语音免唤醒词,●,●,●
记忆泊车,○,○,○
被动行人保护,●,●,●
行车电脑显示屏幕,,,
行李厢12V电源接口,●,●,●
蓝牙/车载电话,●,●,●
芯片总算力,,,
自适应远近光,●,●,●
自动驾驶辅助路段,,,
自动驻车,●,●,●
自动泊车入位,●,●,●
自动头灯,●,●,●
自动变道辅助,●,●,●
能量回收系统,●,●,●
能源类型,纯电动,纯电动,纯电动
胎压监测功能,,,
级别,中大型车,中大型车,中大型车
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排座椅调节,-,-,-
第二排座椅功能,,,
空调温度控制方式,,,
空气质量监测,●,●,●
空气悬架,-,●,-
离去角(°),16,16,16
百公里耗电量(kWh/100km),12.3,13.7,12.9
疲劳驾驶提示,●,●,●
电芯品牌,,,
电能当量燃料消耗量(L/100km),1.39,1.55,1.46
电池预加热,●,●,●
电池能量(kWh),73.6,101,94.3
电池类型,,,
电池特有技术,刀片电池,麒麟电池,神行电池
电池快充电量范围(%)_y,10-80,10-80,10-80
电池快充电量范围(%)_x,10-80,10-80,10-80
电池快充时间(小时)_y,0.42,0.32,0.5
电池快充时间(小时)_x,0.42,0.32,0.5
电池冷却方式,液冷,液冷,液冷
电机类型,永磁/同步,前感应/异步 后永磁/同步,永磁/同步
电机布局,后置,前置+后置,后置
电动机总马力(Ps),299,673,299
电动机总扭矩(N·m),400,838,400
电动机总功率(kW),220,495,220
电动机(Ps),299,673,299
电动扰流板,-,●,○
电动座椅记忆功能,,,
电动吸合车门,-,,-
电动后备厢位置记忆,●,●,●
电动后备厢,●,●,●
环视摄像头像素,,,
环境感知摄像头像素,,,
牵引力控制(ASR/TCS/TRC等),●,●,●
热泵空调,●,●,●
灯光特色功能,,,
激光雷达线数,-,,
激光雷达点云数量,-,,
激光雷达数量,-,,
激光雷达型号,-,,
激光雷达品牌,-,,
激光雷达10%反射率探测距离,-,,
满载最小离地间隙(mm),120,134,120
温度分区控制,●,●,●
液晶仪表尺寸,,,
毫米波雷达数量,,,
模拟声浪,○,●,○
杜比全景声(Dolby Atmos),○,●,○
最高车速(km/h),210,265,210
最小转弯半径(m),5.7,5.7,5.7
最大满载质量(kg),2430,2655,2540
最大扭矩(N·m),400,838,400
最大功率(kW),220,495,220
无钥匙进入功能,,,
无钥匙启动系统,●,●,●
无框设计车门,●,●,●
方向盘记忆,-,●,-
方向盘离手检测,●,●,●
方向盘材质,,,
方向盘换挡,-,-,-
方向盘加热,●,●,●
方向盘位置调节,,,
整车质保,,,
整备质量(kg),1980,2205,2090
摄像头数量,,,
接近角(°),14,13,14
换挡形式,,,
挡位个数,1,1,1
扬声器数量,,,
扬声器品牌名称,-,-,-
手机无线充电功能,,,
手机无线充电功率,,,
手机互联/映射,,,
手机APP远程功能,,,
