Feature,64257,64258,65696,65697
高度(mm),1472,1461,1474,1477
高压快充,支持,支持,支持,支持
驾驶辅助影像,,,,
驾驶模式切换,,,,
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车
驱动电机数,单电机,双电机,单电机,单电机
驱动方式,后置后驱,双电机四驱,后置后驱,后置后驱
首任车主质保政策,-,-,-,-
风阻系数(Cd),0.203,0.203,0.203,0.203
面部识别,●,●,●,●
隐藏电动门把手,●,●,●,●
陡坡缓降,●,●,●,●
长度(mm),4971,4971,4971,4971
长*宽*高(mm),4971*1963*1472,4971*1963*1461,4971*1963*1474,4971*1963*1477
钥匙类型,,,,
遥控泊车,●,●,●,●
道路救援呼叫,●,●,●,●
道路交通标识识别,●,●,●,●
透明底盘/540度影像,●,●,●,●
远程启动功能,,,,
远程召唤,○,○,○,-
远光灯光源,,,,
近光灯光源,,,,
运动外观套件,-,○,-,-
辅助驾驶系统,,,,
辅助驾驶等级,,,,
轴距(mm),2950,2950,2950,2950
轮圈材质,,,,
车门数(个),4,4,4,4
车门开启方式,平开门,平开门,平开门,平开门
车道居中保持,●,●,●,●
车道偏离预警系统,●,●,●,●
车道保持辅助系统,●,●,●,●
车载空气净化器,○,●,○,○
车载智能系统,,,,
车载KTV,●,●,●,●
车身结构_y,三厢车,三厢车,三厢车,三厢车
车身结构_x,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●
车联网,●,●,●,●
车窗防夹手功能,●,●,●,●
车窗一键升降功能,,,,
车型名称,智界S7 2024款 Max+,智界S7 2024款 Max RS,智界S7 2024款 Max,智界S7 2024款 Pro
车前雾灯,-,-,-,-
车内香氛装置,○,●,○,○
车内生物监测系统,●,●,●,●
车内环境氛围灯,,,,
车内化妆镜,,,,
车内中控锁,●,●,●,●
车内PM2.5过滤装置,●,●,●,●
车体结构,承载式,承载式,承载式,承载式
超声波雷达数量,,,,
负离子发生器,○,●,○,○
语音连续识别,●,●,●,●
语音识别控制系统,,,,
语音分区域唤醒识别,,,,
语音免唤醒词,●,●,●,●
触摸式阅读灯,●,●,●,●
行车电脑显示屏幕,,,,
行李厢12V电源接口,●,●,●,●
蓝牙/车载电话,●,●,●,●
自适应远近光,●,●,●,●
自动驾驶辅助路段,,,,
自动驻车,●,●,●,●
自动泊车入位,●,●,●,●
自动头灯,●,●,●,●
自动变道辅助,●,●,●,●
能量回收系统,●,●,●,●
能源类型,纯电动,纯电动,纯电动,纯电动
胎压监测功能,,,,
缺气保用轮胎,-,-,-,-
级别,中大型车,中大型车,中大型车,中大型车
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排座椅调节,,,,
第二排座椅功能,,,,
空调温度控制方式,,,,
空气悬架,-,●,-,-
离去角(°),14,14,14,14
百公里耗电量(kWh/100km),12.4,-,-,-
疲劳驾驶提示,●,●,●,●
电芯品牌,江苏时代,江苏时代,江苏时代,江苏时代
电池预加热,●,●,●,●
电池能量(kWh),100,82,82,62
电池组质保,八年或16万公里,八年或16万公里,八年或16万公里,八年或16万公里
电池类型,三元锂电池,三元锂+磷酸铁锂,三元锂+磷酸铁锂,磷酸铁锂电池
电池冷却方式,液冷,液冷,液冷,液冷
电机类型,永磁/同步,前感应/异步 后永磁/同步,永磁/同步,永磁/同步
电机布局,后置,前置+后置,后置,后置
电动机总扭矩(N·m),-,-,-,-
电动机总功率(kW),215,365,215,215
电动机总功率(Ps),292,496,292,292
电动机(Ps),292,496,292,292
电动座椅记忆功能,,,,
电动吸合车门,,,,
电动后备厢,●,●,●,●
牵引力控制(ASR/TCS/TRC等),●,●,●,●
热泵空调,●,●,●,●
灯光特色功能,,,,
激光雷达数量,,,,-
温度分区控制,●,●,●,●
液晶仪表尺寸,,,,
毫米波雷达数量,,,,
模拟声浪,-,●,-,-
最高车速(km/h),210,210,210,210
最小转弯半径(m),5.7,5.7,5.7,5.7
最大满载质量(kg),-,2589,2422,2384
最大扭矩(N·m),-,-,-,-
最大功率(kW),215,365,215,215
无钥匙进入功能,,,,
无钥匙启动系统,●,●,●,●
无框设计车门,●,●,●,●
方向盘记忆,-,●,-,-
方向盘离手检测,●,●,●,●
方向盘材质,,,,
方向盘换挡,-,-,-,-
方向盘加热,●,●,●,●
方向盘位置调节,,,,
整车质保,四年或10万公里,四年或10万公里,四年或10万公里,四年或10万公里
整备质量(kg),2050,2170,2010,1975
摄像头数量,,,,
接近角(°),13,13,13,14
换挡形式,,,,
挡位个数,1,1,1,1
扬声器数量,,,,
扬声器品牌名称,,,,
手机无线充电功能,,,,
手机无线充电功率,,,,
手机互联/映射,,,,
手机APP远程功能,,,,
慢充时间(小时)_y,-,-,-,-
慢充时间(小时)_x,-,-,-,-
感应雨刷功能,,,,
快充电量百分比,30-80,30-80,30-80,30-80
快充电量(%),30-80,30-80,30-80,30-80
快充时间(小时)_y,0.25,0.25,0.25,0.25
快充时间(小时)_x,0.25,0.25,0.25,0.25
快充功能,支持,支持,支持,支持
循迹倒车,●,●,●,-
座椅材质,,,,
座位数(个),5,5,5,5
并线辅助,●,●,●,●
巡航系统,,,,
导航路况信息显示,●,●,●,●
对外放电,●,●,●,●
宽度(mm),1963,1963,1963,1963
官方0-100km/h加速(s),5.4,3.3,5.4,5.4
安全带未系提醒,,,,
天窗类型,,,,
大灯高度可调,●,●,●,●
大灯延时关闭,●,●,●,●
多层隔音玻璃,,,,
多媒体/充电接口,,,,
多功能方向盘,●,●,●,●
外后视镜功能,,,,
备胎规格,-,-,-,-
地图品牌,,,,
四驱形式,-,电动四驱,-,-
哨兵模式/千里眼,●,●,●,●
后雨刷,-,-,-,-
后轮距(mm),1695,1695,1695,1695
后轮胎规格,245/50 R19,245/45 R20,245/50 R19,245/50 R19
后电动机最大功率(kW),215,215,215,215
后方碰撞预警,●,●,●,●
后排独立空调,○,●,○,○
后排杯架,●,●,●,●
后排座椅放倒形式,,,,
后悬架类型,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架
后座出风口,●,●,●,●
后备厢容积(L),420-1450,420-1450,420-1450,420-1450
后制动器类型,通风盘式,通风盘式,通风盘式,通风盘式
可见即可说,●,●,●,●
可变悬架功能,-,,-,-
变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
厂商指导价(元),31.98万,34.98万,28.98万,24.98万
厂商,智界汽车,智界汽车,智界汽车,智界汽车
卫星导航系统,●,●,●,●
单踏板模式,●,●,●,●
匝道自动驶出(入),●,●,●,●
助力类型,电动助力,电动助力,电动助力,电动助力
副驾驶位后排可调节按钮,○,●,○,○
副座椅调节方式,,,,
前轮距(mm),1695,1695,1695,1695
前轮胎规格,245/50 R19,245/45 R20,245/50 R19,245/50 R19
前电动机最大功率(kW),-,150,-,-
前方碰撞预警,●,●,●,●
前排座椅功能,,,,
前悬架类型,双叉臂独立悬架,双叉臂独立悬架,双叉臂独立悬架,双叉臂独立悬架
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式
前/后驻车雷达,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排头部气囊(气帘),前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排侧气囊,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
前/后中央扶手,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
刹车辅助(EBA/BAS/BA等),●,●,●,●
制动力分配(EBD/CBC等),●,●,●,●
内置行车记录仪,●,●,●,●
内后视镜功能,,,,
全液晶仪表盘,●,●,●,●
倒车车侧预警系统,●,●,●,●
信号灯识别,●,●,●,●
低速行车警告,●,●,●,●
代客泊车,○,○,○,-
主座椅调节方式,,,,
主动闭合式进气格栅,●,●,●,●
主动刹车/主动安全系统,●,●,●,●
主/副驾驶座电动调节,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
主/副驾驶座安全气囊,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
中控彩色屏幕,,,,
中控屏幕尺寸,,,,
中央差速器结构,-,-,-,-
上市时间,2023.11,2023.11,2023.11,2023.11
上坡辅助,●,●,●,●
Wi-Fi热点,●,●,●,●
USB/Type-C接口数量,,,,
OTA升级,●,●,●,●
LED日间行车灯,●,●,●,●
ISOFIX儿童座椅接口,●,●,●,●
ETC装置,○,○,○,○
DOW开门预警,●,●,●,●
CLTC纯电续航里程(km)_y,855,630,705,550
CLTC纯电续航里程(km)_x,855,630,705,550
ABS防抱死,●,●,●,●
4G/5G网络,,,,
