Feature,64099,64101,64103,64104,64105,67774,69383,69384,69385,69386,69400,69401
高精地图,-,-,○,○,○,-,-,-,○,○,-,-
高度(mm),1685,1685,1685,1685,1685,1685,1685,1685,1685,1685,1685,1685
驾驶辅助影像,,,,,,,,,,,,
驾驶模式切换,,,,,,,,,,,,
驻车制动类型,,,,,,,,,,,,
驱动电机数,单电机,单电机,单电机,双电机,双电机,单电机,单电机,单电机,单电机,双电机,单电机,单电机
驱动方式,,,,,,,,,,,,
风阻系数(Cd),0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295
面部识别,-,●,●,●,●,-,-,●,●,●,-,-
隐藏电动门把手,●,●,●,●,●,●,●,●,●,●,●,●
陡坡缓降,●,●,●,●,●,●,●,●,●,●,●,●
防侧翻系统,●,●,●,●,●,●,●,●,●,●,●,●
长度(mm),4820,4820,4820,4820,4820,4820,4820,4820,4820,4820,4820,4820
长*宽*高(mm),4820*1915*1685,4820*1915*1685,4820*1915*1685,4820*1915*1685,4820*1915*1685,4820*1915*1685,4820*1915*1685,4820*1915*1685,4820*1915*1685,4820*1915*1685,4820*1915*1685,4820*1915*1685
钥匙类型,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
遥控泊车,-,-,○,○,●,-,-,-,○,○,-,-
道路救援呼叫,●,●,●,●,●,●,●,●,●,●,●,●
道路交通标识识别,●,●,●,●,●,●,●,●,●,●,●,●
透明底盘/540度影像,●,●,●,●,●,●,●,●,●,●,●,●
远程启动功能,,,,,,,,,,,,
远光灯光源,,,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,,,
辅助驾驶芯片,-,-,-,-,-,-,,,,,,
辅助驾驶等级,,,,,,,,,,,,
轴距(mm),2848,2848,2848,2848,2848,2848,2848,2848,2848,2848,2848,2848
轮圈材质,,,,,,,,,,,,
转向头灯,-,-,○,○,●,-,-,-,○,○,-,-
车顶行李架,●,●,●,●,●,●,●,●,●,●,●,●
车门数(个),,,,,,,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,●,●,●,●,●,●,●,●,●,●,●,●
车道偏离预警系统,●,●,●,●,●,●,●,●,●,●,●,●
车道保持辅助系统,●,●,●,●,●,●,●,●,●,●,●,●
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-
车载智能系统,,,,,,,,,,,,
车载KTV,●,●,●,●,●,●,●,●,●,●,●,●
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
