Feature,63363,63364,63365,63366,63367,63368,63369,63370,63742,63743,64187,64188,64189,64190,66016
高度(mm),1930,1930,1930,1930,1930,1930,1930,1930,1920,1920,1920,1920,1920,1920,1930
驾驶辅助影像,-,-,,,,,,,,,-,-,,,
驾驶模式切换,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驻车制动类型,,,,,,,,,,,,,,,
驱动方式,,,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),5170,5170,5170,5170,5170,5170,5140,5140,5170,5170,5170,5170,5170,5170,5170
长*宽*高(mm),5170*1920*1930,5170*1920*1930,5170*1920*1930,5170*1920*1930,5170*1920*1930,5170*1920*1930,5140*1920*1930,5140*1920*1930,5170*1920*1920,5170*1920*1920,5170*1920*1920,5170*1920*1920,5170*1920*1920,5170*1920*1920,5170*1920*1930
钥匙类型,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
远光灯光源,,,,,,,,,,,,,,,
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,自然吸气
近光灯光源,,,,,,,,,,,,,,,
轴距(mm),3198,3198,3198,3198,3198,3198,3198,3198,3198,3198,3198,3198,3198,3198,3198
轮圈材质,,,,,,,,,,,,,,,
车门数(个),,,,,,,,,,,,,,,
车门开启方式,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门
车道偏离预警系统,-,-,-,-,●,●,●,●,-,-,-,-,●,●,-
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV
车身结构_x,5门7座MPV,5门9座MPV,5门7座MPV,5门9座MPV,5门7座MPV,5门9座MPV,5门7座MPV,5门9座MPV,5门7座MPV,5门9座MPV,5门7座MPV,5门9座MPV,5门7座MPV,5门9座MPV,5门7座MPV
车身稳定控制(ESC/ESP/DSC等),-,-,●,●,●,●,●,●,●,●,-,-,●,●,●
车联网,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗一键升降功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,菱智PLUS 2023款 2.0L 手动舒适型CNG 7座,菱智PLUS 2023款 2.0L 手动舒适型CNG 9座,菱智PLUS 2023款 2.0L 手动豪华型CNG 7座,菱智PLUS 2023款 2.0L 手动豪华型CNG 9座,菱智PLUS 2023款 2.0L 手动客运型中级车 7座,菱智PLUS 2023款 2.0L 手动客运型中级车 9座,菱智PLUS 2023款 2.0L 手动客运型高级车 7座,菱智PLUS 2023款 2.0L 手动客运型高级车 9座,菱智PLUS 2024款 1.5T 手动豪华型 7座,菱智PLUS 2024款 1.5T 手动豪华型 9座,菱智PLUS 2024款 1.5T 手动舒适型 7座,菱智PLUS 2024款 1.5T 手动舒适型 9座,菱智PLUS 2024款 1.5T 手动营运版 7座,菱智PLUS 2024款 1.5T 手动营运版 9座,菱智PLUS 2024款 2.0L 手动舒尊贵型CNG 7座
车前雾灯,-,-,,,-,-,-,-,,,-,-,-,-,
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,,,,,,,,,-,-,-,-,-,-,
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
语音识别控制系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
行车电脑显示屏幕,,,,,,,,,,,,,,,
行程(mm),88,88,88,88,88,88,88,88,84.48,84.48,84.48,84.48,84.48,84.48,88
蓝牙/车载电话,-,-,●,●,●,●,●,●,●,●,-,-,●,●,●
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,●,●,-,-,-,-,-,-,-
能源类型_y,汽油+CNG,汽油+CNG,汽油+CNG,汽油+CNG,汽油+CNG,汽油+CNG,汽油+CNG,汽油+CNG,汽油,汽油,汽油,汽油,汽油,汽油,汽油+CNG
