Feature,71832,71851,72250,72251,72569,72809,72810
高度(mm),1480,1480,1480,1480,1480,1480,1480
驾驶辅助影像,,,,,,,
驾驶模式切换,,,,,,,
驻车制动类型,,,,,,,
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,,,,,,,
风阻系数(Cd),0.25,0.25,0.25,0.25,0.25,0.25,0.25
面部识别,●,●,●,●,●,-,-
隐藏电动门把手,●,●,●,●,●,●,●
陡坡缓降,-,-,-,-,-,-,-
防侧翻系统,●,●,●,●,●,●,●
长度(mm),5018,5018,5018,5018,5018,5018,5018
长*宽*高(mm),5018*1918*1480,5018*1918*1480,5018*1918*1480,5018*1918*1480,5018*1918*1480,5018*1918*1480,5018*1918*1480
钥匙类型,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
遥控泊车,●,●,●,●,●,●,●
道路救援呼叫,●,●,●,●,●,●,●
道路交通标识识别,●,●,●,●,●,●,●
透明底盘/540度影像,●,●,●,●,●,●,●
远程启动功能,,,,,,,
远光灯光源,,,,,,,
进气形式,涡轮增压,涡轮增压,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
近光灯光源,,,,,,,
辅助驾驶路段,,,,,,-,-
辅助驾驶系统,,,,,,-,-
辅助驾驶等级,,,,,,,
辅助泊车入位,●,●,●,●,●,●,●
辅助变道,●,●,●,●,●,-,-
辅助匝道自动驶出(入),●,●,●,●,●,-,-
轴距(mm),2928,2928,2928,2928,2928,2928,2928
轮圈材质,,,,,,,
车门数(个),,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,●,●,●,●,●,●,●
车道偏离预警系统,●,●,●,●,●,●,●
车道保持辅助系统,●,●,●,●,●,●,●
车载空气净化器,-,●,-,-,-,-,-
车载智能系统,,,,,,,
车载卫星通信,-,●,-,-,-,-,-
车身结构_y,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身结构_x,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,
车机系统存储(GB),,,,,,,
车机系统内存(GB),,,,,,,
车机智能芯片,,,,,,,
车外扬声器数量,,,,,,,
车型名称,银河星耀8 2025款 130km EM-P 探索版,银河星耀8 2025款 130km EM-P 星舰版,银河星耀8 2025款 130km EM-i 尊贵版,银河星耀8 2025款 130km EM-i 旗舰版,银河星耀8 2025款 60km EM-i 豪华版,银河星耀8 2025款 60km EM-i 豪享版,银河星耀8 2025款 130km EM-i 尊享版
车前雾灯,-,-,-,-,-,-,-
车内香氛装置,-,●,-,-,-,-,-
车内环境氛围灯,,,,,-,-,
车内摄像头数量,,,,,,-,-
车内化妆镜,,,,,,,
车内中控锁,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,,,,,,,
语音连续识别,●,●,●,●,●,●,●
语音识别控制系统,,,,,,,
语音助手唤醒词,,,,,,,
语音分区域唤醒识别,,,,,,,
语音免唤醒词,●,●,●,●,●,●,●
记忆泊车,-,●,-,-,-,-,-
行车电脑显示屏幕,,,,,,,
蓝牙/车载电话,●,●,●,●,●,●,●
自适应远近光,●,●,●,●,●,●,●
自动驻车,●,●,●,●,●,●,●
自动头灯,●,●,●,●,●,●,●
能量回收系统,●,●,●,●,●,●,●
能源类型_y,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力
能源类型_x,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力
胎压监测功能,,,,,,,
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
级别,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车
系统综合扭矩(N·m),605,605,398,398,398,398,398
系统综合功率(kW),280,280,257,257,257,257,257
系统综合功率(Ps),381,381,350,350,350,350,350
简称,3挡DHT,3挡DHT,1挡DHT,1挡DHT,1挡DHT,1挡DHT,1挡DHT
第二排座椅调节,,,,,,,
第二排座椅电动调节,○,○,○,○,○,○,○
第二排座椅功能,,,,,,,
空调温度控制方式,,,,,,,
空气质量监测,-,●,-,-,-,-,-
离去角(°),15,15,15,15,15,15,15
疲劳驾驶提示,●,●,●,●,●,-,-
电芯品牌,,,,,,,
电池预加热,●,●,●,●,●,●,●
电池能量(kWh),18.4,18.4,18.4,18.4,8.5,8.5,18.4
电池类型,,,,,,,
电池特有技术,神盾电池,神盾电池,神盾电池,神盾电池,神盾电池,神盾电池,神盾电池
电池快充电量范围(%)_y,30-80,30-80,30-80,30-80,-,-,30-80
电池快充电量范围(%)_x,30-80,30-80,30-80,30-80,-,-,30-80
电池快充时间(小时)_y,0.33,0.33,0.33,0.33,-,-,0.33
电池快充时间(小时)_x,0.33,0.33,0.33,0.33,-,-,0.33
电池冷却方式,直冷,直冷,直冷,直冷,直冷,直冷,直冷
电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电机布局,前置,前置,前置,前置,前置,前置,前置
电动机总马力(Ps),218,218,238,238,238,238,238
电动机总扭矩(N·m),350,350,262,262,262,262,262
电动机总功率(kW),160,160,175,175,175,175,175
电动机(Ps),218,218,238,238,238,238,238
电动座椅记忆功能,,,-,,-,-,-
电动后备厢,●,●,-,●,-,-,-
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●
燃油标号,92号,92号,92号,92号,92号,92号,92号
激光雷达数量,-,,-,-,-,-,-
温度分区控制,●,●,●,●,●,●,●
液晶仪表尺寸,,,,,,,
油箱容积(L),55,55,55,55,55,55,55
气缸数(个),4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L
毫米波雷达数量,,,,,,,
每缸气门数(个),4,4,4,4,4,4,4
最高车速(km/h),200,200,190,190,190,190,190
最小转弯半径(m),5.8,5.8,5.8,5.8,5.8,5.8,5.8
最大马力(Ps),163,163,112,112,112,112,112
最大满载质量(kg),2324,2324,2274,2274,2184,2184,2274
最大扭矩转速(rpm),2500-4000,2500-4000,4000-5000,4000-5000,4000-5000,4000-5000,4000-5000
最大扭矩(N·m)_y,255,255,136,136,136,136,136
最大扭矩(N·m)_x,605,605,398,398,398,398,398
最大功率转速(rpm),5500,5500,6000,6000,6000,6000,6000
最大功率(kW)_y,120,120,82,82,82,82,82
最大功率(kW)_x,280,280,257,257,257,257,257
最大净功率(kW),115,115,79,79,79,79,79
最低荷电状态油耗(L/100km)CLTC,3.67,3.67,3.43,3.43,3.36,3.36,3.43
无钥匙进入功能,,,,,,,
