Feature,1015255,1015256,1015257,1015893,1015894,1015895,1015896,1015897,1015898,1015899,1015900,1015901,1015902,1015903,1015904,1015905,1015906,1015907,1015908,1015909,1015910,1015911,1015912,1015913,1016882,1016883,1017593,1017594,1017595,1017596,1017597,1017608,1017609,1017610,1017611,1017612,1017613,1017614,1017615,1017616,1018333,1018334,1018335,1018336,1018337,1018338,1018339,1018340,1018341,1018342,1018343,1018344,1019106,1019107,1019108,1019109,1019715,1019716
高度(mm),1910,1955,1910,1885,1910,1910,1910,1910,1910,1910,1910,1910,1910,1910,1910,1910,1910,1910,1910,1910,1910,1910,1910,1955,1885,1910,1910,1910,1910,1910,1910,1910,1910,1910,1910,1910,1910,1910,1910,1910,1910,1910,1910,1910,1910,1910,1910,1910,1910,1910,1910,1910,1910,1910,1910,1910,1955,1970
驾驶辅助影像,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
驾驶模式切换,,,,-,-,-,-,-,-,,,,,-,-,-,-,,,,,,,,-,-,,,,,,,,,,,,,,,-,-,-,-,,,,,,,,,,,,,,
驻车制动类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
驱动方式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
面部识别,○,●,-,-,-,-,-,-,-,-,-,-,-,○,○,○,○,○,○,○,-,○,○,●,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,●,●,●,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,●,●,●,-,-,-,-,-,-,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●
限滑差速器/差速锁,,,-,-,-,-,-,,,-,-,,,-,-,,,-,-,,,-,,-,-,-,-,-,-,-,-,-,-,,,,,,,,-,-,-,-,-,-,,,-,,-,,-,-,,,,
长度(mm),5797,5617,5617,5797,5797,5617,5797,5617,5797,5617,5797,5617,5797,5617,5797,5617,5797,5617,5797,5617,5617,5617,5617,5617,5617,5617,5617,5617,5617,5617,5617,5617,5797,5617,5797,5617,5617,5617,5617,5617,5617,5797,5617,5797,5617,5797,5617,5797,5617,5617,5617,5617,5617,5797,5617,5797,5837,5677
长*宽*高(mm),5797*2090*1910,5617*2090*1955,5617*2000*1910,5797*2000*1885,5797*2000*1910,5617*2000*1910,5797*2000*1910,5617*2000*1910,5797*2000*1910,5617*2000*1910,5797*2000*1910,5617*2000*1910,5797*2000*1910,5617*2090*1910,5797*2090*1910,5617*2090*1910,5797*2090*1910,5617*2090*1910,5797*2090*1910,5617*2090*1910,5617*2000*1910,5617*2090*1910,5617*2090*1910,5617*2090*1955,5617*2000*1885,5617*2000*1910,5617*2090*1910,5617*2090*1910,5617*2090*1910,5617*2090*1910,5617*2090*1910,5617*2000*1910,5797*2000*1910,5617*2000*1910,5797*2000*1910,5617*2000*1910,5617*2090*1910,5617*2090*1910,5617*2090*1910,5617*2090*1910,5617*2090*1910,5797*2090*1910,5617*2090*1910,5797*2090*1910,5617*2090*1910,5797*2090*1910,5617*2090*1910,5797*2090*1910,5617*2000*1910,5617*2000*1910,5617*2000*1910,5617*2000*1910,5617*2090*1910,5797*2090*1910,5617*2090*1910,5797*2090*1910,5837*2090*1955,5677*2095*1970
钥匙类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,●,●,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,-,●,●,●,-,-,-,-,-,●,●,-,-,-,-,-,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
道路交通标识识别,-,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,○,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
