Feature,59860,60219,60220,63121,63122,63123,63124,63125,67886,68038,68039
高度(mm),1448,1472,1475,1472,1434,1434,1432,1446,1479,1479,1479
驾驶辅助影像,,,,,,,,,,,
驾驶模式切换,,,,,,,,,,,
驻车制动类型,,,,,,,,,,,
驱动方式,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-
隐藏电动门把手,-,-,-,-,-,-,-,-,●,●,●
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4846,4942,4942,4942,4846,4846,4846,4846,4953,4953,4953
长*宽*高(mm),4846*1860*1448,4942*1860*1472,4942*1860*1475,4942*1860*1472,4846*1860*1434,4846*1860*1434,4846*1860*1432,4846*1860*1446,4953*1880*1479,4953*1880*1479,4953*1880*1479
钥匙类型,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,●,●,●,●,●,●,●,●,●,●,●
道路交通标识识别,○,○,○,-,○,○,○,○,●,●,●
远程启动功能,,,,,,,,,,,
远光灯光源,,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,,
辅助驾驶等级,,,,-,,,,,,,
轴距(mm),2873,2939,2939,2939,2873,2873,2873,2873,2961,2961,2961
轮圈材质,,,,,,,,,,,
转向头灯,○,○,●,○,○,●,○,○,●,-,-
车门数(个),,,,,,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,○,○,○,-,○,○,○,○,●,○,●
车道偏离预警系统,○,○,○,-,○,○,○,○,●,●,●
车道保持辅助系统,○,○,○,-,○,○,○,○,●,●,●
车载空气净化器,●,●,●,●,●,●,●,●,●,●,●
车载智能系统,,,,,,,,,,,
车身结构_y,硬顶跑车,三厢车,三厢车,三厢车,硬顶跑车,硬顶跑车,软顶敞篷车,软顶敞篷车,三厢车,三厢车,三厢车
车身结构_x,2门4座硬顶跑车,4门5座三厢车,4门5座三厢车,4门5座三厢车,2门4座硬顶跑车,2门4座硬顶跑车,2门4座软顶敞篷车,2门4座软顶敞篷车,4门5座三厢车,4门5座三厢车,4门5座三厢车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,,,
车机智能芯片,-,-,-,-,-,-,-,-,,,
车型名称,奔驰E级(进口) 2023款 E 260 4MATIC 轿跑车,奔驰E级(进口) 2023款 E 300 时尚型运动版,奔驰E级(进口) 2023款 E 300 豪华型运动版,奔驰E级(进口) 2023款 改款 E 260 时尚型运动版,奔驰E级(进口) 2023款 改款 E 260 轿跑车,奔驰E级(进口) 2023款 改款 E 300 轿跑车,奔驰E级(进口) 2023款 改款 E 260 敞篷轿跑车,奔驰E级(进口) 2023款 改款 E 260 4MATIC 敞篷轿跑车,奔驰E级(进口) 2024款 E 300 豪华型运动版,奔驰E级(进口) 2024款 E 260 运动版,奔驰E级(进口) 2024款 E 300 时尚型运动版
车前雾灯,-,-,-,-,-,-,-,-,-,-,-
车内香氛装置,○,○,○,○,○,○,-,-,-,-,-
车内环境氛围灯,,,,,,,,,,,
车内摄像头数量,-,-,-,-,-,-,-,-,,,
车内化妆镜,,,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
