Feature,61003,64087,64088,64738,64739,64740
高度(mm),1660,1660,1660,1660,1660,1660
驾驶辅助影像,,,,,,
驾驶模式切换,,,,,,
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱
首任车主质保政策,不限年限/不限里程（责任免除条款以官方为准）,不限年限/不限里程（责任免除条款以官方为准）,不限年限/不限里程（责任免除条款以官方为准）,不限年限/不限里程（责任免除条款以官方为准）,不限年限/不限里程（责任免除条款以官方为准）,不限年限/不限里程（责任免除条款以官方为准）
陡坡缓降,●,●,●,●,●,●
长度(mm),4675,4675,4675,4675,4675,4675
长*宽*高(mm),4675*1910*1660,4675*1910*1660,4675*1910*1660,4675*1910*1660,4675*1910*1660,4675*1910*1660
钥匙类型,,,,,,
道路交通标识识别,●,-,●,●,-,●
透明底盘/540度影像,●,-,●,●,-,●
远程启动功能,,,,,,
远光灯光源,,,,,,
近光灯光源,,,,,,
辅助驾驶等级,,-,-,-,-,
轴距(mm),2830,2830,2830,2830,2830,2830
轮圈材质,,,,,,
转向辅助灯,●,●,●,●,●,●
车顶行李架,●,●,●,●,●,●
车门数(个),5,5,5,5,5,5
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,●,-,-,-,-,●
车道偏离预警系统,●,-,●,●,-,●
车道保持辅助系统,●,-,-,-,-,●
车载空气净化器,○,-,-,-,-,●
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●
车联网,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●
车窗一键升降功能,,,,,,
车型名称,奇瑞舒享家 2023款 512km Max,奇瑞舒享家 2023款 512km Air版,奇瑞舒享家 2023款 512km Pro,奇瑞舒享家 2023款 412km Pro版,奇瑞舒享家 2023款 412km Air版,奇瑞舒享家 2023款 512km Ultra版
车前雾灯,-,-,-,-,-,-
车内香氛装置,○,-,○,○,-,●
车内环境氛围灯,,-,,,-,
车内化妆镜,,,,,,
车内中控锁,●,●,●,●,●,●
车内PM2.5过滤装置,●,-,○,○,-,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式
负离子发生器,○,-,-,-,-,●
语音识别控制系统,,,,,,
语音分区域唤醒识别,,-,,,-,
行车电脑显示屏幕,,,,,,
蓝牙/车载电话,●,●,●,●,●,●
自适应远近光,●,-,-,-,-,●
自动驻车,●,●,●,●,●,●
自动头灯,●,●,●,●,●,●
能量回收系统,●,●,●,●,●,●
能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
胎压监测功能,,,,,,
缺气保用轮胎,-,-,-,-,-,-
级别,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排座椅调节,-,-,-,-,-,-
第二排座椅功能,,-,,,-,
空调温度控制方式,,,,,,
