Feature,67014,68981,68982,68983,68984,69299,69300,70493,70494,70510,70511,70512,70513,70514
高度(mm),1778,1778,1778,1778,1778,1778,1778,1778,1778,1778,1778,1778,1778,1778
驾驶辅助影像,,,,,,-,,-,,,,,,
驾驶模式切换,,,,,,-,-,-,-,,,,,
驻车制动类型,,,,,,,,,,,,,,
驱动方式,,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4825,4825,4825,4825,4825,4825,4825,4825,4825,4825,4825,4825,4825,4825
长*宽*高(mm),4825*1825*1778,4825*1825*1778,4825*1825*1778,4825*1825*1778,4825*1825*1778,4825*1825*1778,4825*1825*1778,4825*1825*1778,4825*1825*1778,4825*1825*1778,4825*1825*1778,4825*1825*1778,4825*1825*1778,4825*1825*1778
钥匙类型,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
远光灯光源,,,,,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,,,,,
辅助驾驶等级,-,-,,,,-,-,-,-,-,-,,,
轴距(mm),2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800
轮圈材质,,,,,,,,,,,,,,
车顶行李架,○,-,-,●,●,-,-,○,○,○,○,○,●,●
车门数(个),,,,,,,,,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,-,-,○,○,●,-,-,-,-,-,-,○,○,●
车道偏离预警系统,-,-,○,○,●,○,○,○,○,-,-,○,○,●
车道保持辅助系统,-,-,○,○,●,-,-,-,-,-,-,○,○,●
车载空气净化器,-,-,-,-,○,-,-,-,-,-,-,-,-,○
车身结构_y,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV
车身结构_x,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●
车联网,-,-,-,●,●,-,-,-,-,-,-,-,●,●
车窗防夹手功能,-,●,●,●,●,-,●,-,●,-,●,●,●,●
车窗一键升降功能,-,,,,,-,,-,,-,,,,
车型名称,大通G50 2024款 PLUS 1.5T 幸福推荐自动荣耀版,大通G50 2024款 PLUS 1.5T 幸福推荐自动启航版,大通G50 2024款 PLUS 1.5T 幸福推荐自动巡航版,大通G50 2024款 PLUS 1.5T 幸福推荐自动护航版,大通G50 2024款 PLUS 1.5T 幸福推荐自动领航版,大通G50 2023款 改款 1.5T 手动畅游A,大通G50 2023款 改款 1.5T 手动畅游B,大通G50 2024款 1.5T 手动畅游A,大通G50 2024款 1.5T 手动畅游B,大通G50 2024款 改款 PLUS 1.5T 幸福推荐自动荣耀版,大通G50 2024款 改款 PLUS 1.5T 幸福推荐自动启航版,大通G50 2024款 改款 PLUS 1.5T 幸福推荐自动巡航版,大通G50 2024款 改款 PLUS 1.5T 幸福推荐自动护航版,大通G50 2024款 改款 PLUS 1.5T 幸福推荐自动领航版
车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内环境氛围灯,-,-,-,-,,-,-,-,-,-,-,-,-,
车内化妆镜,-,,,,,-,-,-,-,-,,,,
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,,,,,,-,-,-,-,,,,,
语音识别控制系统,-,-,-,,,-,,-,,-,-,-,,
行车电脑显示屏幕,,,,,,,,,,,,,,
蓝牙/车载电话,●,●,●,●,●,-,●,-,●,●,●,●,●,●
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,●,●,●,●,●,-,-,-,-,●,●,●,●,●
自动头灯,●,●,●,●,●,-,-,-,-,●,●,●,●,●
