Feature,1012034,1012035,1012036,1012037,1012038,1012039,1012040,1012041,1012042,1012043,1012044,1012045,1013673,1013674,1014238,1014239,1017056
高度(mm),1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900
驾驶辅助影像,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶模式切换,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驻车制动类型,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,,,,,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4490,4490,4490,4490,4490,4490,4490,4490,4490,4490,4490,4490,4490,4490,4490,4490,4490
长*宽*高(mm),4490×1610×1900,4490×1610×1900,4490×1610×1900,4490×1610×1900,4490×1610×1900,4490×1610×1900,4490×1610×1900,4490×1610×1900,4490×1610×1900,4490×1610×1900,4490×1610×1900,4490×1610×1900,4490×1610×1900,4490×1610×1900,4490×1610×1900,4490×1610×1900,4490×1610×1900
钥匙类型,,,,,,,,,,,,,,,,,
远光灯光源,,,,,,,,,,,,,,,,,
近光灯光源,,,,,,,,,,,,,,,,,
轴距(mm),3050,3050,3050,3050,3050,3050,3050,3050,3050,3050,3050,3050,3050,3050,3050,3050,3050
轮圈材质,,,,,,,,,,,,,,,,,
车门数(个),,,,,,,,,,,,,,,,,
车门开启方式,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车道偏离预警系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,客车,客车,货车,货车,货车
