Feature,1013960,1013961,1013963,1013964,1013965,1013966,1013967,1013968,1016703,1016704,1016705,1018840
高度(mm),2520,2025,2440,2495,2495,1985,1985,2440,1985,2495,2440,2475
驾驶辅助影像,-,-,-,-,-,-,-,-,-,-,-,
驾驶模式切换,-,-,-,-,-,-,-,-,-,-,-,-
驻车制动类型,-,-,-,-,-,-,-,-,,,,-
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),5365,5335,5620,5625,5625,5620,5620,5620,5620,5625,5620,5655
长*宽*高(mm),5365×1785×2520,5335×1785×2025,5620×1785×2440,5625×1805×2495,5625×1805×2495,5620×1785×1985,5620×1785×1985,5620×1785×2440,5620×1785×1985,5625×1805×2495,5620×1785×2440,5655*1805*2475
钥匙类型,,,,,,,,,,,,
远光灯光源,,,,,,,,,,,,
近光灯光源,,,,,,,,,,,,
轴距(mm),3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360
轮圈材质,,,,,,,,,,,,
车门数(个),,,,,,,,,,,,
车门开启方式,-,-,-,-,-,-,-,-,-,-,-,-
车道偏离预警系统,-,-,-,-,-,-,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车
车身结构_x,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-,-,-
车联网,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-
车窗一键升降功能,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,瑞驰新能源EC71 2022款 EC71 纯电动厢式车50.232kWh,瑞驰新能源EC71 2022款 EC71 纯电动载货车50.232kWh,瑞驰新能源EC71 2022款 EC71L 纯电动仓栅车50.38kWh,瑞驰新能源EC71 2022款 EC71L 纯电动厢式车50.232kWh,瑞驰新能源EC71 2022款 EC71L 纯电动厢式车50.38kWh,瑞驰新能源EC71 2022款 EC71L 纯电动载货车50.232kWh,瑞驰新能源EC71 2022款 EC71L 纯电动载货车50.38kWh,瑞驰新能源EC71 2022款 EC71L 纯电动仓栅车50.232kWh,瑞驰新能源EC71 2023款 EC71L 纯电动载货车,瑞驰新能源EC71 2023款 EC71L 纯电动厢式车,瑞驰新能源EC71 2023款 EC71L 纯电动仓栅车,瑞驰新能源EC71 2024款 EC71L 纯电动冷藏车长续航版-先锋型I
车前雾灯,,,,,,,,,,,,
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,-,-,-,-,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,-,-,-,-,-,-,-,-,-,-,-,-
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
