Feature,60251,62449,62450,63993,65686,65687,66055
高度(mm),1680,1680,1680,1680,1680,1680,1680
驾驶辅助影像,,,,,,,
驾驶模式切换,,,,,,,
驻车制动类型,,,,,,,
驱动方式,,,,,,,
首任车主质保政策,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-
隐藏电动门把手,●,●,●,●,●,●,●
陡坡缓降,●,●,●,●,●,●,●
长度(mm),4538,4538,4538,4538,4500,4500,4538
长*宽*高(mm),4538*1898*1680,4538*1898*1680,4538*1898*1680,4538*1898*1680,4500*1865*1680,4500*1865*1680,4538*1898*1680
钥匙类型,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,●,-,-,-,-,-,●
道路交通标识识别,●,●,○,-,-,●,●
透明底盘/540度影像,●,●,○,-,-,●,●
远程启动功能,,,,,,,
远光灯光源,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,
辅助驾驶等级,,,,-,-,,
轴距(mm),2672,2672,2672,2672,2672,2672,2672
轮圈材质,,,,,,,
车顶行李架,●,●,●,●,●,●,●
车门数(个),,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道偏离预警系统,●,●,○,-,-,●,●
车道保持辅助系统,●,●,○,-,-,●,●
车载空气净化器,●,-,-,-,-,-,●
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,
车机智能芯片,,,,,,,
车型名称,探索06 2023款 悦野版 1.6T 四驱探秘,探索06 2023款 悦野版 1.6T 两驱探野,探索06 2023款 悦野版 1.6T 四驱探境,探索06 2023款 悦野版 1.6T 两驱探享,探索06 2023款 都市版 1.6T 两驱舒适,探索06 2023款 都市版 1.6T 两驱豪华,探索06 2023款 悦野版 1.6T 四驱探秘+
车前雾灯,-,-,-,-,-,-,-
车内环境氛围灯,,,-,-,-,,
车内化妆镜,,,,,,,
车内中控锁,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,-,-,-,-,-,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式
起步提醒,●,●,○,-,-,●,●
负离子发生器,●,-,-,-,-,-,●
语音识别控制系统,,,,,,,
行车电脑显示屏幕,,,,,,,
行李厢12V电源接口,●,●,●,●,●,●,●
蓝牙/车载电话,●,●,●,●,●,●,●
自适应远近光,●,●,○,-,-,●,●
自动驻车,●,●,●,●,●,●,●
自动头灯,●,●,●,●,●,●,●
能源类型_y,汽油,汽油,汽油,汽油,汽油,汽油,汽油
能源类型_x,汽油,汽油,汽油,汽油,汽油,汽油,汽油
胎压监测功能,,,,,,,
缺气保用轮胎,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
级别,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV
简称,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合
第二排座椅调节,,,,,,,
空载最小离地间隙(mm),200,200,200,200,200,200,200
空调温度控制方式,,,,,,,
离去角(°),24,24,24,24,24,24,24
疲劳驾驶提示,-,-,-,-,-,-,-
电动座椅记忆功能,,-,-,-,-,-,
电动后备厢位置记忆,●,●,-,-,-,●,●
电动后备厢,●,●,-,-,-,●,●
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●
燃油标号,92号,92号,92号,92号,92号,92号,92号
温度分区控制,●,-,-,-,-,-,●
液晶仪表尺寸,,,,,,,
油箱容积(L),57,51,57,51,51,51,57
气缸数(个),4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4,4
最高车速(km/h),201,190,201,190,190,190,201
最大马力(Ps),197,197,197,197,197,197,197
最大满载质量(kg),2019,1877,2019,1877,1877,1877,2019
最大涉水深度(mm),605,605,605,605,605,605,605
最大扭矩转速(rpm),2000-4000,2000-4000,2000-4000,2000-4000,2000-4000,2000-4000,2000-4000
最大扭矩(N·m)_y,290,290,290,290,290,290,290
最大扭矩(N·m)_x,290,290,290,290,290,290,290
最大功率转速(rpm),5500,5500,5500,5500,5500,5500,5500
最大功率(kW)_y,145,145,145,145,145,145,145
最大功率(kW)_x,145,145,145,145,145,145,145
最大净功率(kW),136.5,136.5,136.5,136.5,136.5,136.5,136.5
无钥匙进入功能,,,,,,,
无钥匙启动系统,●,●,●,●,●,●,●
方向盘记忆,-,-,-,-,-,-,-
方向盘材质,,,,,,,
方向盘换挡,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-
方向盘位置调节,,,,,,,
整车质保,-,-,-,-,-,-,-
整备质量(kg),1620,1484,1620,1484,1484,1484,1620
接近角(°),20,20,20,20,20,20,20
排量(mL),1598,1598,1598,1598,1598,1598,1598
换挡形式,,,,,,,
挡位个数,7,7,7,7,7,7,7
扬声器数量,,,,,,,
扬声器品牌名称,,,,,,,
手机无线充电功能,,,-,-,-,,
手机无线充电功率,,,-,-,-,,
手机互联/映射,,,,,,,
手机APP远程功能,,,,,,,
感应雨刷功能,,,,-,-,,
感应后备厢,●,●,-,-,-,●,●
座椅材质,,,,,,,
座位数(个),,,,,,,
并线辅助,●,-,-,-,-,-,●
巡航系统,,,,,,,
导航路况信息显示,●,●,●,●,●,●,●
宽度(mm),1898,1898,1898,1898,1865,1865,1898
官方0-100km/h加速(s),-,-,-,-,-,-,-
安全带未系提醒,,,,,,,
天窗类型,,,,,,,
大灯高度可调,●,●,●,●,●,●,●
大灯延时关闭,●,●,●,●,●,●,●
多指飞屏操控,●,●,●,●,●,●,●
多层隔音玻璃,,-,-,-,-,-,
多媒体/充电接口,,,,,,,
