Feature,63769,63770,63771,63776,63777,63778,64226,64297,64298,64299,64300,64303,64304,64305,64306,64307,64308,64309,67016,67017,67018,67019,67020,67021
高度(mm),1778,1778,1778,1778,1778,1778,1778,1778,1778,1778,1778,1778,1778,1778,1778,1778,1778,1778,1778,1778,1778,1778,1778,1778
驾驶辅助影像,,,,,,,,,,,,,,,,,,,,,,,,
驾驶模式切换,,,,,,,,,,,,,,,,,,,,,,,,
驻车制动类型,,,,,,,,,,,,,,,,,,,,,,,,
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,,,,,,,,,,,,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4825,4825,4825,4825,4825,4825,4825,4825,4825,4825,4825,4825,4825,4825,4825,4825,4825,4825,4825,4825,4825,4825,4825,4825
长*宽*高(mm),4825*1825*1778,4825*1825*1778,4825*1825*1778,4825*1825*1778,4825*1825*1778,4825*1825*1778,4825*1825*1778,4825*1825*1778,4825*1825*1778,4825*1825*1778,4825*1825*1778,4825*1825*1778,4825*1825*1778,4825*1825*1778,4825*1825*1778,4825*1825*1778,4825*1825*1778,4825*1825*1778,4825*1825*1778,4825*1825*1778,4825*1825*1778,4825*1825*1778,4825*1825*1778,4825*1825*1778
钥匙类型,,,,,,,,,,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,-,-,-,-,-,-,-,-,-,-,-,-,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
远光灯光源,,,,,,,,,,,,,,,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,-,-,-,-,-,-,-,-,-,-,-,-,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,,,,,,,,,,,,,,,
辅助驾驶等级,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-
轴距(mm),2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800
轮圈材质,,,,,,,,,,,,,,,,,,,,,,,,
车顶行李架,-,●,●,-,●,●,●,-,-,-,●,-,-,-,-,●,●,-,-,●,●,-,●,●
车门数(个),,,,,,,,,,,,,,,,,,,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道偏离预警系统,-,-,-,-,-,-,-,-,-,-,○,-,-,-,-,-,-,-,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,○,-,-,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,●,●,●,●,●,●,-,-,-,-,○,-,-,-,-,-,-,-,●,●,●,●,●,●
车载智能系统,-,,,-,,,,-,-,,,-,-,-,-,,,,-,,,-,,
车身结构_y,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV
车身结构_x,5门7座MPV,5门7座MPV,5门7座MPV,5门6座MPV,5门6座MPV,5门6座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门6座MPV,5门6座MPV,5门6座MPV,5门5座MPV,5门6座MPV,5门5座MPV,5门6座MPV,5门5座MPV,5门5座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门6座MPV,5门6座MPV,5门6座MPV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车联网,-,●,●,-,●,●,●,-,-,●,●,-,-,-,-,●,●,●,-,●,●,-,●,●
车窗防夹手功能,●,●,●,●,●,●,●,-,-,-,●,-,-,-,-,●,●,-,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,-,-,-,,-,-,-,-,,,-,,,,,,
车型名称,大家5 2024款 1.3T PLUG IN 乐享版 七座,大家5 2024款 1.3T PLUG IN 智享版 七座,大家5 2024款 1.3T PLUG IN 尊享版 七座,大家5 2024款 1.3T PLUG IN 乐享版 六座,大家5 2024款 1.3T PLUG IN 智享版 六座,大家5 2024款 1.3T PLUG IN 尊享版 六座,大家5 2024款 410KM 豪华版 七座,大家5 2024款 410KM 精英版 七座,大家5 2024款 410KM 行政版 七座,大家5 2024款 510KM 乐享版 六座,大家5 2024款 510KM 欧洲版 六座,大家5 2024款 410KM 精英版 六座,大家5 2024款 410KM 精英版 五座,大家5 2024款 410KM 行政版 六座,大家5 2024款 410KM 行政版 五座,大家5 2024款 410KM 豪华版 六座,大家5 2024款 410KM 豪华版 五座,大家5 2024款 510KM 乐享版 五座,大家5 2024款 改款 1.3T PLUG IN 乐享版 七座,大家5 2024款 改款 1.3T PLUG IN 智享版 七座,大家5 2024款 改款 1.3T PLUG IN 尊享版 七座,大家5 2024款 改款 1.3T PLUG IN 乐享版 六座,大家5 2024款 改款 1.3T PLUG IN 智享版 六座,大家5 2024款 改款 1.3T PLUG IN 尊享版 六座
车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内环境氛围灯,-,-,,-,-,,-,-,-,-,,-,-,-,-,-,-,-,-,-,,-,-,
车内化妆镜,,,,,,,,,,,,,,,,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
语音识别控制系统,-,,,-,,,,-,-,,,-,-,-,-,,,,-,,,-,,
语音助手唤醒词,-,,,-,,,,-,-,,,-,-,-,-,,,,-,,,-,,
语音分区域唤醒识别,-,,,-,,,,-,-,,,-,-,-,-,,,,-,,,-,,
行车电脑显示屏幕,,,,,,,,,,,,,,,,,,,,,,,,
蓝牙/车载电话,●,●,●,●,●,●,●,○,●,●,●,○,○,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自动头灯,-,●,●,-,●,●,●,-,-,-,●,-,-,-,-,●,●,-,-,●,●,-,●,●
能量回收系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
能源类型_y,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力
能源类型_x,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力
胎压监测功能,,,,,,,,,,,,,,,,,,,,,,,,
缺气保用轮胎,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,-,-,-,-,-,-,-,-,-,-,-,-,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,-,-,-,-,-,-,-,-,-,-,-,-,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
级别,紧凑型MPV,紧凑型MPV,紧凑型MPV,紧凑型MPV,紧凑型MPV,紧凑型MPV,紧凑型MPV,紧凑型MPV,紧凑型MPV,紧凑型MPV,紧凑型MPV,紧凑型MPV,紧凑型MPV,紧凑型MPV,紧凑型MPV,紧凑型MPV,紧凑型MPV,紧凑型MPV,紧凑型MPV,紧凑型MPV,紧凑型MPV,紧凑型MPV,紧凑型MPV,紧凑型MPV
简称,AMT（组合10挡）,AMT（组合10挡）,AMT（组合10挡）,AMT（组合10挡）,AMT（组合10挡）,AMT（组合10挡）,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,AMT（组合10挡）,AMT（组合10挡）,AMT（组合10挡）,AMT（组合10挡）,AMT（组合10挡）,AMT（组合10挡）
第二排独立座椅,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
第二排座椅调节,,,,,,,,,,,,,,,,,,,,,,,,
空调温度控制方式,,,,,,,,,,,,,,,,,,,,,,,,
离去角(°),21,21,21,21,21,21,20,20,20,20,20,20,20,20,20,20,20,20,21,21,21,21,21,21
百公里耗电量(kWh/100km),16.1,16.1,16.1,16.1,16.1,16.1,15.1,15.1,15.1,14.2,14.2,15.1,15.1,15.1,15.1,15.1,15.1,14.2,10.2,10.2,10.2,10.2,10.2,10.2
疲劳驾驶提示,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电芯品牌,,,,,,,,,,,,,,,,,,,,,,,,
电能当量燃料消耗量(L/100km),1.82,1.82,1.82,1.82,1.82,1.82,1.71,1.71,1.71,1.6,1.6,1.71,1.71,1.71,1.71,1.71,1.71,1.6,1.15,1.15,1.15,1.15,1.15,1.15
电池预加热,○,○,○,○,○,○,●,○,○,○,○,○,○,○,○,●,●,○,○,○,○,○,○,○
电池能量密度(Wh/kg),-,-,-,-,-,-,177.9,177.9,177.9,185.88,185.88,177.9,177.9,177.9,177.9,177.9,177.9,185.88,-,-,-,-,-,-
电池能量(kWh),13,13,13,13,13,13,61.1,61.1,61.1,70,70,61.1,61.1,61.1,61.1,61.1,61.1,70,13,13,13,13,13,13
电池类型,,,,,,,,,,,,,,,,,,,,,,,,
电池快充电量范围(%)_y,-,-,-,-,-,-,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,-,-,-,-,-,-
电池快充电量范围(%)_x,-,-,-,-,-,-,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,-,-,-,-,-,-
