Feature,66463,66464,66648,67720,67721,67722,67723,67724,69435
高精地图,●,●,-,●,●,●,●,●,●
高度(mm),1698,1698,1698,1698,1698,1698,1698,1698,1698
高压快充,支持,支持,-,-,-,支持,支持,支持,-
高压平台（V）,800,800,400,400,400,800,800,800,400
驾驶辅助影像,,,,,,,,,
驾驶模式切换,,,,,,,,,
驻车制动类型,,,,,,,,,
驱动电机数,单电机,双电机,单电机,单电机,单电机,单电机,单电机,双电机,单电机
驱动方式,,,,,,,,,
首任车主质保政策,,,,,,,,,
风阻系数(Cd),0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26
面部识别,●,●,●,●,●,●,●,●,●
零重力座椅,,,-,,,,,,
隐藏电动门把手,●,●,●,●,●,●,●,●,●
陡坡缓降,●,●,●,●,●,●,●,●,●
长度(mm),4955,4955,4955,4955,4955,4955,4955,4955,4955
长*宽*高(mm),4955*1975*1698,4955*1975*1698,4955*1975*1698,4955*1975*1698,4955*1975*1698,4955*1975*1698,4955*1975*1698,4955*1975*1698,4955*1975*1698
钥匙类型,,,,,,,,,
配气机构,-,-,DOHC,DOHC,DOHC,-,-,-,DOHC
遥控泊车,●,●,-,●,●,●,●,●,●
道路救援呼叫,●,●,●,●,●,●,●,●,●
道路交通标识识别,●,●,●,●,●,●,●,●,●
透明底盘/540度影像,●,●,●,●,●,●,●,●,●
远程启动功能,,,,,,,,,
远光灯光源,,,,,,,,,
进气形式,-,-,涡轮增压,涡轮增压,涡轮增压,-,-,-,涡轮增压
近光灯光源,,,,,,,,,
辅助驾驶芯片,,,,,,,,,
辅助驾驶系统,,,,,,,,,
辅助驾驶等级,,,,,,,,,
轴距(mm),3000,3000,3000,3000,3000,3000,3000,3000,3000
轮圈材质,,,,,,,,,
车门数(个),,,,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,●,●,●,●,●,●,●,●,●
车道偏离预警系统,●,●,●,●,●,●,●,●,●
车道保持辅助系统,●,●,●,●,●,●,●,●,●
车载空气净化器,●,●,-,-,-,●,●,●,●
车载智能系统,,,,,,,,,
车载KTV,●,●,●,●,●,●,●,●,●
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,
车机系统存储(GB),,,,,,,,,
车机系统内存(GB),,,,,,,,,
车机智能芯片,,,,,,,,,
车型名称,星纪元 ET 2024款 纯电 625 Pro,星纪元 ET 2024款 纯电 540 Pro四驱版,星纪元 ET 2024款 增程 200 Plus,星纪元 ET 2024款 增程 200 Pro,星纪元 ET 2024款 增程 200 Pro+,星纪元 ET 2024款 纯电 625 Pro城市智驾版,星纪元 ET 2024款 纯电 760 Max,星纪元 ET 2024款 纯电 655 Ultra,星纪元 ET 2024款 增程 200 Max
车前雾灯,-,-,-,-,-,-,-,-,-
车内香氛装置,-,-,-,-,-,-,●,●,●
车内环境氛围灯,,,,,,,,,
车内摄像头数量,,,,,,,,,
车内化妆镜,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,,,,,,,,,
起步提醒,●,●,●,●,●,●,●,●,●
负离子发生器,-,-,-,-,-,-,●,●,●
语音连续识别,●,●,●,●,●,●,●,●,●
语音识别控制系统,,,,,,,,,
语音助手唤醒词,,,,,,,,,
语音分区域唤醒识别,,,,,,,,,
语音免唤醒词,●,●,●,●,●,●,●,●,●
记忆泊车,●,●,-,●,●,●,●,●,●
触摸式阅读灯,●,●,●,●,●,●,●,●,●
行车电脑显示屏幕,,,,,,,,,
行程(mm),-,-,92,92,92,-,-,-,92
行李厢12V电源接口,●,●,●,●,●,●,●,●,●
蓝牙/车载电话,●,●,●,●,●,●,●,●,●
芯片总算力,,,,,,,,,
自适应远近光,●,●,●,●,●,●,●,●,●
自动驾驶辅助路段,,,-,,,,,,
自动驻车,●,●,●,●,●,●,●,●,●
自动泊车入位,●,●,-,●,●,●,●,●,●
自动头灯,●,●,●,●,●,●,●,●,●
自动变道辅助,●,●,-,●,●,●,●,●,●
能量回收系统,●,●,●,●,●,●,●,●,●
能源类型_y,纯电动,纯电动,增程式,增程式,增程式,纯电动,纯电动,纯电动,增程式
能源类型_x,纯电动,纯电动,增程式,增程式,增程式,纯电动,纯电动,纯电动,增程式
胎压监测功能,,,,,,,,,
缸盖材料,-,-,铝合金,铝合金,铝合金,-,-,-,铝合金
缸径(mm),-,-,72,72,72,-,-,-,72
缸体材料,-,-,铝合金,铝合金,铝合金,-,-,-,铝合金
级别,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV
系统综合扭矩(N·m),-,-,324,324,324,-,-,-,324
系统综合功率(kW),-,-,195,195,195,-,-,-,195
系统综合功率(Ps),-,-,265,265,265,-,-,-,265
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排座椅调节,,,-,,,,,,
第二排座椅电动调节,●,●,-,●,●,●,●,●,●
第二排座椅功能,-,-,-,,,-,,,
空调温度控制方式,,,,,,,,,
空气质量监测,●,●,-,-,-,●,●,●,-
空气悬架,○,○,-,-,●,○,○,●,●
离去角(°),19,19,20,20,20,19,19,19,20
百公里耗电量(kWh/100km),13.5,15.6,17.3,17.3,17.3,13.5,12.7,15.9,17.3
疲劳驾驶提示,●,●,●,●,●,●,●,●,●
电芯品牌,,,,,,,,,
电能当量燃料消耗量(L/100km),1.53,1.76,1.96,1.96,1.96,1.53,1.44,1.8,1.96
电池预加热,●,●,●,●,●,●,●,●,●
电池能量(kWh),77,77,32,32,32,77,100,100,32
电池类型,,,,,,,,,
电池慢充电量范围(%)_y,5-100,5-100,5-100,5-100,5-100,5-100,5-100,5-100,5-100
电池慢充电量范围(%)_x,5-100,5-100,5-100,5-100,5-100,5-100,5-100,5-100,5-100
电池慢充时间(小时)_y,13.5,13.5,5.5,5.5,5.5,13.5,16.5,16.5,5.5
电池慢充时间(小时)_x,13.5,13.5,5.5,5.5,5.5,13.5,16.5,16.5,5.5
电池快充电量范围(%)_y,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
电池快充电量范围(%)_x,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
电池快充时间(小时)_y,0.15,0.15,0.47,0.47,0.47,0.15,0.25,0.25,0.47
电池快充时间(小时)_x,0.15,0.15,0.47,0.47,0.47,0.15,0.25,0.25,0.47
电池冷却方式,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷
电机类型,永磁/同步,前感应/异步 后永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电机布局,后置,前置+后置,后置,后置,后置,后置,后置,前置+后置,后置
电动机总马力(Ps),313,480,265,265,265,313,313,562,265
电动机总扭矩(N·m),425,663,324,324,324,425,425,691,324
电动机总功率(kW),230,353,195,195,195,230,230,413,195
电动机(Ps),313,480,265,265,265,313,313,562,265
电动座椅记忆功能,,,,,,,,,
电动吸合车门,-,-,-,-,-,-,-,,-
电动后备厢位置记忆,●,●,●,●,●,●,●,●,●
电动后备厢,●,●,●,●,●,●,●,●,●
环视摄像头像素,,,,,,,,,
环境感知摄像头像素,,,-,,,,,,
环保标准_y,-,-,国VI,国VI,国VI,-,-,-,国VI
环保标准_x,-,-,国VI,国VI,国VI,-,-,-,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●
热泵空调,●,●,-,-,-,●,●,●,-
激光雷达线数,-,-,-,-,-,,,,
激光雷达点云数量,-,-,-,-,-,,,,
激光雷达数量,-,-,-,-,-,,,,
激光雷达型号,-,-,-,-,-,,,,
激光雷达品牌,-,-,-,-,-,,,,
