Feature,34559,34915,34916,34917,44548,44549,44550,44551
高度(mm),1600,1600,1600,1600,1600,1600,1600,1600
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
面部识别,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-
长度(mm),4364,4364,4364,4364,4364,4364,4364,4364
长*宽*高(mm),4364*1800*1600,4364*1800*1600,4364*1800*1600,4364*1800*1600,4364*1800*1600,4364*1800*1600,4364*1800*1600,4364*1800*1600
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,●,○,○,○,●,●,●,●
道路交通标识识别,-,-,-,-,-,-,-,-
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
运动风格座椅,●,-,-,●,-,-,●,●
运动外观套件,-,-,-,-,-,-,-,-
轴距(mm),2670,2670,2670,2670,2670,2670,2670,2670
转向辅助灯,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-
车顶行李架,●,●,●,●,●,●,●,●
车门数(个),5,5,5,5,5,5,5,5
车道偏离预警系统,-,-,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-
车载电视,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-
车身结构_y,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车
车身结构_x,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●
车联网,●,-,-,-,-,-,-,●
车窗防夹手功能,●,●,●,●,●,●,●,●
车型名称,宝马2系旅行车 2018款 220i 豪华套装,宝马2系旅行车 2018款 218i 时尚型,宝马2系旅行车 2018款 218i 领先型,宝马2系旅行车 2018款 218i 尊享型运动套装,宝马2系旅行车 2019款 218i 时尚型,宝马2系旅行车 2019款 218i 领先型,宝马2系旅行车 2019款 218i 尊享型运动套装,宝马2系旅行车 2019款 220i 豪华套装
车内香氛装置,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,-,-,-,-,-,-,-,-
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
负离子发生器,-,-,-,-,-,-,-,-
触摸式阅读灯,-,-,-,-,-,-,-,-
被动行人保护,-,-,-,-,-,-,-,-
行程(mm),-,-,-,-,-,-,-,-
行李厢容积(L),468-1510,468-1510,468-1510,468-1510,468-1510,468-1510,468-1510,468-1510
行李厢12V电源接口,-,-,-,-,-,-,-,-
蓝牙/车载电话,●,●,●,●,●,●,●,●
自适应远近光,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-
自动泊车入位,●,○,○,○,○,○,○,●
自动头灯,●,●,●,●,●,●,●,●
膝部气囊,-,-,-,-,-,-,-,-
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
缺气保用轮胎,●,●,●,●,●,●,●,●
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸径(mm),-,-,-,-,-,-,-,-
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
级别,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车
简称,8挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,8挡手自一体
第二排独立座椅,-,-,-,-,-,-,-,-
空气悬架,-,-,-,-,-,-,-,-
疲劳驾驶提示,-,-,-,-,-,-,-,-
