Feature,50133,51100,51496,51497,51498,51499,57122,58683,58684,58685,61832,61869,61870,61871,61872,61873,61874,61875,63409,63410,63411
高度(mm),1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750
驾驶辅助影像,,,-,,-,-,,,,,,-,-,,-,,,,-,-,-
驾驶模式切换,,,,,,,,,,,,,,,,,,,,,
驻车制动类型,,,,,,,,,,,,,,,,,,,,,
驱动电机数,双电机,双电机,双电机,单电机,单电机,单电机,-,-,-,双电机,双电机,单电机,单电机,单电机,双电机,双电机,双电机,双电机,单电机,单电机,双电机
驱动方式,,,,,,,,,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
面部识别,●,-,-,-,-,-,●,-,-,-,-,-,-,-,-,-,-,●,-,-,-
陡坡缓降,-,-,-,-,-,-,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4965,4965,4965,4965,4965,4965,4965,4965,4965,4965,4965,4965,4965,4965,4965,4965,4965,4965,4965,4965,4965
长*宽*高(mm),4965*1930*1750,4965*1930*1750,4965*1930*1750,4965*1930*1750,4965*1930*1750,4965*1930*1750,4965*1930*1750,4965*1930*1750,4965*1930*1750,4965*1930*1750,4965*1930*1750,4965*1930*1750,4965*1930*1750,4965*1930*1750,4965*1930*1750,4965*1930*1750,4965*1930*1750,4965*1930*1750,4965*1930*1750,4965*1930*1750,4965*1930*1750
钥匙类型,,,,,,,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
远光灯光源,,,,,,,,,,,,,,,,,,,,,
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,涡轮增压,涡轮增压,涡轮增压,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
