Feature,51966,63012,65656,66733,66743,66744,66745,66746,66747,66748,66749,66750,66751,67266,71504,71685,71686,71687,71688,71689,72103
高度(mm),1515,1515,1515,1495,1495,1495,1495,1495,1515,1515,1515,1515,1515,1495,1515,1515,1515,1515,1515,1515,1515
驾驶辅助影像,,,,,,,,,,,,,,,,,,,,,-
驾驶模式切换,,,,,,,,,,,,,,,,,,,,,
驻车制动类型,,,,,,,,,,,,,,,,,,,,,
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,,,,,,,,,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4765,4765,4765,4765,4765,4765,4765,4765,4765,4765,4765,4765,4765,4765,4780,4780,4780,4795,4795,4795,4765
长*宽*高(mm),4765*1837*1515,4765*1837*1515,4765*1837*1515,4765*1837*1495,4765*1837*1495,4765*1837*1495,4765*1837*1495,4765*1837*1495,4765*1837*1515,4765*1837*1515,4765*1837*1515,4765*1837*1515,4765*1837*1515,4765*1837*1495,4780*1837*1515,4780*1837*1515,4780*1837*1515,4795*1837*1515,4795*1837*1515,4795*1837*1515,4765*1837*1515
钥匙类型,,,,,,,,,,,,,,,,,,,,,
配气机构,-,-,-,DOHC,DOHC,DOHC,DOHC,DOHC,-,-,-,-,-,DOHC,DOHC,DOHC,DOHC,-,-,-,-
遥控泊车,-,●,-,●,-,●,●,●,●,●,●,●,●,●,-,●,●,●,●,●,-
道路交通标识识别,-,-,-,●,-,-,-,-,-,-,-,-,●,-,-,●,●,●,●,●,-
远程启动功能,-,,,,,,,,,,,,,,,,,,,,-
远光灯光源,,,,,,,,,,,,,,,,,,,,,
进气形式,-,-,-,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,-,-,-,-,-,自然吸气,自然吸气,自然吸气,自然吸气,-,-,-,-
近光灯光源,,,,,,,,,,,,,,,,,,,,,
运动风格座椅,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-
辅助驾驶系统,-,-,-,,-,-,-,-,-,-,-,-,,-,-,,,,,,-
辅助驾驶等级,-,-,-,,-,-,-,-,-,-,-,-,,-,-,,,,,,-
轴距(mm),2718,2718,2718,2718,2718,2718,2718,2718,2718,2718,2718,2718,2718,2718,2718,2718,2718,2718,2718,2718,2718
轮圈材质,,,,,,,,,,,,,,,,,,,,,
车门数(个),,,,,,,,,,,,,,,,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,-,-,-,●,-,-,-,-,-,-,-,-,●,-,-,●,●,●,●,●,-
车道偏离预警系统,-,-,-,●,-,-,-,-,-,-,-,-,●,-,-,●,●,●,●,●,-
车道保持辅助系统,-,-,-,●,-,-,-,-,-,-,-,-,●,-,-,●,●,●,●,●,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-
车载智能系统,,,,,,,,,,,,,,,,,,,,,-
车载KTV,-,●,-,●,-,●,●,●,-,●,●,●,●,●,-,●,●,●,●,●,-
