Feature,52622,52623,58028,58029,58030,58031,58032,66163
高度(mm),1550,1550,1550,1550,1550,1550,1550,1550
驾驶辅助影像,,,,,,,,
驾驶模式切换,,,,,,,,
驻车制动类型,,,,,,,,
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-
长度(mm),3740,3740,3740,3740,3740,3740,3740,3740
长*宽*高(mm),3740*1655*1550,3740*1655*1550,3740*1655*1550,3740*1655*1550,3740*1655*1550,3740*1655*1550,3740*1655*1550,3740*1655*1550
钥匙类型,,,,,,,,
远程启动功能,,,,,,,,
远光灯光源,,,,,,,,
近光灯光源,,,,,,,,
轴距(mm),2415,2415,2415,2415,2415,2415,2415,2415
轮圈材质,,,,,,,,
车门数(个),,,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道偏离预警系统,-,-,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-
车身结构_y,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车
车身结构_x,5门4座两厢车,5门4座两厢车,5门4座两厢车,5门4座两厢车,5门4座两厢车,5门4座两厢车,5门4座两厢车,5门4座两厢车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-
车联网,●,●,●,●,●,●,●,●
车窗防夹手功能,-,-,-,-,-,-,-,-
车窗一键升降功能,-,-,-,-,-,-,-,-
车型名称,YOUNG光小新 2021款 S400 4座,YOUNG光小新 2021款 L400 4座,YOUNG光小新 2023款 302KM 原味版,YOUNG光小新 2023款 302KM 珍珠版,YOUNG光小新 2023款 302KM 奶盖版,YOUNG光小新 2023款 408KM 珍珠版,YOUNG光小新 2023款 408KM 奶盖版,YOUNG光小新 2021款 S300 4座
车前雾灯,-,-,-,-,-,-,-,-
车内环境氛围灯,-,-,-,-,-,-,-,-
车内化妆镜,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,-,-,-,-,-,-,-,-
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
语音识别控制系统,,,,,,,,
行车电脑显示屏幕,,,,,,,,
蓝牙/车载电话,●,●,●,●,●,●,●,●
自适应远近光,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-
能量回收系统,●,●,●,●,●,●,●,●
能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
胎压监测功能,,,,,,,,
缺气保用轮胎,-,-,-,-,-,-,-,-
级别,微型车,微型车,微型车,微型车,微型车,微型车,微型车,微型车
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排座椅调节,-,-,-,-,-,-,-,-
空调温度控制方式,,,,,,,,
离去角(°),29,29,29,29,29,29,29,29
百公里耗电量(kWh/100km),10.6,10.6,10.9,10.9,10.9,10.3,10.3,10.9
疲劳驾驶提示,-,-,-,-,-,-,-,-
电芯品牌,,,,,,,,
电能当量燃料消耗量(L/100km),1.20,1.20,-,-,-,-,-,1.23
电池预加热,●,●,●,●,●,●,●,●
电池能量密度(Wh/kg),160,160,137.99,137.99,137.99,160,160,-
电池能量(kWh),38.54,38.54,32.56,32.56,32.56,38.54,38.54,32.56
电池类型,,,,,,,,
电池慢充时间(小时)_y,10.5,10.5,8,8,8,8,8,8
电池慢充时间(小时)_x,10.5,10.5,8,8,8,8,8,8
电池快充电量范围(%)_y,80,80,80,80,80,80,80,80
电池快充电量范围(%)_x,80,80,80,80,80,80,80,80
电池快充时间(小时)_y,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5
电池快充时间(小时)_x,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5
电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电机布局,前置,前置,前置,前置,前置,前置,前置,前置
电动机总扭矩(N·m),125,125,125,125,125,125,125,125
电动机总功率(kW),35,35,35,35,35,35,35,35
电动机总功率(Ps),48,48,48,48,48,48,48,48
电动机(Ps),48,48,48,48,48,48,48,48
电动座椅记忆功能,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-
牵引力控制(ASR/TCS/TRC等),-,-,-,-,-,-,-,-
温度分区控制,-,-,-,-,-,-,-,-
液晶仪表尺寸,-,-,-,-,-,-,-,-
最高车速(km/h),100,100,100,100,100,100,100,100
最大满载质量(kg),1391,1391,1390,1390,1390,1401,1401,1390
最大扭矩(N·m),125,125,125,125,125,125,125,125
最大功率(kW),35,35,35,35,35,35,35,35
无钥匙进入功能,-,-,-,-,-,-,-,-
无钥匙启动系统,●,●,●,●,●,●,●,●
方向盘记忆,-,-,-,-,-,-,-,-
方向盘材质,,,,,,,,
方向盘换挡,-,-,-,-,-,-,-,-
