Feature,1014485,1014486,1014487,1014488,1014489,1015024,1015025,1015026,1015027,1018581,1018582,1018583,1018584,1018585,1018586,1018587,1018588,1018589,1018590,1018591,1018592,1018593,1018594,1018595,1018596
高度(mm),1865,1865,1865,1865,1865,1865,1865,1865,1865,1865,1865,1865,1865,1865,1865,1865,1865,1865,1865,1865,1865,1865,1865,1865,1865
驾驶辅助影像,,,,,,,,,,,,,,,,,,,,,,,,,
驾驶模式切换,-,-,-,-,-,-,-,-,-,,,,,,,,,-,-,-,-,-,-,-,-
驻车制动类型,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,
驱动方式,,,,,,,,,,,,,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-
限滑差速器/差速锁,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),5685,5685,5685,5685,5685,5685,5685,5685,5685,5685,5685,5685,5685,5685,5685,5685,5685,5685,5685,5685,5685,5685,5685,5685,5685
长*宽*高(mm),5685×1950×1865,5685×1950×1865,5685×1950×1865,5685×1950×1865,5685×1950×1865,5685×1950×1865,5685×1950×1865,5685×1950×1865,5685×1950×1865,5685*1950*1865,5685*1950*1865,5685*1950*1865,5685*1950*1865,5685*1950*1865,5685*1950*1865,5685*1950*1865,5685*1950*1865,5685*1950*1865,5685*1950*1865,5685*1950*1865,5685*1950*1865,5685*1950*1865,5685*1950*1865,5685*1950*1865,5685*1950*1865
钥匙类型,,,,,,,,,,,,,,,,,,,,,,,,,
配气机构,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
远光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,
轴距(mm),3405,3405,3405,3405,3405,3405,3405,3405,3405,3405,3405,3405,3405,3405,3405,3405,3405,3405,3405,3405,3405,3405,3405,3405,3405
轮圈材质,,,,,,,,,,,,,,,,,,,,,,,,,
车门数(个),,,,,,,,,,,,,,,,,,,,,,,,,
车门开启方式,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车道偏离预警系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车身结构_x,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车联网,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗一键升降功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,黄海威龙 2023款 2.5T柴油手动四驱智享型JE4D25Q6A,黄海威龙 2023款 2.5T柴油手动两驱智享型JE4D25Q6A,黄海威龙 2023款 2.4T汽油手动四驱智享型4K22D4T,黄海威龙 2023款 2.4T汽油手动两驱智享型4K22D4T,黄海威龙 2023款 2.5T柴油手动四驱运动型JE4D25Q6A,-,-,-,-,黄海威龙 2024款 2.4T汽油自动两驱智享型,黄海威龙 2024款 2.4T汽油自动两驱智尊型,黄海威龙 2024款 2.4T汽油自动四驱智享型,黄海威龙 2024款 2.4T汽油自动四驱智尊型,黄海威龙 2024款 2.5T柴油自动两驱智享型,黄海威龙 2024款 2.5T柴油自动两驱智尊型,黄海威龙 2024款 2.5T柴油自动四驱智享型,黄海威龙 2024款 2.5T柴油自动四驱智尊型,黄海威龙 2024款 2.4T汽油手动两驱智享型,黄海威龙 2024款  2.4T汽油手动两驱智尊型,黄海威龙 2024款 2.4T汽油手动四驱智享型,黄海威龙 2024款 2.4T汽油手动四驱智尊型,黄海威龙 2024款 2.5T柴油手动两驱智享型,黄海威龙 2024款 2.5T柴油手动两驱智尊型,黄海威龙 2024款 2.5T柴油手动四驱智享型,黄海威龙 2024款 2.5T柴油手动四驱智尊型
车前雾灯,,,,,,,,,,,,,,,,,,,,,,,,,
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,,,,,,,,,,,,,,,,,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车侧脚踏板,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式
