Feature,1009342,1009343,1009344,1009345,1009346,1009347,1009348,1009349,1009350,1009351,1009352,1009353,1009354,1009355,1009356,1009357,1009690,1009691,1009692,1009693,1009694,1009695,1009696,1009697,1010738,1010739,1010750,1010751,1011632,1011633,1011814,1011815,1011816,1011817,1011818,1012154,1012155,1012156,1012681,1012682,1014166,1014167
高度(mm),1864,1864,1864,1864,1864,1864,1864,1864,1864,1864,1864,1864,1864,1864,1864,1864,1864,1864,1864,1864,1864,1864,1864,1864,1864,1864,1864,1864,1864,1864,1864,1864,1864,1864,1864,1864,1864,1864,1864,1864,1864,1864
驾驶辅助影像,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,-,-
驱动方式,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置后驱,前置四驱,前置后驱,前置四驱,前置后驱,前置四驱,前置四驱,前置后驱,前置四驱,前置后驱,前置四驱,前置后驱,前置后驱,前置四驱,前置后驱,前置四驱,前置四驱
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
限滑差速器/差速锁,,,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),5330,5730,5330,5730,5330,5730,5330,5730,5330,5730,5330,5730,5330,5730,5330,5730,5219,5619,5219,5619,5219,5619,5219,5619,5330,5330,5330,5330,5330,5330,5730,5330,5330,5730,5730,5330,5730,5330,5730,5730,5730,5219
长*宽*高(mm),5330×1870×1864,5730×1870×1864,5330×1870×1864,5730×1870×1864,5330×1870×1864,5730×1870×1864,5330×1870×1864,5730×1870×1864,5330×1870×1864,5730×1870×1864,5330×1870×1864,5730×1870×1864,5330×1870×1864,5730×1870×1864,5330×1870×1864,5730×1870×1864,5219×1870×1864,5619×1870×1864,5219×1870×1864,5619×1870×1864,5219×1870×1864,5619×1870×1864,5219×1870×1864,5619×1870×1864,5330×1870×1864,5330×1870×1864,5330×1870×1864,5330×1870×1864,5330×1870×1864,5330×1870×1864,5730×1870×1864,5330×1870×1864,5330×1870×1864,5730×1870×1864,5730×1870×1864,5330×1870×1864,5730×1870×1864,5330×1870×1864,5730×1870×1864,5730×1870×1864,5730×1870×1864,5219×1870×1864
钥匙类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
远光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
轴距(mm),3100,3500,3100,3500,3100,3500,3100,3500,3100,3500,3100,3500,3100,3500,3100,3500,3100,3500,3100,3500,3100,3500,3100,3500,3100,3100,3100,3100,3100,3100,3500,3100,3100,3500,3500,3100,3500,3100,3500,3500,3500,3100
轮圈材质,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
车门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
车身结构_y,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车身结构_x,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
