Feature,66136,66137,68426,68874,71878,71879,71880,71881,72133
魔毯智能悬架,●,-,-,●,-,-,-,●,●
高度(mm),1920,1940,1940,1920,1940,1920,1920,1920,1920
驾驶辅助影像,,,,,,,,,
驾驶模式切换,,,,,,,,,
驻车制动类型,,,,,,,,,
驱动电机数,双电机,单电机,单电机,双电机,单电机,双电机,单电机,双电机,双电机
驱动方式,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-
面部识别,●,●,●,●,●,●,●,●,●
隐藏电动门把手,●,●,●,●,●,●,●,●,●
陡坡缓降,●,●,●,●,●,●,●,●,●
防侧翻系统,●,●,●,●,●,●,●,●,●
长度(mm),5316,5316,5316,5316,5316,5316,5316,5316,5316
长*宽*高(mm),5316*1998*1920,5316*1998*1940,5316*1998*1940,5316*1998*1920,5316*1998*1940,5316*1998*1920,5316*1998*1920,5316*1998*1920,5316*1998*1920
钥匙类型,,,,,,,,,
遥控泊车,●,●,●,●,●,●,●,●,●
道路救援呼叫,●,●,●,●,●,●,●,●,●
道路交通标识识别,●,●,●,●,●,●,●,●,●
透明底盘/540度影像,●,●,●,●,●,●,●,●,●
远程启动功能,,,,,,,,,
远光灯光源,,,,,,,,,
近光灯光源,,,,,,,,,
辅助驾驶芯片,,,,,,,,,
辅助驾驶系统,,,,,,,,,
辅助驾驶等级,,,,,,,,,
辅助泊车入位,●,●,●,●,●,●,●,●,●
辅助变道,●,●,●,●,●,●,●,●,●
轴距(mm),3185,3185,3185,3185,3185,3185,3185,3185,3185
轮圈材质,,,,,,,,,
转向辅助灯,●,●,●,●,●,●,●,●,●
车门数(个),,,,,,,,,
车门开启方式,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门
车道居中保持,●,●,●,●,●,●,●,●,●
车道偏离预警系统,●,●,●,●,●,●,●,●,●
车道保持辅助系统,●,●,●,●,●,●,●,●,●
车载空气净化器,●,●,●,●,●,●,●,●,●
车载智能系统,,,,,,,,,
车载冰箱,●,-,-,●,-,●,●,●,●
车身结构_y,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV
车身结构_x,5门6座MPV,5门6座MPV,5门6座MPV,5门8座MPV,5门6座MPV,5门6座MPV,5门6座MPV,5门6座MPV,5门6座MPV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,
车机系统内存(GB),,,,,,,,,
车机智能芯片,,,,,,,,,
车型名称,翼真L380 2024款 140度 6座 四驱Ultra,翼真L380 2024款 116度 6座 两驱Pro,翼真L380 2024款 100度 6座 两驱Air,翼真L380 2024款 140度 8座 四驱Max,翼真L380 2025款 570km卓越版,翼真L380 2025款 650km旗舰版四驱,翼真L380 2025款 825km非凡版,翼真L380 2025款 805km旗舰版四驱,翼真L380 2025款 805km典藏版四驱
车前雾灯,-,-,-,-,-,-,-,-,-
车内香氛装置,●,-,-,●,-,●,-,●,●
车内生物监测系统,●,●,●,●,-,●,●,●,●
车内环境氛围灯,,,,,,,,,
车内摄像头数量,,,,,,,,,
车内化妆镜,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●
车侧脚踏板,,-,-,,,,,,
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,,,,,,,,,
负离子发生器,●,●,●,●,●,●,●,●,●
语音连续识别,●,●,●,●,●,●,●,●,●
语音识别控制系统,,,,,,,,,
语音助手唤醒词,,,,,,,,,
语音分区域唤醒识别,,,,,,,,,
触摸式阅读灯,●,●,●,●,●,●,●,●,●
行车电脑显示屏幕,,,,,,,,,
行李厢12V电源接口,●,●,●,●,●,●,●,●,●
蓝牙/车载电话,●,●,●,●,●,●,●,●,●
