Feature,55902,55903,55904,55909,55910,55911,61502,61503,61504,61507,61508,61510,61511,61512,61513,61586,61587,61590,61591,61594,61595,61596,61665,61666,61667,61668,64912
高度(mm),1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680
驾驶辅助影像,-,,,,,,-,,,,,,,,,,,,,,,,,,,,
驾驶模式切换,,,,,,,,,,,,,,,,,,,,,,,,,,,
驻车制动类型,,,,,,,,,,,,,,,,,,,,,,,,,,,
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,,,,,,,,,,,,,,,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
面部识别,-,-,-,-,-,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4450,4450,4450,4450,4450,4450,4450,4450,4450,4450,4450,4592,4592,4592,4592,4450,4450,4450,4450,4450,4450,4450,4450,4450,4450,4450,4450
长*宽*高(mm),4450*1840*1680,4450*1840*1680,4450*1840*1680,4450*1840*1680,4450*1840*1680,4450*1840*1680,4450*1840*1680,4450*1840*1680,4450*1840*1680,4450*1840*1680,4450*1840*1680,4592*1840*1680,4592*1840*1680,4592*1840*1680,4592*1840*1680,4450*1840*1680,4450*1840*1680,4450*1840*1680,4450*1840*1680,4450*1840*1680,4450*1840*1680,4450*1840*1680,4450*1840*1680,4450*1840*1680,4450*1840*1680,4450*1840*1680,4450*1840*1680
钥匙类型,,,,,,,,,,,,,,,,,,,,,,,,,,,
道路救援呼叫,-,-,-,-,-,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,-,-
远光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,
近光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,
轴距(mm),2850,2850,2850,2850,2850,2850,2850,2850,2850,2850,2850,2850,2850,2850,2850,2850,2850,2850,2850,2850,2850,2850,2850,2850,2850,2850,2850
轮圈材质,,,,,,,,,,,,,,,,,,,,,,,,,,,
车门数(个),,,,,,,,,,,,,,,,,,,,,,,,,,,
车门开启方式,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门
车道偏离预警系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载智能系统,-,,,,,,-,,,,,,,,,,,,,,,,,,,,
车身结构_y,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV
车身结构_x,4门5座MPV,4门5座MPV,4门5座MPV,4门5座MPV,4门5座MPV,4门5座MPV,4门5座MPV,4门5座MPV,4门5座MPV,5门5座MPV,5门5座MPV,4门5座MPV,4门5座MPV,5门5座MPV,5门5座MPV,4门5座MPV,4门5座MPV,4门5座MPV,4门5座MPV,4门5座MPV,4门5座MPV,4门5座MPV,4门5座MPV,4门5座MPV,4门5座MPV,4门5座MPV,4门5座MPV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车联网,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,,,,,,,,,,,,,,,,,,,
