Feature,70570,71303,71304,72003,72004
高度(mm),1575,1575,1575,1575,1575
驾驶辅助影像,,,,,
驾驶模式切换,,,,,
驻车制动类型,,,,,
驱动电机数,单电机,单电机,单电机,单电机,单电机
驱动方式,,,,,
风阻系数(Cd),-,-,-,-,-
陡坡缓降,-,-,-,-,-
长度(mm),4270,4270,4270,4270,4270
长*宽*高(mm),4270*1850*1575,4270*1850*1575,4270*1850*1575,4270*1850*1575,4270*1850*1575
钥匙类型,,,,,
道路救援呼叫,●,●,●,●,●
道路交通标识识别,●,-,-,-,-
透明底盘/540度影像,●,-,●,-,-
远光灯光源,,,,,
近光灯光源,,,,,
辅助驾驶系统,,-,-,-,-
辅助驾驶等级,,-,-,-,-
轴距(mm),2750,2750,2750,2750,2750
轮圈材质,,,,,
车门数(个),,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门
车道偏离预警系统,●,-,-,-,-
车道保持辅助系统,●,-,-,-,-
车载空气净化器,-,-,-,-,-
车身结构_y,两厢车,两厢车,两厢车,两厢车,两厢车
车身结构_x,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●
车联网,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●
车窗一键升降功能,,,,,
车型名称,AION UT 2025款 420智尊版,AION UT 2025款 420智享版,AION UT 2025款 420智豪版,AION UT 2025款 330星耀版,AION UT 2025款 330智享版
车前雾灯,-,-,-,-,-
车内环境氛围灯,,-,-,-,-
车内化妆镜,,,,,
车内中控锁,●,●,●,●,●
车内PM2.5过滤装置,●,-,●,-,-
车体结构,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,,,,-,
语音连续识别,●,●,●,●,●
语音识别控制系统,,,,,
语音助手唤醒词,,,,,
语音分区域唤醒识别,,,,,
触摸式阅读灯,●,●,●,●,●
行车电脑显示屏幕,,,,,
蓝牙/车载电话,●,●,●,●,●
自适应远近光,●,-,-,-,-
自动驻车,●,●,●,-,●
自动头灯,●,●,●,●,●
能量回收系统,●,●,●,●,●
能源类型,纯电动,纯电动,纯电动,纯电动,纯电动
胎压监测功能,,,,,
级别,小型车,小型车,小型车,小型车,小型车
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排座椅调节,,,,,
空调温度控制方式,,,,,
离去角(°),28,28,28,28,28
百公里耗电量(kWh/100km),11.4,11.4,11.4,11.4,11.4
疲劳驾驶提示,-,-,-,-,-
电芯品牌,,,,,
电能当量燃料消耗量(L/100km),1.32,1.32,1.32,1.32,1.32
电池预加热,●,●,●,●,●
电池能量(kWh),44.257/44.12/44.133,44.257/44.12/44.133,44.257/44.12/44.133,34.868,34.868
电池类型,,,,,
电池特有技术,弹匣电池,弹匣电池,弹匣电池,弹匣电池,弹匣电池
电池快充电量范围(%)_y,30-80,30-80,30-80,30-80,30-80
电池快充电量范围(%)_x,30-80,30-80,30-80,30-80,30-80
电池快充时间(小时)_y,0.4,0.4,0.4,0.4,0.4
电池快充时间(小时)_x,0.4,0.4,0.4,0.4,0.4
电池冷却方式,液冷,液冷,液冷,液冷,液冷
电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电机布局,前置,前置,前置,前置,前置
电动机总马力(Ps),136,136,136,136,136
电动机总功率(kW),100,100,100,100,100
电动机(Ps),136,136,136,136,136
电动座椅记忆功能,-,-,-,-,-
电动后备厢,●,-,-,-,-
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●
热泵空调,●,●,●,●,●
温度分区控制,-,-,-,-,-
液晶仪表尺寸,,,,,
最高车速(km/h),150,150,150,150,150
最大满载质量(kg),2000,2000,2000,2000,2000
最大扭矩(N·m),-,-,-,-,-
最大功率(kW),100,100,100,100,100
无钥匙进入功能,-,-,-,-,-
无钥匙启动系统,-,-,-,-,-
方向盘记忆,-,-,-,-,-
方向盘材质,,,,,
方向盘换挡,-,-,-,-,-
方向盘加热,-,-,-,-,-
方向盘位置调节,,,,,
整车质保,,,,,
整备质量(kg),1540,1540,1540,1510,1510
摄像头数量,,,,,
接近角(°),17,17,17,17,17
换挡形式,,,,,
挡位个数,1,1,1,1,1
扬声器数量,,,,,
扬声器品牌名称,-,-,-,-,-
手机无线充电功能,-,-,-,-,-
手机互联/映射,,,,-,
手机APP远程功能,,,,,
慢充接口位置,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧
感应雨刷功能,,,,-,
快充接口位置,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧
快充功能,支持,支持,支持,支持,支持
座椅材质,,,,,
座位数(个),,,,,
应用商店,●,●,●,●,●
并线辅助,●,-,-,-,-
巡航系统,,,,-,
导航路况信息显示,●,●,●,●,●
对外放电,○,○,○,-,○
宽度(mm),1850,1850,1850,1850,1850
官方0-100km/h加速(s),-,-,-,-,-
