Feature,46380,46381,46382,54821,54822,54823,55657,58554,58555,58556,58557,60139,60140,60144,60145,60147,60148,60149,60150,60151,60152
高度(mm),1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1505,1505,1505,1505,1505,1505,1505,1505,1494,1494
驾驶辅助影像,-,-,,-,,-,-,,-,,-,-,,-,,-,,-,,-,
驾驶模式切换,,,,,,,,,,,,,,,,,,,,,
驻车制动类型,,,,,,,,,,,,,,,,,,,,,
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,,,,,,,,,,,,,,,,,,,,,
风阻系数(Cd),0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.266,0.266,0.266,0.266,0.266,0.266,0.266,0.266,0.263,0.263
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4764,4764,4764,4764,4764,4764,4764,4764,4764,4764,4764,4774,4774,4774,4774,4774,4774,4774,4774,4774,4774
长*宽*高(mm),4764*1803*1494,4764*1803*1494,4764*1803*1494,4764*1803*1494,4764*1803*1494,4764*1803*1494,4764*1803*1494,4764*1803*1494,4764*1803*1494,4764*1803*1494,4764*1803*1494,4774*1803*1505,4774*1803*1505,4774*1803*1505,4774*1803*1505,4774*1803*1505,4774*1803*1505,4774*1803*1505,4774*1803*1505,4774*1803*1494,4774*1803*1494
钥匙类型,,,,,,,,,,,,,,,,,,,,,
道路救援呼叫,-,-,●,-,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
远程启动功能,,,,,,,,,-,,-,,,,,,,,,,
远光灯光源,,,,,,,,,,,,,,,,,,,,,
近光灯光源,,,,,,,,,,,,,,,,,,,,,
轴距(mm),2701,2701,2701,2701,2701,2701,2701,2701,2701,2701,2701,2701,2701,2701,2701,2701,2701,2701,2701,2701,2701
轮圈材质,,,,,,,,,,,,,,,,,,,,,
车门数(个),,,,,,,,,,,,,,,,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道偏离预警系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,●,-,●,-,-,●,-,●,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身结构_x,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车联网,-,-,●,-,●,-,-,●,-,●,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,,,,,,,,,,,,,
车型名称,启辰D60EV 2020款 标准续航舒适版,启辰D60EV 2020款 标准续航智行版,启辰D60EV 2020款 标准续航智享版,启辰D60EV 2022款 标准续航舒适版,启辰D60EV 2022款 标准续航智享版,启辰D60EV 2022款 标准续航智行版,启辰D60EV 2022款 换电版,启辰D60EV 2022款 标准续航智行版-网约车大屏版,启辰D60EV 2022款 标准续航T3,启辰D60EV 2020款 标准续航智行版-网约车大屏版,启辰D60EV 2020款 标准续航T3,启辰D60EV 2023款 PLUS 舒适版SI型,启辰D60EV 2023款 PLUS 智行版SI型,启辰D60EV 2023款 PLUS 舒适版SI型+,启辰D60EV 2023款 PLUS 智行版SI型+,启辰D60EV 2023款 PLUS 舒适版RJ型,启辰D60EV 2023款 PLUS 智行版RJ型,启辰D60EV 2023款  PLUS 舒适版RI型,启辰D60EV 2023款 PLUS 智行版RI型,启辰D60EV 2023款 PLUS 舒适版CI型,启辰D60EV 2023款 PLUS 智行版CI型
车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,,,,,,,,,,,,,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
语音识别控制系统,-,-,,-,,-,-,,-,,-,-,-,-,-,-,-,-,-,-,-
行车电脑显示屏幕,,,,,,,,,,,,,,,,,,,,,
蓝牙/车载电话,-,-,●,-,●,-,-,●,-,●,-,-,●,-,●,-,●,-,●,-,●
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自动头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
能量回收系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
胎压监测功能,,,,,,,,,,,,,,,,,,,,,
缺气保用轮胎,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
级别,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排座椅调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空载最小离地间隙(mm),140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140
空调温度控制方式,,,,,,,,,,,,,,,,,,,,,
离去角(°),16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
百公里耗电量(kWh/100km),12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.5,12.5,12.5,12.5,12.5,12.5,12.2,12.2
疲劳驾驶提示,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电芯品牌,,,,,,,,,,,,,,,,,,,,,
电池预加热,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
电池能量密度(Wh/kg),151,151,151,151,151,151,160,151,151,151,151,-,-,-,-,-,-,-,-,-,-
电池能量(kWh),50,50,50,50,50,50,51,50,50,50,50,47,47,47,47,48,48,48,48,50,50
电池类型,,,,,,,,,,,,,,,,,,,,,
电池慢充时间(小时)_y,6,6,6,5.8,5.8,5.8,-,5.8,5.8,6,6,6,6,6,6,6,6,6,6,6,6
电池慢充时间(小时)_x,6,6,6,5.8,5.8,5.8,-,5.8,5.8,6,6,6,6,6,6,6,6,6,6,6,6
电池快充电量范围(%)_y,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
