Feature,1007093,1007475,1007476,1007477
高度(mm),1980,2066,1980,2066
驱动方式,中置后驱,中置后驱,中置后驱,中置后驱
陡坡缓降,-,-,-,-
长度(mm),4490,4490,4490,4490
长*宽*高(mm),4490×1680×1980,4490×1680×2066,4490×1680×1980,4490×1680×2066
配气机构,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,-,-,-,-
进气形式,自然吸气,自然吸气,自然吸气,自然吸气
运动风格座椅,-,-,-,-
运动外观套件,-,-,-,-
轴距(mm),2330,2330,2330,2330
转向辅助灯,-,-,-,-
转向头灯,-,-,-,-
车顶行李架,-,-,-,-
车门数(个),4,4,4,4
车载电视,-,-,-,-
车载冰箱,-,-,-,-
车身结构_y,货车,货车,客车,客车
车身结构_x,货车,货车,客车,客车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-
车窗防夹手功能,-,-,-,-
车型名称,新时代海狮 2019款 2.0L汽油厢货版龙运GL600低顶XC4G20,新时代海狮 2019款 2.0L汽油厢货版龙运GL600高顶XC4G20,新时代海狮 2019款 2.0L汽油版低顶XC4G20,新时代海狮 2019款 2.0L汽油版高顶XC4G20
车内中控锁,○,○,○,○
车体结构,承载式,承载式,承载式,承载式
货箱尺寸(mm),-,-,-,-
行程(mm),86,86,86,86
蓝牙/车载电话,-,-,-,-
自适应远近光,-,-,-,-
自动驻车,-,-,-,-
自动头灯,-,-,-,-
膝部气囊,-,-,-,-
能源类型,汽油,汽油,汽油,汽油
缺气保用轮胎,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金
缸径(mm),86,86,86,86
缸体材料,未知,未知,未知,未知
级别,轻客,轻客,轻客,轻客
简称,5挡手动,5挡手动,5挡手动,5挡手动
空气悬架,-,-,-,-
电动后备厢,-,-,-,-
环保标准_y,国V,国V,国V,国V
环保标准_x,国V,国V,国V,国V
牵引力控制(ASR/TCS/TRC等),-,-,-,-
燃油标号,92号,92号,92号,92号
燃料形式,汽油,汽油,汽油,汽油
温度分区控制,-,-,-,-
油箱容积(L),70,70,70,70
气缸数(个),4,4,4,4
气缸排列形式,L,L,L,L
每缸气门数(个),2,2,2,2
最高车速(km/h),130,-,-,-
最小离地间隙(mm),155,155,155,155
最大马力(Ps),102,102,102,102
最大载重质量(kg),-,-,-,-
最大扭矩转速(rpm),2600-3200,2600-3200,2600-3200,2600-3200
最大扭矩(N·m)_y,178,178,178,178
最大扭矩(N·m)_x,178,178,178,178
最大功率转速(rpm),4200-4600,4200-4600,4200-4600,4200-4600
最大功率(kW)_y,75,75,75,75
最大功率(kW)_x,75,75,75,75
无钥匙启动系统,-,-,-,-
方向盘记忆,-,-,-,-
方向盘换挡,-,-,-,-
方向盘加热,-,-,-,-
整车质保,两年或6万公里,-,-,-
整备质量(kg),1550,-,-,-
排量(mL),2020,2020,2020,2020
挡位个数,5,5,5,5
感应后备厢,-,-,-,-
座位数(个),2/4/5,2/4/5,4-10,4-10
并线辅助,-,-,-,-
工信部综合油耗(L/100km),8.6,-,-,-
宽度(mm),1680,1680,1680,1680
大灯高度可调,●,●,●,●
大灯清洗装置,-,-,-,-
多功能方向盘,-,-,-,-
后风挡遮阳帘,-,-,-,-
后雨刷,-,-,○,○
后轮距(mm),1430,1430,1430,1430
后轮胎规格,195/70 R15,195/70 R15,195/70 R15,195/70 R15
后排车门开启方式,侧滑门,侧滑门,侧滑门,侧滑门
后排独立空调,-,-,○,○
后排杯架,-,-,-,-
后排座椅电动调节,-,-,-,-
后排侧隐私玻璃,-,-,-,-
后悬架类型,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架
后座出风口,-,-,○,○
后制动器类型,鼓式,鼓式,鼓式,鼓式
可变转向比,-,-,-,-
变速箱类型,手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT)
