Feature,58692,62649,62650,64071
高度(mm),1823,1823,1823,1823
驾驶辅助影像,,,,
驾驶模式切换,,,,
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车
驱动电机数,单电机,单电机,单电机,单电机
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱
首任车主质保政策,-,-,-,-
面部识别,●,-,●,-
陡坡缓降,●,●,●,●
长度(mm),5212,5193,5193,5212
长*宽*高(mm),5212*1893*1823,5193*1893*1823,5193*1893*1823,5212*1893*1823
钥匙类型,,,,
配气机构,-,-,-,-
遥控泊车,●,-,-,-
道路救援呼叫,●,●,●,●
道路交通标识识别,●,●,●,●
透明底盘/540度影像,●,●,●,●
远程启动功能,,,,
远光灯光源,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,
辅助驾驶系统,,,,
辅助驾驶等级,,,,
轴距(mm),3070,3070,3070,3070
轮圈材质,,,,
车门数(个),5,5,5,5
车门开启方式,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门
车道居中保持,●,●,●,●
车道偏离预警系统,●,●,●,●
车道保持辅助系统,●,●,●,●
车载空气净化器,●,●,●,●
车载智能系统,,,,
车身结构_y,MPV,MPV,MPV,MPV
车身结构_x,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●
车联网,●,●,●,●
车窗防夹手功能,●,●,●,●
车窗一键升降功能,,,,
车机智能芯片,,,,
车型名称,传祺E9 2023款 E9 宗师,传祺E9 2023款 E9 PRO,传祺E9 2023款 E9 MAX,传祺E9 2023款 E9 冠军版
车前雾灯,-,-,-,-
车内香氛装置,●,-,●,-
车内生物监测系统,●,-,●,-
车内环境氛围灯,,,,
车内化妆镜,,,,
车内中控锁,●,●,●,●
车内PM2.5过滤装置,●,●,●,●
车体结构,承载式,承载式,承载式,承载式
负离子发生器,●,●,●,●
语音连续识别,●,●,●,●
语音识别控制系统,,,,
语音分区域唤醒识别,,,,
语音免唤醒词,●,●,●,●
记忆泊车,●,-,-,-
行车电脑显示屏幕,,,,
行李厢12V电源接口,-,●,-,●
蓝牙/车载电话,●,●,●,●
自适应远近光,●,●,●,●
自动驻车,●,●,●,●
自动泊车入位,●,-,-,-
自动头灯,●,●,●,●
能量回收系统,●,●,●,●
能源类型,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力
胎压监测功能,,,,
缺气保用轮胎,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金
缸体材料,铸铁,铸铁,铸铁,铸铁
级别,中大型MPV,中大型MPV,中大型MPV,中大型MPV
系统综合扭矩(N·m),630,630,630,630
系统综合功率(kW),274,274,274,274
系统综合功率(Ps),373,373,373,373
简称,2挡DHT,2挡DHT,2挡DHT,2挡DHT
第二排独立座椅,●,●,●,●
第二排座椅调节,,,,
第二排座椅电动调节,●,●,●,●
第二排座椅功能,,,,
第三排座椅调节,,,,
空调温度控制方式,,,,
离去角(°),16,17,17,17
百公里耗电量(kWh/100km),21,21,21,21
疲劳驾驶提示,●,-,●,-
电芯品牌,江苏正力,江苏正力,江苏正力,江苏正力
电磁感应悬架,●,-,●,-
电池预加热,●,●,●,●
电池能量(kWh),25.57,25.57,25.57,25.57
电池组质保,-,-,-,-
电池类型,三元锂电池,三元锂电池,三元锂电池,三元锂电池
电池冷却方式,液冷,液冷,液冷,液冷
电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电机布局,前置,前置,前置,前置
电动机总扭矩(N·m),300,300,300,300
电动机总功率(kW),134,134,134,134
电动机总功率(Ps),182,182,182,182
电动机(Ps),182,182,182,182
电动座椅记忆功能,,,,
电动后备厢位置记忆,●,●,●,●
电动后备厢,●,●,●,●
环保标准_y,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●
燃油标号,92号,92号,92号,92号
燃料形式,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力
温度分区控制,●,●,●,●
液晶仪表尺寸,,,,
油箱容积(L),56,56,56,56
气缸数(个),4,4,4,4
气缸排列形式,L,L,L,L
每缸气门数(个),4,4,4,4
最高车速(km/h),175,175,175,175
最大马力(Ps),190,190,190,190
最大满载质量(kg),3000,3000,3000,3000
