Feature,64633,64634,64635,64636,64640,64641,67207,67208,67209,69336,69614,69735
高度(mm),1759,1759,1759,1759,1759,1759,1759,1759,1759,1759,1759,1759
驾驶辅助影像,,,,,,,,,,,,
驾驶模式切换,,,,,,,,,,,,
驻车制动类型,,,,,,,,,,,,
驱动方式,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,●,●,●,●,●,●,●,●,●,●,●,●
防侧翻系统,-,-,-,-,-,-,●,●,●,●,●,●
长度(mm),5080,5080,5080,5080,5080,5080,5080,5080,5080,5080,5080,5080
长*宽*高(mm),5080*2022*1759,5080*2022*1759,5080*2022*1759,5080*2022*1759,5080*2022*1759,5080*2022*1759,5080*2022*1759,5080*2022*1759,5080*2022*1759,5080*2022*1759,5080*2022*1759,5080*2022*1759
钥匙类型,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,-,-,-,-,-,-,●,●,●,●,●,●
道路交通标识识别,●,●,●,●,●,●,●,●,●,●,●,●
远程启动功能,,,,,,,,,,,,
远光灯光源,,,,,,,,,,,,
进气形式,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压
近光灯光源,,,,,,,,,,,,
辅助驾驶系统,,,,,,,,,,,,
辅助驾驶等级,,,,,,,,,,,,
轴距(mm),3025,3025,3025,3025,3025,3025,3025,3025,3025,3025,3025,3025
轮圈材质,,,,,,,,,,,,
转向辅助灯,-,-,●,●,-,-,●,●,●,-,●,-
转向头灯,-,-,●,●,-,-,●,●,●,-,●,-
车顶行李架,●,●,●,●,●,●,●,●,●,●,●,●
车门数(个),,,,,,,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,-,-,●,●,-,-,●,●,●,●,●,●
车道偏离预警系统,●,●,●,●,●,●,●,●,●,●,●,●
车道保持辅助系统,●,●,●,●,●,●,●,●,●,●,●,●
车载空气净化器,●,●,●,●,●,●,●,●,●,●,●,●
车载智能系统,,,,,,,,,,,,
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门6座SUV,5门6座SUV,5门6座SUV,5门6座SUV,5门7座SUV,5门7座SUV,5门6座SUV,5门6座SUV,5门7座SUV,5门6座SUV,5门6座SUV,5门7座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,,,,
车机智能芯片,-,-,-,-,-,-,,,,,,
车型名称,飞行家 2023款 3.0T V6 四驱尊享巡航版 六座,飞行家 2023款 3.0T V6 四驱尊雅巡航版 六座,飞行家 2023款 3.0T V6 四驱行政巡航版 六座,飞行家 2023款 3.0T V6 四驱总统版 六座,飞行家 2023款 3.0T V6 四驱尊享巡航版 七座,飞行家 2023款 3.0T V6 四驱尊雅巡航版 七座,飞行家 2024款 3.0T V6 四驱总统版 六座,飞行家 2024款 3.0T V6 四驱高雅版 六座,飞行家 2024款 3.0T V6 四驱高雅版 七座,飞行家 2024款 3.0T V6 四驱典雅版 六座,飞行家 2024款 3.0T V6 四驱奢雅版 六座,飞行家 2024款 3.0T V6 四驱典雅版 七座
车前雾灯,,,,,,,-,-,-,-,-,-
车内香氛装置,-,-,●,●,-,-,●,-,-,-,●,-
车内环境氛围灯,-,,,,-,,,,,,,
车内摄像头数量,-,-,-,-,-,-,,,,,,
车内化妆镜,,,,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,,,,,,,,,,,,
语音识别控制系统,,,,,,,,,,,,
语音助手唤醒词,-,-,-,-,-,-,,,,,,
语音分区域唤醒识别,,,,,,,,,,,,
触摸式阅读灯,●,●,●,●,●,●,●,●,●,●,●,●
行车电脑显示屏幕,,,,,,,,,,,,
行李厢12V电源接口,●,●,●,●,●,●,●,●,●,●,●,●
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,●,●,●,●,●,●,●,●,●,●,●,●
自动驻车,●,●,●,●,●,●,●,●,●,●,●,●
自动泊车入位,-,-,●,●,-,-,-,-,-,-,-,-
自动头灯,●,●,●,●,●,●,●,●,●,●,●,●
自动变道辅助,-,-,-,-,-,-,●,●,●,●,●,●
膝部气囊,,,,,,,,,,,,
能源类型_y,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
能源类型_x,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
胎压监测功能,,,,,,,,,,,,
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
级别,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV
简称,10挡手自一体,10挡手自一体,10挡手自一体,10挡手自一体,10挡手自一体,10挡手自一体,10挡手自一体,10挡手自一体,10挡手自一体,10挡手自一体,10挡手自一体,10挡手自一体
第二排独立座椅,●,●,●,●,●,●,●,●,-,●,●,-
第二排座椅调节,,,,,,,,,,,,
第二排座椅电动调节,●,●,●,●,●,●,●,●,●,●,●,●
第二排座椅功能,-,,,,-,,,,,-,,-
空载最小离地间隙(mm),206,206,206,206,206,206,-,-,-,-,-,-
空调温度控制方式,,,,,,,,,,,,
空气质量监测,-,-,-,-,-,-,●,●,●,●,●,●
空气悬架,-,-,●,●,-,-,●,-,-,-,●,-
离去角(°),21,21,21,21,21,21,21,21,21,21,21,21
疲劳驾驶提示,●,●,●,●,●,●,●,●,●,●,●,●
电动座椅记忆功能,,,,,,,,,,,,
电动吸合车门,-,-,,,-,-,,-,-,-,,-
电动后备厢位置记忆,●,●,●,●,●,●,●,●,●,●,●,●
电动后备厢,●,●,●,●,●,●,●,●,●,●,●,●
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●,●
灯光特色功能,-,-,,,-,-,,,,-,,-
温度分区控制,●,●,●,●,●,●,●,●,●,●,●,●
液晶仪表尺寸,,,,,,,,,,,,
