Feature,46868,47984,49051,49052,54511,54512,54514,54515
高度(mm),1713,1713,1731,1731,1731,1731,1713,1713
驾驶辅助影像,,,,,,,,
驾驶模式切换,,,,,,,,
驻车制动类型,,,,,,,,
驱动电机数,双电机,双电机,双电机,双电机,双电机,双电机,双电机,双电机
驱动方式,,,,,,,,
首任车主质保政策,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-
面部识别,●,●,-,-,-,-,●,●
隐藏电动门把手,●,●,●,●,●,●,●,●
陡坡缓降,●,●,●,●,●,●,●,●
长度(mm),5209,5209,5209,5209,5209,5209,5209,5209
长*宽*高(mm),5209*2010*1713,5209*2010*1713,5209*2010*1731,5209*2010*1731,5209*2010*1731,5209*2010*1731,5209*2010*1713,5209*2010*1713
钥匙类型,,,,,,,,
道路救援呼叫,●,●,●,●,●,●,●,●
道路交通标识识别,●,●,●,●,●,●,●,●
远程启动功能,,,,,,,,
远光灯光源,,,,,,,,
近光灯光源,,,,,,,,
辅助驾驶等级,,,,,,,,
轴距(mm),3110,3110,3110,3110,3110,3110,3110,3110
轮圈材质,,,,,,,,
转向辅助灯,●,●,●,●,●,●,●,●
转向头灯,●,●,●,-,-,●,●,●
车顶行李架,●,●,●,●,●,●,●,●
车门数(个),,,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道偏离预警系统,●,●,●,●,●,●,●,●
车道保持辅助系统,●,●,●,●,●,●,●,●
车载空气净化器,●,●,●,-,-,●,●,●
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门4座SUV,5门6座SUV,5门6座SUV,5门7座SUV,5门7座SUV,5门6座SUV,5门6座SUV,5门4座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,
车型名称,红旗E-HS9 2021款 510km 旗领版 四座,红旗E-HS9 2021款 510km 旗畅版 六座,红旗E-HS9 2021款 460km 旗享版 六座,红旗E-HS9 2021款 460km 旗悦版 七座,红旗E-HS9 2022款 690km 旗悦版 七座,红旗E-HS9 2022款 690km 旗享版 六座,红旗E-HS9 2022款 660km 旗畅版 六座,红旗E-HS9 2022款 660km 旗领版 四座
车前雾灯,-,-,-,-,-,-,-,-
车内香氛装置,●,○,○,○,○,○,○,●
车内环境氛围灯,,,,-,-,,,
车内摄像头数量,,,-,-,-,-,,
车内化妆镜,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
负离子发生器,●,●,●,-,-,●,●,●
语音连续识别,●,●,●,●,●,●,●,●
语音识别控制系统,,,,,,,,
语音助手唤醒词,,,,,,,,
语音分区域唤醒识别,,,,,,,,
语音免唤醒词,●,●,●,●,●,●,●,●
触摸式阅读灯,●,●,●,●,●,●,●,●
行车电脑显示屏幕,,,,,,,,
蓝牙/车载电话,●,●,●,●,●,●,●,●
自适应远近光,●,●,●,-,-,●,●,●
自动驻车,●,●,●,●,●,●,●,●
自动泊车入位,●,●,●,●,●,●,●,●
自动头灯,●,●,●,●,●,●,●,●
能量回收系统,●,●,●,●,●,●,●,●
能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
胎压监测功能,,,,,,,,
缺气保用轮胎,-,-,-,-,-,-,-,-
级别,大型SUV,大型SUV,大型SUV,大型SUV,大型SUV,大型SUV,大型SUV,大型SUV
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排独立座椅,●,●,●,-,-,●,●,●
第二排座椅调节,,,,,,,,
第二排座椅电动调节,●,●,●,-,-,●,●,●
第二排座椅功能,,,-,-,-,-,,
空调温度控制方式,,,,,,,,
空气悬架,●,●,○,○,○,○,●,●
离去角(°),21.4,21.4,22.4,22.4,22,22,21,21
百公里耗电量(kWh/100km),19.3,19.3,18.1,18.1,18,18,19,19
疲劳驾驶提示,●,●,-,-,-,-,●,●
电芯品牌,,,,,,,,
电能当量燃料消耗量(L/100km),2.2,2.2,2,2,2,2,2.1,2.1
电池预加热,●,●,●,●,●,●,●,●
电池能量密度(Wh/kg),178.1,178.1,181.2,181.2,206,206,206,206
电池能量(kWh),99,99,84,84,120,120,120,120
电池类型,,,,,,,,
电池慢充时间(小时)_y,9.5,9.5,8.4,8.4,-,-,-,-
电池慢充时间(小时)_x,9.5,9.5,8.4,8.4,-,-,-,-
电池快充电量范围(%)_y,80,80,80,80,-,-,-,-
电池快充电量范围(%)_x,80,80,80,80,-,-,-,-
电池快充时间(小时)_y,0.8,0.8,0.8,0.8,-,-,-,-
电池快充时间(小时)_x,0.8,0.8,0.8,0.8,-,-,-,-
电池冷却方式,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷
电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电机布局,前置+后置,前置+后置,前置+后置,前置+后置,前置+后置,前置+后置,前置+后置,前置+后置
电动机总扭矩(N·m),750,750,600,600,600,600,750,750
电动机总功率(kW),405,405,320,320,320,320,405,405
电动机总功率(Ps),551,551,435,435,435,435,551,551
电动机(Ps),551,551,435,435,435,435,551,551
电动座椅记忆功能,,,,,,,,
电动吸合车门,,,-,-,-,-,,
电动后备厢位置记忆,●,●,●,●,●,●,●,●
电动后备厢,●,●,●,●,●,●,●,●
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●
灯光特色功能,,,,-,-,,,
满载最小离地间隙(mm),175,175,150,150,150,150,175,175
温度分区控制,●,●,●,●,●,●,●,●
液晶仪表尺寸,,,,,,,,
最高车速(km/h),200,200,200,200,200,200,200,200
最大满载质量(kg),3090,3080,2985,3057,3189,3124,3247,3162
最大扭矩(N·m),750,750,600,600,600,600,750,750
最大功率(kW),405,405,320,320,320,320,405,405
无钥匙进入功能,,,,,,,,
无钥匙启动系统,●,●,●,●,●,●,●,●
方向盘记忆,●,●,●,●,●,●,●,●
方向盘材质,,,,,,,,
方向盘换挡,-,-,-,-,-,-,-,-
方向盘加热,●,●,-,-,-,-,●,●
方向盘位置调节,,,,,,,,
整车质保,,,,,,,,
整车无线充电,○,○,○,○,○,○,○,○
整备质量(kg),2640,2610,2515,2512,2644,2654,2702,2712
接近角(°),21.3,21.3,22.5,22.5,22,22,21,21
换挡形式,,,,,,,,
挡位个数,1,1,1,1,1,1,1,1
扬声器数量,,,,,,,,
扬声器品牌名称,-,-,-,-,-,-,-,-
手机无线充电功能,,,,,,,,
手机互联/映射,-,-,-,-,-,-,-,-
手机APP远程功能,,,,,,,,
慢充接口位置,车左前侧,车左前侧,车左前侧,车左前侧,车左前侧,车左前侧,车左前侧,车左前侧
感应雨刷功能,,,,,,,,
快充接口位置,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧
快充功能,支持,支持,支持,支持,支持,支持,支持,支持
座椅材质,,,,,,,,
座椅布局,-,,,,,,,-
座位数(个),,,,,,,,
应用商店,●,●,●,●,●,●,●,●
并线辅助,●,●,●,●,●,●,●,●
巡航系统,,,,,,,,
导航路况信息显示,●,●,●,●,●,●,●,●
宽度(mm),2010,2010,2010,2010,2010,2010,2010,2010
官方0-100km/h加速(s),5,5,6.5,6.5,-,-,-,-
安全带未系提醒,,,,,,,,
天窗类型,,,,,,,,
大灯高度可调,●,●,●,●,●,●,●,●
大灯延时关闭,●,●,●,●,●,●,●,●
多层隔音玻璃,,,,,,,,
多媒体/充电接口,,,,,,,,
多功能方向盘,●,●,●,●,●,●,●,●
外后视镜功能,,,,,,,,
备胎规格,,,,,,,,
四驱形式,,,,,,,,
后雨刷,●,●,●,●,●,●,●,●
后轮距(mm),1709,1709,1709,1709,1709,1709,1709,1709
后轮胎规格,,,,,,,,
后电动机最大扭矩(N·m),450,450,300,300,300,300,450,450
后电动机最大功率(kW),245,245,160,160,160,160,245,245
后电动机型号,CAM250PT1,CAM250PT1,CAM220PT2,CAM220PT2,CAM220PT2,CAM220PT2,CAM250PT1,CAM250PT1
后电动机品牌,精进电动,精进电动,精进电动,精进电动,精进电动,精进电动,精进电动,精进电动
后排独立空调,●,●,●,●,●,●,●,●
后排液晶屏幕,,-,-,-,-,-,-,
后排杯架,●,-,-,●,●,-,-,●
后排控制多媒体,●,-,-,-,-,-,-,●
后排座椅电动放倒,-,●,●,●,●,●,●,-
后排座椅放倒形式,-,,,,,,,-
后排侧隐私玻璃,●,●,●,●,●,●,●,●
后悬架类型,,,,,,,,
后座出风口,●,●,●,●,●,●,●,●
后备厢容积(L),-,-,-,-,-,-,-,-
后制动器类型,,,,,,,,
可见即可说,●,●,●,●,●,●,●,●
可变悬架功能,,,,,,,,
变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
厂商指导价(元),72.98万,63.98万,53.98万,50.98万,58.98万,61.98万,68.98万,77.98万
厂商,一汽红旗,一汽红旗,一汽红旗,一汽红旗,一汽红旗,一汽红旗,一汽红旗,一汽红旗
卫星导航系统,●,●,●,●,●,●,●,●
助力类型,,,,,,,,
副驾驶位后排可调节按钮,●,-,-,-,-,-,-,●
副驾娱乐屏,,,,,,,,
副座椅调节方式,,,,,,,,
前轮距(mm),1708,1708,1708,1708,1708,1708,1708,1708
