Feature,53952,53953,55701,55702,56726,56727,57781,57782,59978,65473,65474,65475,65476,65477,65478,65479,65826,65827
高度(mm),1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870
驾驶辅助影像,,,,,,,,,,,,,,,,,,
驾驶模式切换,,,,,,,,,,,,,,,,,,
驻车制动类型,,,,,,,,,,,,,,,,,,
驱动方式,,,,,,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
隐藏电动门把手,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
陡坡缓降,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
限滑差速器/差速锁,,,,,,,,,,,,,,,,,,
长度(mm),5052,5252,5252,5252,5252,5252,5052,5252,5252,5052,5252,5252,5252,5252,5258,5058,5258,5258
长*宽*高(mm),5052*2047*1870,5252*2047*1870,5252*2047*1870,5252*2047*1870,5252*2047*1870,5252*2047*1870,5052*2047*1870,5252*2047*1870,5252*2047*1870,5052*2047*1870,5252*2047*1870,5252*2047*1870,5252*2047*1870,5252*2047*1870,5258*2047*1870,5058*2047*1870,5258*2047*1870,5258*2047*1870
钥匙类型,,,,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
遥控泊车,-,-,○,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-
道路救援呼叫,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
道路交通标识识别,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
透明底盘/540度影像,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●
远程启动功能,,,,,,,,,,,,,,,,,,
远光灯光源,,,,,,,,,,,,,,,,,,
进气形式,双涡轮增压,双涡轮增压,双涡轮增压,涡轮增压+电动增压,涡轮增压+电动增压,涡轮增压+电动增压,涡轮增压+电动增压,涡轮增压+电动增压,涡轮增压+电动增压,涡轮增压+电动增压,涡轮增压+电动增压,涡轮增压+电动增压,涡轮增压+电动增压,涡轮增压+电动增压,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压
近光灯光源,,,,,,,,,,,,,,,,,,
辅助驾驶等级,,,,,,,,,,,,,,,,,,
轴距(mm),2997,3197,3197,3197,3197,3197,2997,3197,3197,2997,3197,3197,3197,3197,3197,2997,3197,3197
轮圈材质,,,,,,,,,,,,,,,,,,
转向头灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车门数(个),,,,,,,,,,,,,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道偏离预警系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车道保持辅助系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车载空气净化器,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车载电视,●,●,●,●,●,○,○,●,●,-,-,-,-,-,-,-,-,-
车载智能系统,,,,,,,,,,,,,,,,,,
车载冰箱,○,●,●,○,○,○,○,○,○,○,○,○,○,●,●,●,●,●
