Feature,65859,65860,65861,65862,65863,65864,65865,65866,65867,65868,65869,65870,68637,68638,68639,68640,68641,68642,68643,68644,68645,68646,68647,68648
高度(mm),1795,1795,1795,1795,1795,1795,1795,1795,1795,1795,1792,1792,1795,1795,1795,1795,1795,1792,1795,1795,1795,1795,1795,1792
驾驶辅助影像,-,-,,,,,,,,,,,-,,,,,,-,,,,,
驾驶模式切换,,,,,,,,,,,,,,,,,,,,,,,,
驻车制动类型,,,,,,,,,,,,,,,,,,,,,,,,
驱动方式,,,,,,,,,,,,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,●,●,●,●,●,●,●,●,-,-,●,●,●,●,-,-,●,●,●,●
长度(mm),5152,5152,5152,5152,5152,5152,5152,5152,5152,5152,5152,5152,5152,5152,5152,5152,5152,5152,5152,5152,5152,5152,5152,5152
长*宽*高(mm),5152*2002*1795,5152*2002*1795,5152*2002*1795,5152*2002*1795,5152*2002*1795,5152*2002*1795,5152*2002*1795,5152*2002*1795,5152*2002*1795,5152*2002*1795,5152*2002*1792,5152*2002*1792,5152*2002*1795,5152*2002*1795,5152*2002*1795,5152*2002*1795,5152*2002*1795,5152*2002*1792,5152*2002*1795,5152*2002*1795,5152*2002*1795,5152*2002*1795,5152*2002*1795,5152*2002*1792
钥匙类型,,,,,,,,,,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路交通标识识别,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
远光灯光源,,,,,,,,,,,,,,,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,,,,,,,,,,,,,,,
辅助驾驶系统,-,-,-,-,,,,,,,,,-,-,,,,,-,-,,,,
辅助驾驶等级,-,-,-,-,,,,,,,,,-,-,,,,,-,-,,,,
轴距(mm),2980,2980,2980,2980,2980,2980,2980,2980,2980,2980,2980,2980,2980,2980,2980,2980,2980,2980,2980,2980,2980,2980,2980,2980
轮圈材质,,,,,,,,,,,,,,,,,,,,,,,,
转向头灯,-,-,○,○,○,○,○,○,●,●,●,●,-,○,○,○,●,●,-,○,○,○,●,●
车顶行李架,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
