Feature,60855,65879,65880,65881,66182,66183
高度(mm),1715,1715,1715,1715,1715,1715
驾驶辅助影像,,,,,,
驾驶模式切换,,,,,,
驻车制动类型,,,,,,
驱动电机数,单电机,单电机,双电机,双电机,单电机,双电机
驱动方式,,,,,,
首任车主质保政策,,,,,,
风阻系数(Cd),-,-,-,-,-,-
隐藏电动门把手,●,●,●,●,●,●
陡坡缓降,●,●,●,●,●,●
防侧翻系统,●,●,●,●,●,●
长度(mm),4406,4406,4406,4406,4406,4406
长*宽*高(mm),4406*1910*1715,4406*1910*1715,4406*1910*1715,4406*1910*1715,4406*1910*1715,4406*1910*1715
钥匙类型,,,,,,
遥控泊车,-,-,-,●,-,-
道路救援呼叫,●,●,●,●,●,●
道路交通标识识别,-,-,-,●,○,●
透明底盘/540度影像,-,●,●,●,●,●
远程启动功能,,,,,,
远光灯光源,,,,,,
近光灯光源,,,,,,
辅助驾驶等级,-,-,-,,,
轴距(mm),2715,2715,2715,2715,2715,2715
轮圈材质,,,,,,
车顶行李架,●,●,●,●,●,●
车门数(个),,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门
车道偏离预警系统,-,-,-,●,○,●
车道保持辅助系统,-,-,-,●,○,●
车载空气净化器,-,-,-,●,-,○
车载智能系统,,,,,,
车载KTV,●,●,●,●,●,●
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●
车联网,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●
车窗一键升降功能,,,,,,
车机智能芯片,,,,,,
车型名称,奇瑞iCAR 03 2024款 401km 两驱标准版,奇瑞iCAR 03 2024款 401km 两驱标准进阶版,奇瑞iCAR 03 2024款 472km 四驱长续航版,奇瑞iCAR 03 2024款 501km 四驱长续航智驾版,奇瑞iCAR 03 2024款 501km 两驱长续航版,奇瑞iCAR 03 2024款 501km 四驱长续航进阶版
车前雾灯,-,-,-,-,-,-
车内环境氛围灯,-,-,-,,-,
车内化妆镜,,,,,,
车内中控锁,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,,,,-,,
起步提醒,-,-,-,●,○,●
负离子发生器,-,-,-,●,-,○
语音连续识别,●,●,●,●,●,●
语音识别控制系统,,,,,,
