Feature,1017452,1017453,1017454,1017455,1017456,1017457,1017458,1017459,1017460,1017461,1017462,1017463,1017464,1017465,1017466,1017467,1017468,1017469
高度(mm),2120,2740,2740,2120,2740,2740,2120,2740,2740,2120,2740,2740,2120,2720,2720,2120,2720,2720
驾驶辅助影像,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶模式切换,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驻车制动类型,,,,,,,,,,,,,,,,,,
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,,,,,,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),5995,5995,5995,5995,5995,5995,5610,5610,5610,5620,5620,5620,5995,5995,5995,5995,5995,5995
长*宽*高(mm),5995*1950*2120,5995*1950*2740,5995*1950*2740,5995*1950*2120,5995*1950*2740,5995*1950*2740,5610*1950*2120,5610*1950*2740,5610*1950*2740,5620*1950*2120,5620*1950*2740,5620*1950*2740,5995*1950*2120,5995*1950*2720,5995*1950*2720,5995*1950*2120,5995*1950*2720,5995*1950*2720
钥匙类型,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
远光灯光源,,,,,,,,,,,,,,,,,,
近光灯光源,,,,,,,,,,,,,,,,,,
轴距(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
轮圈材质,,,,,,,,,,,,,,,,,,
车门数(个),,,,,,,,,,,,,,,,,,
车门开启方式,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车道偏离预警系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车
车身结构_x,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车联网,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗一键升降功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,锐航 2023款 栏板车 3.98米 58.906kWh,锐航 2023款 仓栅车 3.98米 58.906kWh,锐航 2023款 厢式车 3.98米 58.906kWh,锐航 2023款 栏板车 4.02米 58.906kWh,锐航 2023款 仓栅车 4.02米 58.906kWh,锐航 2023款 厢式车 4.02米 58.906kWh,锐航 2023款 栏板车 3.6米 58.906kWh,锐航 2023款 仓栅车 3.63米 58.906kWh,锐航 2023款 厢式车 3.6米 58.906kWh,锐航 2023款 栏板车 3.6米 54.912kWh,锐航 2023款 仓栅车 3.63米 54.912kWh,锐航 2023款 厢式车 3.6米 54.912kWh,锐航 2023款 栏板车 3.98米 54.912kWh,锐航 2023款 仓栅车 3.98米 54.912kWh,锐航 2023款 厢式车 3.98米 54.912kWh,锐航 2023款 栏板车 4.02米 54.912kWh,锐航 2023款 仓栅车 4.02米 54.912kWh,锐航 2023款 厢式车 4.02米 54.912kWh
车前雾灯,,,,,,,,,,,,,,,,,,
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内中控锁,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内PM2.5过滤装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式
货箱尺寸(mm),3980x1860x360,3980x1860x360,3980x1860x1850,4020x1860x360,4020x1860x360,4020x1860x1850,3600x1860x360,3630x1860x360,3600x1860x1850,3600x1860x360,3630x1860x360,3600x1860x1850,3980x1860x360,3980x1860x360,3980x1860x1850,4020x1860x360,4020x1860x360,4020x1860x1850
语音识别控制系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
行车电脑显示屏幕,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
