Feature,50709,52807,52808,52809,52810,52811,52812,52813,52814,57306,57517,57518,62879,62880,62881,62882,62883,62884,62885,62886
高度(mm),1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720
驾驶辅助影像,,,,,,,,,,,,,,,,,,,,
驾驶模式切换,,-,-,-,,,,,,,,,-,,,,-,,,
驻车制动类型,,,,,,,,,,,,,,,,,,,,
驱动方式,,,,,,,,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
面部识别,●,-,-,-,-,-,-,-,●,-,-,-,-,-,○,○,-,-,○,○
陡坡缓降,●,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
长度(mm),4730,4730,4730,4730,4730,4730,4730,4730,4730,4730,4730,4730,4730,4730,4730,4730,4730,4730,4730,4730
长*宽*高(mm),4730*1870*1720,4730*1870*1720,4730*1870*1720,4730*1870*1720,4730*1870*1720,4730*1870*1720,4730*1870*1720,4730*1870*1720,4730*1870*1720,4730*1870*1720,4730*1870*1720,4730*1870*1720,4730*1870*1720,4730*1870*1720,4730*1870*1720,4730*1870*1720,4730*1870*1720,4730*1870*1720,4730*1870*1720,4730*1870*1720
钥匙类型,,,,,,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,●,-,-,-,-,-,●,●,●,●,-,●,-,●,●,●,-,●,●,●
透明底盘/540度影像,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,●
远程启动功能,,-,-,-,-,-,,,,,-,,-,,,,-,,,
远光灯光源,,,,,,,,,,,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,,,,,,,,,,,
运动外观套件,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●
轴距(mm),2786,2786,2786,2786,2786,2786,2786,2786,2786,2786,2786,2786,2786,2786,2786,2786,2786,2786,2786,2786
轮圈材质,,,,,,,,,,,,,,,,,,,,
车顶行李架,●,-,-,-,-,-,●,●,●,●,-,●,-,-,●,●,-,-,●,●
车门数(个),,,,,,,,,,,,,,,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
