Feature,55009,55328,55329,55330,55331
高度(mm),1880,1690,1880,1690,1690
驾驶辅助影像,,,,,
驾驶模式切换,,,,,
驻车制动类型,,,,,
驱动电机数,单电机,单电机,单电机,单电机,单电机
驱动方式,,,,,
风阻系数(Cd),-,-,-,-,-
陡坡缓降,-,-,-,-,-
长度(mm),4710,4710,4710,4710,4710
长*宽*高(mm),4710*1810*1880,4710*1810*1690,4710*1810*1880,4710*1810*1690,4710*1810*1690
钥匙类型,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC
遥控泊车,●,●,●,●,●
道路交通标识识别,●,-,●,-,●
透明底盘/540度影像,●,●,●,●,●
远程启动功能,,,,,
远光灯光源,,,,,
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
近光灯光源,,,,,
辅助驾驶等级,,-,,-,
轴距(mm),2785,2785,2785,2785,2785
轮圈材质,,,,,
车顶行李架,-,●,-,●,●
车门数(个),,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门
车道偏离预警系统,●,-,●,-,●
车道保持辅助系统,●,-,●,-,●
车载空气净化器,●,-,-,-,-
车载智能系统,,,,,
车身结构_y,MPV,MPV,MPV,MPV,MPV
车身结构_x,5门6座MPV,5门7座MPV,5门6座MPV,5门7座MPV,5门7座MPV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●
车联网,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●
车窗一键升降功能,,,,,
车型名称,宋MAX新能源 2022款 DM-i 105KM 行政版,宋MAX新能源 2022款 DM-i 51KM 豪华型,宋MAX新能源 2022款 DM-i 51KM 尊贵型,宋MAX新能源 2022款 DM-i 105KM 尊荣型,宋MAX新能源 2022款 DM-i 105KM 旗舰型
车前雾灯,-,-,-,-,-
车内环境氛围灯,,-,,-,-
车内化妆镜,,,,,
车内中控锁,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,,,,,
语音识别控制系统,,,,,
语音助手唤醒词,,,,,
语音分区域唤醒识别,,,,,
语音免唤醒词,●,●,●,●,●
行车电脑显示屏幕,,,,,
蓝牙/车载电话,●,●,●,●,●
自适应远近光,●,-,●,-,●
自动驻车,●,●,●,●,●
自动头灯,●,●,●,●,●
能量回收系统,●,●,●,●,●
能源类型_y,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力
能源类型_x,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力
胎压监测功能,,,,,
缺气保用轮胎,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金
级别,紧凑型MPV,紧凑型MPV,紧凑型MPV,紧凑型MPV,紧凑型MPV
简称,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速
第二排独立座椅,●,-,●,○,○
第二排座椅调节,,,,,
空调温度控制方式,,,,,
空气质量监测,●,●,●,●,●
离去角(°),16,16,16,16,16
百公里耗电量(kWh/100km),15.9,13.2,13.2,15.9,15.9
疲劳驾驶提示,-,-,-,-,-
电芯品牌,,,,,
电能当量燃料消耗量(L/100km),1.75,-,-,1.75,1.75
电池预加热,●,●,●,●,●
电池能量(kWh),18.3,8.3,8.3,18.3,18.3
电池类型,,,,,
电池特有技术,刀片电池,刀片电池,刀片电池,刀片电池,刀片电池
电池快充电量范围(%)_y,80,-,-,80,80
电池快充电量范围(%)_x,80,-,-,80,80
电池快充时间(小时)_y,0.5,-,-,0.5,0.5
电池快充时间(小时)_x,0.5,-,-,0.5,0.5
电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电机布局,前置,前置,前置,前置,前置
电动机总马力(Ps),197,180,180,197,197
电动机总扭矩(N·m),325,316,316,325,325
电动机总功率(kW),145,132,132,145,145
电动机(Ps),197,180,180,197,197
电动座椅记忆功能,-,-,-,-,-
电动后备厢位置记忆,●,-,-,-,-
电动后备厢,●,-,-,-,-
环保标准_y,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●
燃油标号,92号,92号,92号,92号,92号
灯光特色功能,,,,,
温度分区控制,●,●,●,●,●
液晶仪表尺寸,,,,,
油箱容积(L),52,52,52,52,52
气缸数(个),4,4,4,4,4
气缸排列形式,L,L,L,L,L
毫米波雷达数量,,-,,-,
每缸气门数(个),4,4,4,4,4
最高车速(km/h),160,160,160,160,160
最小转弯半径(m),5.8,5.8,5.8,5.8,5.8
最大马力(Ps),110,110,110,110,110
最大满载质量(kg),2332,2240,2240,2332,2332
最大扭矩转速(rpm),4500,4500,4500,4500,4500
最大扭矩(N·m)_y,135,135,135,135,135
最大扭矩(N·m)_x,-,-,-,-,-
最大功率转速(rpm),6000,6000,6000,6000,6000
最大功率(kW)_y,81,81,81,81,81
最大功率(kW)_x,-,-,-,-,-
最大净功率(kW),78,78,78,78,78
最低荷电状态油耗(L/100km),5.4,5.3,5.3,5.4,5.4
无钥匙进入功能,,,,,
无钥匙启动系统,●,●,●,●,●
旋转大屏,●,●,●,●,●
方向盘记忆,-,-,-,-,-
方向盘材质,,,,,
方向盘换挡,-,-,-,-,-
方向盘加热,-,-,-,-,-
方向盘位置调节,,,,,
整车质保,,,,,
整备质量(kg),1807,1715,1715,1807,1807
摄像头数量,,,,,
接近角(°),15,15,15,15,15
排量(mL),1498,1498,1498,1498,1498
换挡形式,,,,,
挡位个数,无级变速,无级变速,无级变速,无级变速,无级变速
扬声器数量,,,,,
扬声器品牌名称,-,-,-,-,-
手机无线充电功能,,-,,-,
手机互联/映射,-,-,-,-,-
手机APP远程功能,,,,,
感应雨刷功能,-,-,-,-,-
快充功能,支持,不支持,不支持,支持,支持
快充功率(kW),18,-,-,18,18
座椅材质,,,,,
座椅布局,,,,,
