Feature,59592,59593,59594,63534,63535
高度(mm),1945,1945,1945,1950,1950
驾驶辅助影像,,,,,
驾驶模式切换,,,,,
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动电机数,双电机,双电机,双电机,双电机,双电机
驱动方式,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱
首任车主质保政策,-,-,-,-,-
陡坡缓降,-,-,-,-,-
长度(mm),4975,4975,4975,5005,5005
长*宽*高(mm),4975*1850*1945,4975*1850*1945,4975*1850*1945,5005*1850*1950,5005*1850*1950
钥匙类型,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,●,●,●,●,●
道路交通标识识别,-,-,-,●,●
远程启动功能,-,-,-,,
远光灯光源,,,,,
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
近光灯光源,,,,,
运动外观套件,-,-,●,-,-
辅助驾驶系统,,,,,
辅助驾驶等级,,,,,
轴距(mm),3000,3000,3000,3000,3000
轮圈材质,,,,,
转向辅助灯,●,●,●,●,●
车门数(个),5,5,5,5,5
车门开启方式,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门
车道居中保持,●,●,●,●,●
车道偏离预警系统,●,●,●,●,●
车道保持辅助系统,●,●,●,●,●
车载空气净化器,○,○,○,●,●
车载CD/DVD,,,,,
车身结构_y,MPV,MPV,MPV,MPV,MPV
车身结构_x,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●
车联网,-,-,-,●,●
车窗防夹手功能,●,●,●,●,●
车窗一键升降功能,,,,,
车型名称,威尔法 2023款 皇冠 双擎 2.5L HV豪华版,威尔法 2023款 皇冠 双擎 2.5L HV尊贵版,威尔法 2023款 皇冠 双擎 2.5L HV至尊版,威尔法 2024款 皇冠 双擎 2.5L 至尊版,威尔法 2024款 皇冠 双擎 2.5L 至尊行政版
车前雾灯,,,,,
车内环境氛围灯,,,,,
车内化妆镜,,,,,
车内中控锁,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式
负离子发生器,○,○,○,●,●
语音识别控制系统,,,,,
行车电脑显示屏幕,,,,,
蓝牙/车载电话,●,●,●,●,●
自适应远近光,●,●,●,●,●
自动驻车,●,●,●,●,●
自动头灯,●,●,●,●,●
膝部气囊,●,●,●,-,-
能量回收系统,●,●,●,●,●
能源类型,油电混合,油电混合,油电混合,油电混合,油电混合
胎压监测功能,,,,,
缺气保用轮胎,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金
级别,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV
系统综合功率(kW),120,120,120,184,184
系统综合功率(Ps),163,163,163,250,250
简称,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速
第二排独立座椅,●,●,●,●,●
第二排座椅调节,,,,,
第二排座椅电动调节,●,●,●,●,●
第二排座椅功能,,,,,
空调温度控制方式,,,,,
百公里耗电量(kWh/100km),-,-,-,-,-
疲劳驾驶提示,-,-,-,●,●
电池能量(kWh),-,-,-,-,-
电池组质保,八年或12万公里,八年或12万公里,八年或12万公里,八年或12万公里,八年或12万公里
电池类型,镍氢电池,镍氢电池,镍氢电池,镍氢电池,镍氢电池
电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电机布局,前置+后置,前置+后置,前置+后置,前置+后置,前置+后置
电动机总扭矩(N·m),409,409,409,391,391
电动机总功率(kW),155,155,155,174,174
电动机总功率(Ps),211,211,211,237,237
电动机(Ps),211,211,211,237,237
电动座椅记忆功能,,,,,
电动后备厢位置记忆,-,-,-,●,●
电动后备厢,●,●,●,●,●
环保标准_y,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●
燃油标号,92号,92号,92号,92号,92号
燃料形式,油电混合,油电混合,油电混合,油电混合,油电混合
灯光特色功能,-,-,-,,
满载最小离地间隙(mm),170,170,170,-,-
温度分区控制,●,●,●,●,●
液晶仪表尺寸,,,,,
油箱容积(L),58,58,58,58,58
气缸数(个),4,4,4,4,4
气缸排列形式,L,L,L,L,L
每缸气门数(个),4,4,4,4,4
最高车速(km/h),152,152,152,180,180
最小转弯半径(m),5.6,5.6,5.6,5.9,5.9
最大马力(Ps),117,117,117,190,190
最大满载质量(kg),2815,2815,2815,-,-
最大扭矩转速(rpm),2800-4000,2800-4000,2800-4000,4300-4500,4300-4500
最大扭矩(N·m)_y,198,198,198,236,236
最大扭矩(N·m)_x,-,-,-,-,-
最大功率转速(rpm),4700,4700,4700,6000,6000
最大功率(kW)_y,86,86,86,140,140
最大功率(kW)_x,120,120,120,184,184
最大净功率(kW),86,86,86,-,-
无钥匙进入功能,,,,,
无钥匙启动系统,●,●,●,●,●
方向盘记忆,-,-,-,●,●
方向盘材质,,,,,
方向盘换挡,●,●,●,●,●
方向盘加热,●,●,●,●,●
方向盘位置调节,,,,,
整车质保,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里
整备质量(kg),2270,2290,2290,-,-
排量(mL),2494,2494,2494,2487,2487
换挡形式,,,,,
挡位个数,无级变速,无级变速,无级变速,无级变速,无级变速
扬声器数量,,,,,
扬声器品牌名称,,,,,
手机无线充电功能,-,-,-,,
手机互联/映射,,,,,
手机APP远程功能,,,,,
慢充时间(小时),-,-,-,-,-
感应雨刷功能,,,,,
快充电量(%),-,-,-,-,-
快充时间(小时),-,-,-,-,-
快充功能,-,-,-,-,-
座椅材质,,,,,
座椅布局,,,,,
座位数(个),7,7,7,7,7
并线辅助,●,●,●,●,●
巡航系统,,,,,
导航路况信息显示,●,●,●,●,●
宽度(mm),1850,1850,1850,1850,1850
官方0-100km/h加速(s),-,-,-,-,-
安全带未系提醒,,,,,
天窗类型,,,,,
大灯高度可调,●,●,●,●,●
大灯延时关闭,-,-,-,●,●
多层隔音玻璃,-,,,,
多媒体/充电接口,,,,,
多功能方向盘,●,●,●,●,●
外后视镜功能,,,,,
备胎规格,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸
四驱形式,电动四驱,电动四驱,电动四驱,电动四驱,电动四驱
后雨刷,●,●,●,●,●
后轮距(mm),1605,1605,1605,1605,1605
后轮胎规格,225/60 R17,225/60 R17,225/60 R17,225/55 R19,225/55 R19
后电动机最大扭矩(N·m),139,139,139,121,121
后电动机最大功率(kW),50,50,50,40,40
后排独立空调,●,●,●,●,●
