Feature,65796,65797,65798,65799,65800,66651,68016,68017,68018,68657,68658,68659,68660,68708,68709
高精地图,-,-,-,●,●,-,-,-,-,-,-,-,-,-,-
高度(mm),1756,1768,1768,1768,1768,1768,1756,1756,1756,1756,1756,1768,1756,1756,1756
驾驶辅助影像,,,,,,,,,,,,,,,
驾驶模式切换,,,,,,,,,,,,,,,
驻车制动类型,,,,,,,,,,,,,,,
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,,,,,,,,,,,,,,,
风阻系数(Cd),0.268,0.268,0.268,0.268,0.268,-,-,-,-,-,-,-,-,-,-
面部识别,-,-,-,●,●,○,-,-,-,○,-,○,○,-,-
隐藏电动门把手,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
陡坡缓降,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●
长度(mm),4907,4907,4907,4907,4907,4907,4907,4907,4907,4907,4907,4907,4907,4907,4907
长*宽*高(mm),4907*1885*1756,4907*1885*1768,4907*1885*1768,4907*1885*1768,4907*1885*1768,4907*1885*1768,4907*1885*1756,4907*1885*1756,4907*1885*1756,4907*1885*1756,4907*1885*1756,4907*1885*1768,4907*1885*1756,4907*1885*1756,4907*1885*1756
钥匙类型,,,,,,,,,,,,,,,
配气机构,-,-,-,-,-,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
道路交通标识识别,-,●,●,●,●,●,-,○,-,○,○,●,○,-,-
透明底盘/540度影像,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●
远程启动功能,-,-,-,-,-,,,,,,,,,,
远光灯光源,,,,,,,,,,,,,,,
进气形式,-,-,-,-,-,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,,,,,,
辅助驾驶芯片,-,,,,,-,-,-,-,-,-,-,-,-,-
辅助驾驶系统,-,-,-,,,-,-,-,-,-,-,-,-,-,-
辅助驾驶等级,-,,,,,,-,,-,,,,,-,-
轴距(mm),2975,2975,2975,2975,2975,2975,2975,2975,2975,2975,2975,2975,2975,2975,2975
轮圈材质,,,,,,,,,,,,,,,
车顶行李架,-,●,●,●,●,●,○,○,○,○,○,●,○,-,-
车门数(个),,,,,,,,,,,,,,,
车门开启方式,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门
车道居中保持,-,●,●,●,●,●,-,○,-,○,○,●,○,-,-
车道偏离预警系统,-,●,●,●,●,●,-,○,-,○,○,●,○,-,-
车道保持辅助系统,-,●,●,●,●,●,-,○,-,○,○,●,○,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载智能系统,-,,,,,,,,,,,,,,
车载冰箱,-,●,●,●,●,●,-,-,-,-,-,●,-,-,-
车身结构_y,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV
车身结构_x,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门6座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车联网,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,,,,,,,
车机智能芯片,-,,,,,,,,,,,,,,
车型名称,大家7 2024款 527km 草原长续航版,大家7 2024款 527km 森林长续航版,大家7 2024款 605km 森林加长续航版,大家7 2024款 605km 高山加长续航版 七座,大家7 2024款 605km 高山加长续航版 六座,大家7 2024款 超混 超长续航版 旗舰版,大家7 2024款 超混 长续航版 畅享版,大家7 2024款 超混 长续航版 奢享版,大家7 2024款 超混 超长续航版 畅享版,大家7 2024款 超混 长续航版 臻享版,大家7 2024款 超混 超长续航版 奢享版,大家7 2024款 超混 长续航版 旗舰版,大家7 2024款 超混 超长续航版 臻享版,大家7 2024款 超混 长续航版 悦享版,大家7 2024款 超混 超长续航版 悦享版
车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内生物监测系统,-,-,-,-,-,○,-,-,-,○,-,○,○,-,-
车内环境氛围灯,-,-,-,,,,-,-,-,-,-,,-,-,-
车内摄像头数量,-,-,-,,,,-,-,-,,-,,,-,-
车内化妆镜,,,,,,,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
