Feature,63999,64038,64039,65581,67050
高度(mm),1550,1550,1550,1550,1550
驾驶辅助影像,,,,,
驾驶模式切换,,,,,
驻车制动类型,,,,,
驱动电机数,单电机,单电机,单电机,单电机,单电机
驱动方式,,,,,
风阻系数(Cd),-,-,-,-,-
陡坡缓降,-,-,-,-,-
长度(mm),4006,4006,4006,4006,4006
长*宽*高(mm),4006*1765*1550,4006*1765*1550,4006*1765*1550,4006*1765*1550,4006*1765*1550
钥匙类型,,,,,
远光灯光源,,,,,
近光灯光源,,,,,
辅助驾驶等级,,-,-,-,-
轴距(mm),2485,2485,2485,2485,2485
轮圈材质,,,,,
车顶行李架,●,●,●,●,●
车门数(个),,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门
车道偏离预警系统,○,-,-,-,-
车道保持辅助系统,○,-,-,-,-
车载空气净化器,-,-,-,-,-
车身结构_y,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,-,●,●,-
车联网,●,●,●,●,○
车窗防夹手功能,●,-,-,-,-
车窗一键升降功能,,-,-,-,-
车型名称,吉利几何E萤火虫 2024款 401km 萤光,吉利几何E萤火虫 2024款 301km 流光,吉利几何E萤火虫 2024款 301km 星光,吉利几何E萤火虫 2024款 401km 星光,吉利几何E萤火虫 2024款 301km 龙腾版
车前雾灯,-,-,-,-,-
车内环境氛围灯,-,-,-,-,-
车内化妆镜,,,,,
车内中控锁,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,,-,,,-
语音连续识别,●,●,●,●,○
语音识别控制系统,,,,,
语音助手唤醒词,,,,,
语音分区域唤醒识别,,,,,
语音免唤醒词,●,●,●,●,○
行车电脑显示屏幕,,,,,
蓝牙/车载电话,●,●,●,●,○
自适应远近光,○,-,-,-,-
自动驻车,●,-,●,●,-
自动头灯,●,-,●,●,-
能量回收系统,●,●,●,●,●
能源类型,纯电动,纯电动,纯电动,纯电动,纯电动
胎压监测功能,,,,,
缺气保用轮胎,-,-,-,-,-
