Feature,60620,61106,61844,61845,61846,61847,61849,61850,61851,68929,68930,68931,68932,68933,68950,68951,68952,68953
高度(mm),1620,1620,1620,1620,1620,1620,1620,1620,1620,1620,1620,1620,1620,1620,1620,1620,1620,1620
驾驶辅助影像,,,-,-,,,-,,,-,,,,,-,-,,
驾驶模式切换,,,,,,,,,,,,,,,,,,
驻车制动类型,,,,,,,,,,,,,,,,,,
驱动电机数,-,单电机,-,-,-,-,单电机,单电机,单电机,单电机,单电机,单电机,单电机,-,-,-,-,-
驱动方式,,,,,,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4485,4485,4485,4485,4485,4485,4485,4485,4485,4485,4485,4485,4485,4485,4485,4485,4485,4485
长*宽*高(mm),4485*1825*1620,4485*1825*1620,4485*1825*1620,4485*1825*1620,4485*1825*1620,4485*1825*1620,4485*1825*1620,4485*1825*1620,4485*1825*1620,4485*1825*1620,4485*1825*1620,4485*1825*1620,4485*1825*1620,4485*1825*1620,4485*1825*1620,4485*1825*1620,4485*1825*1620,4485*1825*1620
钥匙类型,,,,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
道路交通标识识别,●,●,-,●,●,●,●,●,●,●,●,●,●,●,○,●,●,●
远光灯光源,,,,,,,,,,,,,,,,,,
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
近光灯光源,,,,,,,,,,,,,,,,,,
运动风格座椅,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●
辅助驾驶系统,,,-,,,,,,,,,,,,,,,
辅助驾驶等级,,,-,,,,,,,,,,,,,,,
轴距(mm),2640,2640,2640,2640,2640,2640,2640,2640,2640,2640,2640,2640,2640,2640,2640,2640,2640,2640
轮圈材质,,,,,,,,,,,,,,,,,,
车顶行李架,-,-,-,-,-,●,-,-,●,-,-,-,●,-,-,-,-,●
车门数(个),,,,,,,,,,,,,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,●,●,-,●,●,●,●,●,●,●,●,●,●,●,○,●,●,●
车道偏离预警系统,●,●,-,●,●,●,●,●,●,●,●,●,●,●,○,●,●,●
车道保持辅助系统,●,●,-,●,●,●,●,●,●,●,●,●,●,●,○,●,●,●
车载空气净化器,-,-,-,-,-,-,-,-,●,-,-,-,●,-,-,-,-,-
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
