Feature,1011838,1011839,1011840,1011841,1011842,1011843,1015795,1019569
高度(mm),1965,1975,1965,2450,2450,2410,1965,1975
驾驶辅助影像,-,-,-,-,-,-,-,-
驾驶模式切换,-,-,-,-,-,-,-,-
驻车制动类型,-,-,-,-,-,-,-,-
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-
长度(mm),5005,5310,5005,5080,5080,5105,5005,5310
长*宽*高(mm),5005×1600×1965,5310×1600×1975,5005×1600×1965,5080×1670×2450,5080×1670×2450,5105×1600×2410,5005×1600×1965,5310×1600×1975
钥匙类型,,,,,,,,
远光灯光源,,,,,,,,
近光灯光源,,,,,,,,
轴距(mm),3200,3200,3200,3200,3200,3200,3200,3200
轮圈材质,,,,,,,,
车门数(个),,,,,,,,
车门开启方式,-,-,-,-,-,-,-,-
车道偏离预警系统,-,-,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-
车身结构_y,货车,货车,货车,货车,货车,货车,货车,货车
车身结构_x,货车,货车,货车,货车,货车,货车,货车,货车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-
车联网,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-
车窗一键升降功能,-,-,-,-,-,-,-,-
车型名称,长安神骐T10EV 2021款 纯电动载货汽车单排长续航版46.368kWh,长安神骐T10EV 2021款 纯电动载货汽车双排长续航版46.368kWh,长安神骐T10EV 2021款 纯电动载货汽车单排标准版38.64kWh,长安神骐T10EV 2021款 纯电动厢式运输车单排标准版38.64kWh,长安神骐T10EV 2021款 纯电动厢式运输车单排长续航版46.368kWh,长安神骐T10EV 2021款 纯电动仓栅式运输车单排长续航版46.368kWh,长安神骐T10EV 2022款 纯电动载货汽车单排财富版38.64kWh,长安神骐T10EV 2024款 纯电动载货汽车双排长续航版46.368kWh
车前雾灯,-,-,-,-,-,-,-,-
车内环境氛围灯,-,-,-,-,-,-,-,-
车内化妆镜,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,-,-,-,-,-,-,-,-
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
货箱尺寸(mm),3010x1520x375,2520x1520x375,3010x1520x375,3070x1575x1650,3070x1575x1650,3010x1520x375,3010x1520x375,2520x1520x375
语音识别控制系统,-,-,-,-,-,-,-,-
行车电脑显示屏幕,-,-,-,-,-,-,-,-
蓝牙/车载电话,●,●,●,●,●,●,●,●
自适应远近光,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-
能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
胎压监测功能,-,-,-,-,-,-,-,-
级别,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排座椅调节,-,-,-,-,-,-,-,-
空调温度控制方式,,,,,,,,
离去角(°),-,-,-,-,-,-,-,20
疲劳驾驶提示,-,-,-,-,-,-,-,-
电池能量(kWh),46.368,46.368,38.64,38.64,46.368,46.368,38.64,46.368
电池类型,,,,,,,,
电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电机布局,后置,后置,后置,后置,后置,后置,后置,后置
电动机总扭矩(N·m),220,220,220,220,220,220,220,220
电动机总功率(kW),60,60,60,60,60,60,60,60
电动机(Ps),82,82,82,82,82,82,82,82
电动座椅记忆功能,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-
牵引力控制(ASR/TCS/TRC等),-,-,-,-,-,-,-,-
温度分区控制,-,-,-,-,-,-,-,-
液晶仪表尺寸,-,-,-,-,-,-,-,-
最高车速(km/h),100,100,100,100,100,100,100,100
最大满载质量(kg),-,-,-,-,-,-,-,2600
最大扭矩(N·m),220,220,220,220,220,220,220,220
最大功率(kW),60,60,60,60,60,60,60,60
无钥匙进入功能,-,-,-,-,-,-,-,-
无钥匙启动系统,-,-,-,-,-,-,-,-
方向盘记忆,-,-,-,-,-,-,-,-
方向盘材质,,,,,,,,
方向盘换挡,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-
方向盘位置调节,-,-,-,-,-,-,-,-
整车质保,-,-,-,-,-,-,-,-
整备质量(kg),1410,1495,1370,1515,1565,1480,1370,1495
接近角(°),-,-,-,-,-,-,-,38
挡位个数,1,1,1,1,1,1,1,1
扬声器数量,,,,,,,,
扬声器品牌名称,-,-,-,-,-,-,-,-
手机无线充电功能,-,-,-,-,-,-,-,-
手机互联/映射,-,-,-,-,-,-,-,-
感应雨刷功能,-,-,-,-,-,-,-,-
座椅材质,,,,,,,,
座位数(个),,,,,,,,
并线辅助,-,-,-,-,-,-,-,-
巡航系统,-,-,-,-,-,-,-,-
导航路况信息显示,-,-,-,-,-,-,-,-
宽度(mm),1600,1600,1600,1670,1670,1600,1600,1600
官方0-100km/h加速(s),-,-,-,-,-,-,-,-
安全带未系提醒,,,,,,,,
天窗类型,-,-,-,-,-,-,-,-
大灯高度可调,●,●,●,●,●,●,●,●
大灯延时关闭,-,-,-,-,-,-,-,-
多媒体/充电接口,,,,,,,,
多功能方向盘,-,-,-,-,-,-,-,-
外后视镜功能,-,-,-,-,-,-,-,-
备胎规格,-,-,-,-,-,-,-,-
