Feature,1008540,1008541,1008542,1008543,1008548,1014538,1014539,1014540,1014798,1014799,1016415,1016416
高度(mm),2376,2574,2174,2380,2612,2358,2089,2089,2089,2358,2365,2575
驾驶辅助影像,-,-,-,-,,-,-,,-,-,,
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),5700,5700,4939,4939,6120,4939,4939,4939,4939,4939,5774,5774
长*宽*高(mm),5700×1998×2376,5700×1998×2574,4939×1998×2174,4939×1998×2380,6120×1998×2612,4939×1998×2358,4939×1998×2089,4939*1998*2089,4939×1998×2089,4939×1998×2358,5774*1998*2365,5774*1998*2575
钥匙类型,,,,,,,,,,,,
配气机构,-,-,-,-,-,-,-,-,-,-,-,-
远光灯光源,,,,,,,,,,,,
进气形式,-,-,-,-,-,-,-,-,-,-,-,-
近光灯光源,,,,,,,,,,,,
轴距(mm),3850,3850,3100,3100,4180,3100,3100,3100,3100,3100,3850,3850
轮圈材质,,,,,,,,,,,,
车门数(个),4,4,4,4,4,4,4,5,4,4,4,4
车身结构_y,客车,客车,客车,客车,客车,货车,货车,客车,货车,货车,货车,货车
车身结构_x,客车,客车,客车,客车,客车,货车,货车,客车,货车,货车,货车,货车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,○,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,上汽大通MAXUS V80新能源 2019款 EV80纯电动城市物流车VAN长轴中顶2-3座71kWh,上汽大通MAXUS V80新能源 2019款 EV80纯电动城市物流车VAN长轴高顶2-3座71kWh,上汽大通MAXUS V80新能源 2019款 EV80纯电动城市物流车VAN短轴低顶2-3座53kWh,上汽大通MAXUS V80新能源 2019款 EV80纯电动城市物流车VAN短轴中顶2-3座53kWh,上汽大通MAXUS V80新能源 2019款 FCV80燃料电池客车加长轴中顶10-14座,上汽大通MAXUS V80新能源 2023款 EV80 PLUS VAN短轴中顶,上汽大通MAXUS V80新能源 2023款 EV80 PLUS VAN短轴低顶,2023款 EV80 PLUS 多功能乘用车短轴低顶,上汽大通MAXUS V80新能源 2023款 改款 EV80 PLUS VAN短轴低顶,上汽大通MAXUS V80新能源 2023款 改款 EV80 PLUS VAN短轴中顶,上汽大通MAXUS V80新能源 2023款 EV80 PRO 长轴中顶,上汽大通MAXUS V80新能源 2023款 EV80 PRO 长轴高顶
车前雾灯,,,,,,,,,,,,
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,-,-,-,-,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
货箱尺寸(mm),-,-,-,-,-,-,-,-,-,-,-,-
行车电脑显示屏幕,-,-,-,-,-,-,-,-,-,-,,
行程(mm),-,-,-,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-,-,-,-,-
能源类型,纯电动,纯电动,纯电动,纯电动,氢燃料,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
胎压监测功能,-,-,-,-,-,,,,,,,
缺气保用轮胎,-,-,-,-,-,-,-,-,-,-,-,-
缸盖材料,-,-,-,-,-,-,-,-,-,-,-,-
缸径(mm),-,-,-,-,-,-,-,-,-,-,-,-
缸体材料,-,-,-,-,-,-,-,-,-,-,-,-
级别,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排座椅调节,-,-,-,-,-,-,-,-,-,-,-,-
空调温度控制方式,,,,,,,,,,,,
百公里耗电量(kWh/100km),-,-,-,-,-,-,-,-,-,-,-,-
电池组质保,待查,待查,待查,待查,待查,待查,待查,待查,待查,待查,-,-
电池类型,锰酸锂,锰酸锂,锰酸锂,锰酸锂,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池
电池容量(kWh),71,71,53,53,14.3,51.5,51.5,51.5,51.5,51.5,77,77
电池充电时间,-,-,-,-,-,-,-,-,-,-,-,-
电机类型,永磁/同步,永磁/同步,永磁 / 同步,永磁 / 同步,永磁 / 同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电机布局,-,-,-,-,-,-,-,-,前置,前置,前置,前置
电动机总扭矩(N·m),350,350,320,320,350,280,280,280,280,280,280,280
电动机总功率(kW),110,110,100,100,100,120,120,120,120,120,120,120
电动机(Ps),150,150,136,136,-,163,163,163,163,163,163,163
电动座椅记忆功能,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-,-,-
环保标准_y,-,-,-,-,-,-,-,-,-,-,-,-
环保标准_x,-,-,-,-,-,-,-,-,-,-,-,-
牵引力控制(ASR/TCS/TRC等),-,-,-,-,○,-,-,-,-,-,-,-
燃油标号,-,-,-,-,-,-,-,-,-,-,-,-
燃料形式,纯电动,纯电动,纯电动,纯电动,氢燃料,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
温度分区控制,-,-,-,-,-,-,-,-,-,-,-,-
油箱容积(L),-,-,-,-,-,-,-,-,-,-,-,-
气缸数(个),-,-,-,-,-,-,-,-,-,-,-,-
